name	category	source	size	speed	ac	attack	ability_scores	special_qualities	starting_stats	advancement	flavor	monster_url	url
Cockroach, Giant	Animal, Vermin	Ultimate Wilderness pg. 184	Small	30 ft., climb 30 ft., fly 20 ft. (poor)	+1 natural armor	bite (1d4)	Str 9, Dex 10, Con 17, Int —, Wis 11, Cha 2	darkvision 60 ft., hold breath, light sensitivity, tremorsense 60 ft.	Size Small; Speed 30 ft., climb 30 ft., fly 20 ft. (poor); AC +1 natural armor; Attack bite (1d4); Ability Scores Str 9, Dex 10, Con 17, Int —, Wis 11, Cha 2; Special Qualities darkvision 60 ft., hold breath, light sensitivity, tremorsense 60 ft.; CMD +8 vs. trip; Bonus Feat(s) Endurance.	4th-Level Advancement: Speed 30 ft. climb 30 ft., fly 30 ft. (poor); AC +2 natural armor; Ability Scores Str +2, Dex +2, Con +2; Bonus Feat(s) Diehard.	Swift and unsettling, the giant cockroach is notoriously difficult to slay. These creatures prefer dark places and seem to have no opposition to crawling through filth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Cockroach	https://aonprd.com/DruidCompanions.aspx?ItemName=Cockroach,%20Giant
Corpse-Eater Fungus	Animal, Plant	Ultimate Wilderness pg. 182	Small	30 ft.	+2 natural armor	bite (1d6 plus 1d2 acid)	Str 14, Dex 13, COn 12, Int 1, Wis 11, Cha 4	darkvision 60 ft.	Size Small; Speed 30 ft.; AC +2 natural armor; Attack bite (1d6 plus 1d2 acid); Ability Scores Str 14, Dex 13, COn 12, Int 1, Wis 11, Cha 4; Special Attacks spit acid (ranged touch attack, 30-foot range, 1d6 acid damage); Special Qualities darkvision 60 ft.; CMD +12 vs. trip.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (1d8 plus 1d4 acid); Ability Scores Str +4, Dex -2, Con +2; Special Attacks spit acid (ranged touch attack, 30-foot range, 1d8 acid damage); Special Qualities darkvision 60 ft..	This pale mass of fungal matter looks something like a spider with a thorny, acidic mouth in place of a body.		https://aonprd.com/DruidCompanions.aspx?ItemName=Corpse-Eater%20Fungus
Crab, Giant	Animal, Vermin	Ultimate Magic pg. 36	Small	30 ft., swim 20 ft.	+5 natural armor	2 claws (1d3 plus grab)	Str 13, Dex 14, Con 13, Int —, Wis 11, Cha 4	aquatic, darkvision, water dependency (survive out of water for 1 hour per point of Con, after which it begins to suffocate as if it were drowning)	Size Small; Speed 30 ft., swim 20 ft.; AC +5 natural armor; Attack 2 claws (1d3 plus grab); Ability Scores Str 13, Dex 14, Con 13, Int —, Wis 11, Cha 4; Special Attacks constrict (1d3); Special Qualities aquatic, darkvision, water dependency (survive out of water for 1 hour per point of Con, after which it begins to suffocate as if it were drowning); CMD +12 vs. trip.	4th-Level Advancement: Size Medium; Attack 2 claws (1d4 plus grab); Ability Scores Str +2, Dex -2, Con +2; Special Attacks constrict (1d4).	This lumbering hard-shelled crab stands as tall as a dwarf, its massive pincers waving menacingly.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Crab	https://aonprd.com/DruidCompanions.aspx?ItemName=Crab,%20Giant
Creeping Puffball	Animal, Plant	Ultimate Wilderness pg. 182	Small	30 ft.	+1 natural armor	slam (1d4 plus poison)	Str 12, Dex 15, Con 14, Int 1, Wis 12, Cha 9	darkvision 60 ft., defensive puff (1/minute as an immediate action when hit, the fungus can expose one adjacent creature to its poison)	Size Small; Speed 30 ft.; AC +1 natural armor; Attack slam (1d4 plus poison); Ability Scores Str 12, Dex 15, Con 14, Int 1, Wis 12, Cha 9; Special Attacks poison (frequency 1 round [4]; effect 1d2 Wis damage and dazzled; cure 1 save; Con-based); Special Qualities darkvision 60 ft., defensive puff (1/minute as an immediate action when hit, the fungus can expose one adjacent creature to its poison); CMD can't be tripped.	4th-Level Advancement: Size Medium; AC +1 natural armor; Attack slam (1d6 plus poison); Ability Scores Str +4, Dex -2, Con +2.	This surprisingly mobile, multicolored ball of fungus crawls around on a nest of dozens of little filament-like “legs.” Its poisonous spores cause those affected to endure bright, dazzling spots of color.		https://aonprd.com/DruidCompanions.aspx?ItemName=Creeping%20Puffball
Crocodile (Alligator)	Animal	PRPG Core Rulebook pg. 54	Small	20 ft., swim 30 ft.	+4 natural armor	bite (1d6)	Str 15, Dex 14, Con 15, Int 1, Wis 12, Cha 2	hold breath, low-light vision.	Size Small; Speed 20 ft., swim 30 ft.; AC +4 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 14, Con 15, Int 1, Wis 12, Cha 2; Special Qualities hold breath, low-light vision.	4th-Level Advancement: Size Medium; Attack bite (1d8) or tail slap (1d12); Ability Scores Str +4, Dex -2, Con +2; Special Attacks death roll, grab, sprint.	This reptile lunges out of the placid water with shocking speed. Its jaw gapes open in a roar, its powerful tail lashing behind.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Crocodile	https://aonprd.com/DruidCompanions.aspx?ItemName=Crocodile%20(Alligator)
Dallo	Animal	Pathfinder #118: Siege of Stone pg. 82	Small	30 ft., burrow 10 ft.	+2 natural armor	2 claws (1d3), gore (1d4)	Str 11, Dex 12, Con 13, Int 2, Wis 13, Cha 8	darkvision 30 ft., low-light vision, scent.	Size Small; Speed 30 ft., burrow 10 ft.; AC +2 natural armor; Attack 2 claws (1d3), gore (1d4); Ability Scores Str 11, Dex 12, Con 13, Int 2, Wis 13, Cha 8; Special Qualities darkvision 30 ft., low-light vision, scent.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack gore (1d6), 2 claws (1d4); Ability Scores Str +4, Dex -2, Con +2.	This squat, grunting creature stinks of musk and earth. Leathery plates and black horns protect its woolly underside.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dallo	https://aonprd.com/DruidCompanions.aspx?ItemName=Dallo
Deinotherium	Animal	Bestiary 6 pg. 311	Medium	30 ft.	+4 natural armor	gore (1d8), slam (1d6)	Str 14, Dex 10, Con 15, Int 2, Wis 13, Cha 3	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +4 natural armor; Attack gore (1d8), slam (1d6); Ability Scores Str 14, Dex 10, Con 15, Int 2, Wis 13, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (2d6), slam (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks sweep, trample.	This creature resembles an elephant, though it has a shorter, thicker trunk and sharp, downward-curving tusks.		https://aonprd.com/DruidCompanions.aspx?ItemName=Deinotherium
Devil Monkey	Animal	Bestiary 6 pg. 311	Medium	30 ft.	+3 natural armor	bite (1d8)	Str 15, Dex 19, Con 8, Int 2, Wis 15, Cha 10	low-light vision.	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack bite (1d8); Ability Scores Str 15, Dex 19, Con 8, Int 2, Wis 15, Cha 10; Special Qualities low-light vision.	4th-Level Advancement: Size Large; Speed 40; AC +2 natural armor; Attack bite (1d10); Ability Scores Str +8, Dex -2, Con +4; Special Qualities puncture armor, rock throwing.	This towering baboon has fiery orange fur, with two tufts of hair curling up like horns on its head.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Devil%20Monkey	https://aonprd.com/DruidCompanions.aspx?ItemName=Devil%20Monkey
Digmaul	Animal	Bestiary 5 pg. 312	Small	50 ft.	+1 natural armor	bite (1d4), 2 claws (1d2), tail (1d2)	Str 10, Dex 21, Con 13, Int 2, Wis 12, Cha 6	ball tail, low-light vision, scent.	Size Small; Speed 50 ft.; AC +1 natural armor; Attack bite (1d4), 2 claws (1d2), tail (1d2); Ability Scores Str 10, Dex 21, Con 13, Int 2, Wis 12, Cha 6; Special Qualities ball tail, low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6), 2 claws (1d3), tail (1d3); Ability Scores Str +4, Dex -2, Con +2.	This muscular, cougarlike cat has fearsome teeth and a thick tail ending in a spiked ball.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Digmaul	https://aonprd.com/DruidCompanions.aspx?ItemName=Digmaul
Dinosaur (Allosaurus)	Animal	Bestiary 2 pg. 90	Medium	40 ft.	+4 natural armor	bite (1d6), 2 claws (1d4)	Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack bite (1d6), 2 claws (1d4); Ability Scores Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks grab, pounce.	This bipedal dinosaur has a mouth filled with sharp teeth and short, powerful arms that end in sharp claws.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Allosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Allosaurus)
Dinosaur (Ankylosaurus)	Animal	Pathfinder RPG Bestiary pg. 83	Medium	30 ft.	+9 natural armor	tail (1d6)	Str 10, Dex 14, Con 9, Int 2, Wis 12, Cha 8	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +9 natural armor; Attack tail (1d6); Ability Scores Str 10, Dex 14, Con 9, Int 2, Wis 12, Cha 8; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack tail (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks stun.	Thick bony plates armor the domelike back of this quadrupedal dinosaur, its powerfully muscled tail ending in a bony club.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Ankylosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Ankylosaurus)
Dinosaur (Brachiosaurus)	Animal	Pathfinder RPG Bestiary pg. 83	Medium	30 ft.	+3 natural armor	tail (2d4)	Str 13, Dex 14, Con 11, Int 2, Wis 13, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack tail (2d4); Ability Scores Str 13, Dex 14, Con 11, Int 2, Wis 13, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack tail (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample (1d8).	A long tail counterbalances this reptile’s equally long neck, at the end of which a relatively small head pulls food from the treetop.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Brachiosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Brachiosaurus)
Dinosaur (Deinonychus)	Animal	PRPG Core Rulebook pg. 54	Small	60 ft.	+1 natural armor	2 talons (1d6), bite (1d4)	Str 11, Dex 17, Con 17, Int 2, Wis 12, Cha 14	low-light vision, scent.	Size Small; Speed 60 ft.; AC +1 natural armor; Attack 2 talons (1d6), bite (1d4); Ability Scores Str 11, Dex 17, Con 17, Int 2, Wis 12, Cha 14; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Medium; AC +2 natural armor; Attack 2 talons (1d8), bite (1d6), 2 claws (1d4); Ability Scores Str +4, Dex –2, Con +2; Special Attacks pounce.	This brightly colored dinosaur exudes a dangerous ferocity. Each foot is armed with a large, sickle-shaped claw.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Deinonychus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Deinonychus)
Dinosaur (Dimetrodon)	Animal	Bestiary 3 pg. 311	Medium	30 ft.	+2 natural armor	bite (1d8)	Str 12, Dex 16, Con 14, Int 1, Wis 12, Cha 3		Size Medium; Speed 30 ft.; AC +2 natural armor; Attack bite (1d8); Ability Scores Str 12, Dex 16, Con 14, Int 1, Wis 12, Cha 3; Special Attacks tearing bite.	7th-Level Advancement: Size Large; AC +1 natural armor; Attack bite (2d8); Ability Scores Str +8, Dex -2, Con +4.	The massive sail on the back of this squat reptilian creature flexes and twitches as the beast stalks forward.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dimetrodon	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Dimetrodon)
Dinosaur (Dimorphodon)	Animal	Bestiary 4 pg. 311	Small	10 ft., fly 80 ft. (clumsy)	+1 natural armor	bite (1d4)	Str 8, Dex 15, Con 12, Int 2, Wis 14, Cha 6	low-light vision, scent.	Size Small; Speed 10 ft., fly 80 ft. (clumsy); AC +1 natural armor; Attack bite (1d4); Ability Scores Str 8, Dex 15, Con 12, Int 2, Wis 14, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Attack bite (1d6); Ability Scores Str +2, Con +2; Special Attacks poison (frequency 1 round (6); effect 1 Str damage; cure 1 save, Con-based DC).	The head of this colorful red and purple flying reptile is overly large, and its jaws are lined with tiny sharp teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dimorphodon	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Dimorphodon)
Dinosaur (Diplodocus)	Animal	Bestiary 4 pg. 311	Medium	30 ft.	+6 natural armor	tail (1d8)	Str 10, Dex 14, Con 10, Int 2, Wis 12, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +6 natural armor; Attack tail (1d8); Ability Scores Str 10, Dex 14, Con 10, Int 2, Wis 12, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack tail (2d6); Ability Scores Str +6, Con +4; Special Attacks tail lash.	This enormous, long-necked quadruped moves with an uncanny grace, holding its lengthy, whiplike tail out level behind it.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Diplodocus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Diplodocus)
Dinosaur (Elasmosaurus)	Animal	Pathfinder RPG Bestiary pg. 84	Medium	20 ft., swim 50 ft.	+2 natural armor	bite (1d8)	Str 10, Dex 18, Con 12, Int 2, Wis 13, Cha 9	low-light vision, scent.	Size Medium; Speed 20 ft., swim 50 ft.; AC +2 natural armor; Attack bite (1d8); Ability Scores Str 10, Dex 18, Con 12, Int 2, Wis 13, Cha 9; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4.	Long-necked and long-tailed, this large, predatory reptile glides through the water on four powerful flippers.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Elasmosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Elasmosaurus)
Dinosaur (Iguanodon)	Animal	Bestiary 3 pg. 312	Medium	30 ft.	+3 natural armor	claw (1d6)	Str 17, Dex 15, Con 15, Int 2, Wis 12, Cha 7.		Size Medium; Speed 30 ft.; AC +3 natural armor; Attack claw (1d6); Ability Scores Str 17, Dex 15, Con 15, Int 2, Wis 12, Cha 7.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack claw (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Qualities thumb spikes.	This dinosaur seems comfortable on two legs or four. Its front limbs are each adorned with a cruel-looking, thumblike spike.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Iguanodon	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Iguanodon)
Dinosaur (Pachycephalosaurus)	Animal	Bestiary 3 pg. 312	Medium	30 ft.	+3 natural armor	gore (1d8)	Str 15, Dex 16, Con 13, Int 2, Wis 12, Cha 5.		Size Medium; Speed 30 ft.; AC +3 natural armor; Attack gore (1d8); Ability Scores Str 15, Dex 16, Con 13, Int 2, Wis 12, Cha 5.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (1d10); Ability Scores Str +8, Dex -2, Con +4; Special Attacks clobbering charge.	This bipedal reptile has a rounded, dome-like head adorned with bony frills and ridges.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Pachycephalosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Pachycephalosaurus)
Dinosaur (Parasaurolophus)	Animal	Bestiary 2 pg. 91	Medium	30 ft.	+2 natural armor	tail (1d6)	Str 11, Dex 18, Con 9, Int 2, Wis 13, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +2 natural armor; Attack tail (1d6); Ability Scores Str 11, Dex 18, Con 9, Int 2, Wis 13, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack tail (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample (1d8).	This thick-bodied dinosaur has a whip-like tail and a long neck, its head topped by the crest of a backward-curving horn.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Parasaurolophus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Parasaurolophus)
Dinosaur (Pteranodon)	Animal	Pathfinder RPG Bestiary pg. 85	Medium	10 ft., fly 50 ft. (clumsy)	+0 natural armor	bite (1d8)	Str 8, Dex 21, Con 10, Int 2, Wis 14, Cha 12	low-light vision, scent.	Size Medium; Speed 10 ft., fly 50 ft. (clumsy); AC +0 natural armor; Attack bite (1d8); Ability Scores Str 8, Dex 21, Con 10, Int 2, Wis 14, Cha 12; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4.	This flying reptile has two huge wings and a distinctive backward-sweeping crest decorating its head.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Pteranodon	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Pteranodon)
Dinosaur (Spinosaurus)	Animal	Bestiary 3 pg. 312	Medium	30 ft., swim 20 ft.	+3 natural armor	bite (1d6), 2 claws (1d4)	Str 18, Dex 15, Con 15, Int 2, Wis 13, Cha 3.		Size Medium; Speed 30 ft., swim 20 ft.; AC +3 natural armor; Attack bite (1d6), 2 claws (1d4); Ability Scores Str 18, Dex 15, Con 15, Int 2, Wis 13, Cha 3.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4.	This titanic saurian has a crocodilian snout, powerful front claws, and a colorful sail-like ridge that runs down its back.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Spinosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Spinosaurus)
Dinosaur (Stegosaurus)	Animal	Pathfinder RPG Bestiary pg. 85	Medium	30 ft.	+6 natural armor	tail (2d6)	Str 10, Dex 18, Con 10, Int 2, Wis 12, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +6 natural armor; Attack tail (2d6); Ability Scores Str 10, Dex 18, Con 10, Int 2, Wis 12, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack tail (2d8 plus trip); Ability Scores Str +8, Dex -2, Con +4.	This huge dinosaur has a small head, twin rows of sharp dorsal plates, and a muscular tail terminating in a set of bony spikes.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Stegosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Stegosaurus)
Dinosaur (Styracosaurus)	Animal	Bestiary 4 pg. 311	Medium	30 ft.	+6 natural armor	gore (1d8)	Str 10, Dex 13, Con 11, Int 2, Wis 12, Cha 7	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +6 natural armor; Attack gore (1d8); Ability Scores Str 10, Dex 13, Con 11, Int 2, Wis 12, Cha 7; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks ferocity, reflexive strike.	This bulky, four-legged dinosaur has a long nasal horn and a crest studded with additional horns sweeping back from its skull.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Styracosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Styracosaurus)
Dinosaur (Triceratops)	Animal	Pathfinder RPG Bestiary pg. 86	Medium	30 ft.	+6 natural armor	gore (1d8)	Str 10, Dex 13, Con 11, Int 2, Wis 12, Cha 7.		Size Medium; Speed 30 ft.; AC +6 natural armor; Attack gore (1d8); Ability Scores Str 10, Dex 13, Con 11, Int 2, Wis 12, Cha 7.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks powerful charge.	This beast’s armored head has three sharp horns decorating its face and a large round crest angling back over its neck from its skull.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Triceratops	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Triceratops)
Dinosaur (Tylosaurus)	Animal	Bestiary 2 pg. 91	Medium	20 ft., swim 50 ft.	+3 natural armor	bite (1d6)	Str 10, Dex 17, Con 10, Int 2, Wis 13, Cha 9	low-light vision, scent.	Size Medium; Speed 20 ft., swim 50 ft.; AC +3 natural armor; Attack bite (1d6); Ability Scores Str 10, Dex 17, Con 10, Int 2, Wis 13, Cha 9; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks grab.	Surging out of the water, this massive lizard is shaped like a giant fish with a powerful, toothed maw.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Tylosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Tylosaurus)
Dinosaur (Tyrannosaurus)	Animal	Pathfinder RPG Bestiary pg. 86	Medium	30 ft.	+4 natural armor	bite (1d8)	Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +4 natural armor; Attack bite (1d8); Ability Scores Str 14, Dex 16, Con 10, Int 2, Wis 15, Cha 10; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks grab, powerful bite.	This bipedal dinosaur’s front arms seem small compared to the rest of its bulk, but its enormous head is all teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Tyrannosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Tyrannosaurus)
Dinosaur (Velociraptor)	Animal	Bestiary 4 pg. 311	Small	60 ft.	+1 natural armor	2 talons (1d6), bite (1d4)	Str 11, Dex 17, Con 17, Int 2, Wis 12, Cha 14	low-light vision, scent.	Size Small; Speed 60 ft.; AC +1 natural armor; Attack 2 talons (1d6), bite (1d4); Ability Scores Str 11, Dex 17, Con 17, Int 2, Wis 12, Cha 14; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Medium; AC +2 natural armor; Attack 2 talons (1d8), bite (1d6), 2 claws (1d4); Ability Scores Str +4, Dex –2, Con +2; Special Attacks pounce.	This small, sleek dinosaur has vicious, snapping jaws and feet that end in large talons for gutting prey.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Velociraptor	https://aonprd.com/DruidCompanions.aspx?ItemName=Dinosaur%20(Velociraptor)
Dire Bat	Animal	Pathfinder RPG Bestiary pg. 30	Medium	20 ft., fly 40 ft. (good)	+0 natural armor	bite (1d6)	Str 9, Dex 17, Con 9, Int 2, Wis 14, Cha 6	blindsense 40 ft..	Size Medium; Speed 20 ft., fly 40 ft. (good); AC +0 natural armor; Attack bite (1d6); Ability Scores Str 9, Dex 17, Con 9, Int 2, Wis 14, Cha 6; Special Qualities blindsense 40 ft..	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (1d8); Ability Scores Str +8, Dex -2, Con +4.	This giant, furry bat is nearly the size of an ox, with dark leathery wings that open wider than two men with arms outstretched.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dire%20Bat	https://aonprd.com/DruidCompanions.aspx?ItemName=Dire%20Bat
Dire Polar Bear	Animal	Bestiary 5 pg. 313	Small	40 ft.	+2 natural armor	bite (1d4), 2 claws (1d3)	Str 15, Dex 15, Con 13, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Small; Speed 40 ft.; AC +2 natural armor; Attack bite (1d4), 2 claws (1d3); Ability Scores Str 15, Dex 15, Con 13, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6), 2 claws (1d4); Ability Scores Str +4, Dex -2, Con +2.	Fearsome bony growths protrude from several spots in this massive animal’s snowy fur.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dire%20Polar%20Bear	https://aonprd.com/DruidCompanions.aspx?ItemName=Dire%20Polar%20Bear
Dire Rat	Animal	Pathfinder RPG Bestiary pg. 232	Small	40 ft., climb 20 ft., swim 20 ft.		bite (1d4)	Str 10, Dex 17, Con 12, Int 2, Wis 12, Cha 4	low-light vision, scent.	Size Small; Speed 40 ft., climb 20 ft., swim 20 ft.; Attack bite (1d4); Ability Scores Str 10, Dex 17, Con 12, Int 2, Wis 12, Cha 4; Special Qualities low-light vision, scent.	4th-Level Advancement: Attack bite (1d4 plus disease); Ability Scores Str +2, Con +2.	This filthy rat is the size of a small dog. It has a coat of coarse fur, a long and scabby tail, and two glittering eyes.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dire%20Rat	https://aonprd.com/DruidCompanions.aspx?ItemName=Dire%20Rat
Dog	Animal	PRPG Core Rulebook pg. 54	Small	40 ft.	+2 natural armor	bite (1d4)	Str 13, Dex 17, Con 15, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Small; Speed 40 ft.; AC +2 natural armor; Attack bite (1d4); Ability Scores Str 13, Dex 17, Con 15, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +2.	This small dog has a rough coat and a hungry look in its dark brown eyes.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dog	https://aonprd.com/DruidCompanions.aspx?ItemName=Dog
Dolphin	Animal	Pathfinder RPG Bestiary pg. 88	Medium	swim 80 ft.	+1 natural armor	slam (1d4)	Str 12, Dex 15, Con 13, Int 2, Wis 12, Cha 6	low-light vision, hold breath.	Size Medium; Speed swim 80 ft.; AC +1 natural armor; Attack slam (1d4); Ability Scores Str 12, Dex 15, Con 13, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, hold breath.	4th-Level Advancement: Ability Scores Str +2, Dex +2, Con +2; Special Qualities blindsight 120 ft..	This streamlined, fish-like mammal has sparkling eyes over a smiling mouth filled with hundreds of teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Dolphin	https://aonprd.com/DruidCompanions.aspx?ItemName=Dolphin
Dragonfly, Giant	Animal, Vermin	Ultimate Wilderness pg. 184	Small	20 ft., fly 40 ft. (perfect)	+2 natural armor	bite (1d8)	Str 13, Dex 17, Con 12, Int —, Wis 12, Cha 9	darkvision 60 ft.	Size Small; Speed 20 ft., fly 40 ft. (perfect); AC +2 natural armor; Attack bite (1d8); Ability Scores Str 13, Dex 17, Con 12, Int —, Wis 12, Cha 9; Special Qualities darkvision 60 ft.; CMD +8 vs. trip.	4th-Level Advancement: Size Medium; AC +3 natural armor; Attack bite (2d6); Ability Scores Str +4, Dex -2, Con +4;; Bonus Feat(s) Flyby Attack.	These long-winged insects have dazzlingly colorful bodies.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Dragonfly	https://aonprd.com/DruidCompanions.aspx?ItemName=Dragonfly,%20Giant
