name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Blood Frenzy Style	Combat, Style	Heroes from the Fringe pg. 31	You have learned to turn your pain into power, whipping yourself into a blood frenzy whenever you take damage.	Str 13, Improved Unarmed Strike, base attack bonus +1, aquatic subtype.	While you are using Blood Frenzy Style, you gain a +2 bonus to your Strength and Constitution, and you take a –2 penalty to AC.		You can enter Blood Frenzy Style only as an immediate action when you take damage. You cannot enter this style as a swift action, as with other style feats.			https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Frenzy%20Style
Blood Spurt	Combat	Horror Adventures pg. 82	When cut in combat, you spray your blood into the faces of your foes.	Base attack bonus +2, susceptibility to bleed damage.	Whenever a creature adjacent to you hits you with a melee attack that deals bleed damage, that creature must succeed at a Fortitude save (DC = 10 + 1/2 your character level + your Constitution modifier) or become blinded for 1d4 rounds as your blood sprays it in the face. Additionally, if you have a special ability that deals bleed damage (such as a rogue’s bleeding strike rogue talent), as a standard action, you can deal 1 point of bleed damage to yourself to spray blood in the face of an adjacent creature of your choice, causing the same effect. The creature only needs to attempt the saving throw for the first of its attacks that deals bleed damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Blood%20Spurt
Bloody Mess	Combat	Antihero's Handbook pg. 8	Your recklessness often puts you in harm’s way, and you are terrifying to behold when covered in your own blood.	Skill Focus (Intimidate).	Whenever you take an amount of piercing, slashing, or bleed damage equal to or greater than double your character level, you can attempt an Intimidate check as an immediate action to demoralize the creature that dealt the damage as long as it is within 30 feet of you. If the damage resulted from a critical hit, you can cause the target creature to be sickened instead of shaken if you successfully demoralize it. You can use this feat only once per round to attempt an Intimidate check to demoralize an opponent.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bloody%20Mess
Bloody Vengeance	Combat	Inner Sea Gods pg. 208	Your retaliatory strikes have long-lasting effects.	Base attack bonus +1, worshiper of Calistria.	If an opponent within line of sight has damaged you within the last minute, you may study that opponent as a standard action. Thereafter, if you hit that opponent with a melee attack, you deal 1 point of bleed damage to that creature in addition to the normal damage dealt by your attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bloody%20Vengeance
Bounding Hammer	Combat	Dwarves of Golarion pg. 20	You can throw a hammer so it rebounds near you.	Proficiency with hammer, base attack bonus +6.	As a standard action, you may throw a hammer at an opponent within 20 feet. If you hit (whether or not the attack damages the target), the hammer rebounds off of the creature and lands in your square. If you have the Snatch Arrows feat, you may choose to catch the hammer when it enters your square (though this does not give you the ability to immediately throw the hammer). This ability may not work against some creatures or in certain circumstances as determined by the GM; for example, your weapon does not bounce off incorporeal creatures (unless it has the ghost touch ability), it may stick to creatures with the adhesive ability, the slowing effect of fighting underwater prevents you from using this feat, and so on.	A thrown weapon drops in the square where it hit its target.				https://aonprd.com/FeatDisplay.aspx?ItemName=Bounding%20Hammer
Branch Pounce	Combat	Ultimate Wilderness pg. 107	You are adept at exploiting higher ground to its greatest advantage in battle, and can leap from above to deal incredible damage to your foes.	Climb 3 ranks, Stealth 3 ranks.	When charging a target by jumping down from above (such as when jumping out of a tree), you can soften your fall with a melee attack. If the attack at the end of your charge hits, the attack deals damage as normal and you also deal the amount of falling damage appropriate to your fall to the target (1d6 points for a 10-foot fall, 2d6 points for a 20-foot fall, and so on). This falling damage is not multiplied on a critical hit. You land in an unoccupied square of your choosing adjacent to the target, and you take falling damage as if your fall had been 10 feet shorter. You can attempt an Acrobatics check as normal to treat the fall as an additional 10 feet shorter for the purpose of determining the damage you take from the fall. If your attack misses, you land prone in a random square adjacent to the target and automatically take the full amount of falling damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Branch%20Pounce
Breaker of Barriers	Combat	Inner Sea Gods pg. 208	You see it as your sacred duty to destroy all obstacles.	Str 17, worshiper of Rovagug.	You gain a +2 bonus on Strength checks to break down doors, walls, dams, and other barriers and on combat maneuver checks to bull rush and overrun opponents. You ignore the first 5 points of hardness when you deal damage to doors, walls, dams, and other barriers.					https://aonprd.com/FeatDisplay.aspx?ItemName=Breaker%20of%20Barriers
Bristling Bull Rush	Combat	Ultimate Wilderness pg. 108	You deal damage to opponents when bull rushing them through difficult terrain, using the environment itself to harm your targets.	Str 13, Improved Bull Rush, Power Attack, base attack bonus +3.	When you successfully bull rush a creature, it takes 1d4 points of damage for every 5 feet it is pushed through naturally occurring difficult terrain. This damage is in addition to any damage the creature might normally take from moving through the difficult terrain. Creatures with the woodland stride special ability or who are otherwise unaffected by difficult terrain are immune to this extra damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bristling%20Bull%20Rush
Bristling Drag	Combat	Ultimate Wilderness pg. 108	You deal damage to opponents when dragging them through difficult terrain.	Str 13, Improved Drag, Power Attack, base attack bonus +3.	When you successfully drag a creature, it takes 1d4 points of damage for every 5 feet it is dragged through naturally occurring difficult terrain. This damage is in addition to any damage the creature might normally take from moving through the difficult terrain. Creatures with the woodland stride special ability or who are otherwise unaffected by difficult terrain are immune to this extra damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bristling%20Drag
Brutal Coup de Grace	Combat	Horror Adventures pg. 83	Your killing blows are so brutal that they scare other foes.	Dazzling Display, Weapon Focus, base attack bonus +5, proficiency with the selected weapon.	When you deliver a coup de grace with the selected weapon and kill the target, enemies within 30 feet of you who can see or hear you must succeed at a Will saving throw (DC = 10 + 1/2 your character level + your Charisma bonus) or become shaken for 1 minute. This is a mind-affecting fear effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brutal%20Coup%20de%20Grace
Brutal Grappler	Combat, Teamwork	Orcs of Golarion pg. 24	When helping an ally grapple, you can damage the target.	Half-orc or orc.	When you and an ally with this feat have grappled the same creature, you may attempt to damage the opponent on your turn (whether you were the one who first initiated the grapple or were assisting your ally in doing so). You and the ally are treated as aiding each other in the grapple (+2 bonus on your grapple combat maneuver) as long as you both decide to maintain the grapple.	When multiple creatures grapple one target, the creature that first initiates the grapple is the only one that makes a check to damage a grappled opponent, with a +2 bonus for each creature that assists the grapple using the Aid Another action.				https://aonprd.com/FeatDisplay.aspx?ItemName=Brutal%20Grappler
Brute Assault	Combat	Horror Adventures pg. 83	With brute force, you can bowl over and cripple opponents by treading on them.	Str 23, Int 13, Brute Stomp, Brute Style, Combat Reflexes, Improved Overrun, Improved Trip, Improved Unarmed Strike, Vicious StompUC, base attack bonus +10.	While using Brute Style, when you successfully perform an overrun or trip combat maneuver against an opponent that causes that opponent to fall prone, your opponent takes 1d6 points of Strength damage, and its base speed is halved until the Strength damage is healed. A successful Fortitude save (DC = 10 + your base attack bonus) reduces the Strength damage to 1 point and negates the movement speed reduction.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brute%20Assault
Brute Stomp	Combat	Horror Adventures pg. 83	Few can avoid the brutal violence of your bone-crushing kicks and stomps.	Str 19, Int 13, Brute Style, Combat Reflexes, Improved Overrun, Improved Trip, Improved Unarmed Strike, Vicious StompUC, base attack bonus +8.	While using Brute Style, when you make a full attack with a prone opponent adjacent to you that includes at least one unarmed strike, you can make an additional unarmed strike at your highest base attack bonus against that prone creature. These additional attacks don’t stack with those granted by Medusa’s Wrath, and this does not allow you to make an additional attack against a creature you tripped during your full attack. Additionally, you can use your Vicious Stomp feat against any opponent within your natural reach regardless of whether it falls prone adjacent to you.					https://aonprd.com/FeatDisplay.aspx?ItemName=Brute%20Stomp
Brute Style	Combat, Style	Horror Adventures pg. 83	Through strength, study, and intense inner reflection, you have become an expert at battering fallen opponents.	Str 15, Int 13, Combat Reflexes, Improved Overrun, Improved Trip, Improved Unarmed Strike, Vicious StompUC, base attack bonus +6.	While using this style, you can use your Vicious Stomp feat against any opponent within 10 feet of you, as long as it is within your natural reach. If you don’t have the Vicious Stomp feat, you gain no benefit from this feat.	The Vicious Stomp feat only works against an opponent that falls prone adjacent to you.				https://aonprd.com/FeatDisplay.aspx?ItemName=Brute%20Style
Buffeting Wings	Combat	Inner Sea Monster Codex pg. 53	You can create a gust of wind with your wings.	Hover, Powerful Wings.	As a full-round action, you can beat your wings to create a blast of air as the gust of wind spell. This is an extraordinary ability.		While the following feats are primarily taken by strix, other creatures with natural wings can also take them at the GM's discretion.			https://aonprd.com/FeatDisplay.aspx?ItemName=Buffeting%20Wings
Bull-Catcher Style	Combat, Style	Monster Hunter's Handbook pg. 8	You brace yourself to catch oncoming foes.	Dex 13, Improved Grapple, Improved Unarmed Strike.	As a standard action, you can ready yourself against oncoming foes. Until the start of your next turn, if a creature moves at least 10 feet in your direction and enters a square you threaten, you can attempt a grapple combat maneuver against that creature. If the creature is charging, you gain a +2 bonus on the check. A creature you grapple with this style can make only a single natural attack after its movement or charge, even if it has the pounce ability. You can make only one grapple attempt in this manner per round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bull-Catcher%20Style
Bull-Catcher Toss	Combat	Monster Hunter's Handbook pg. 8	You can use a charging foe’s momentum to throw them aside.	Dex 13, Bull-Catcher Style, Improved Grapple, Improved Unarmed Strike; base attack bonus +8, brawlerACG level 4th, or monk level 4th.	When you successfully grapple a creature with the Bull-Catcher Style feat, you can immediately move that creature into any square you threaten. After it is placed, you can break your grapple as an immediate action to move the creature an additional 5 feet in any direction. You can’t use this maneuver to move a foe into a space that is intrinsically dangerous or unstable, such as a pit, wall of fire, or midair.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bull-Catcher%20Toss
Bull-Catcher Wrangler	Combat	Monster Hunter's Handbook pg. 9	You can wrestle a charging foe to the ground.	Dex 13, Bull-Catcher Style, Bull-Catcher Toss, Improved Grapple, Improved Unarmed Strike; base attack bonus +12, brawlerACG level 8th, or monk level 8th.	When a creature is charging you, and you successfully grapple it with the Bull-Catcher Style feat, you can immediately move it as per the Bull-Catcher Toss feat. Once the creature is moved, you can break your grapple as an immediate action. If you do, select another creature in the repositioned target’s threatened area. That creature becomes the new target of the initial charge attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bull-Catcher%20Wrangler
Burn It Down!	Combat, Teamwork	Inner Sea Races pg. 201	Burning torches and the discordant symphony of riotous singing ignite the fervor within you.	Base attack bonus +1, goblin.	Whenever you make an attack with a torch, a flask of lamp oil fitted with a fuse, alchemist’s fire, or a flaming weapon, you gain a morale bonus on your damage roll equal to the number of goblin allies within 30 feet who also have this feat (maximum +4). This bonus damage is fire damage.					https://aonprd.com/FeatDisplay.aspx?ItemName=Burn%20It%20Down!
Bushwhack	Combat	Monster Codex pg. 20	You can subdue an unsuspecting foe quickly.	Dex 13, Improved Grapple, Improved Unarmed Strike.	When a flat-footed creature is unaware of your presence and you successfully grapple it, you can attempt a second grapple combat maneuver check to pin the creature as a free action. If you have the Chokehold feat (Pathfinder RPG Ultimate Combat 92), you can instead use this second combat maneuver check to initiate a chokehold.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bushwhack
But a Scratch	Combat	Ultimate Intrigue pg. 79	Your bravado convinces your enemies that their deadliest attacks are mere trifles, making you seem nigh invulnerable.	Cha 13, Bluff 4 ranks.	When an opponent confirms a critical hit against you with a melee weapon, you can attempt a special Bluff check against that opponent as an immediate action. The DC of this check is the same as the DC to demoralize the opponent with the Intimidate skill. If you are successful, the attacking opponent is shaken for 1 round as if you had successfully demoralized it with Intimidate. Exceeding the DC by 5 or more does not add to the shaken condition’s duration. If you fail the special Bluff check granted by this feat, you can attempt it against opponents who saw you attempt the earlier check and fail, but you take a –2 cumulative penalty on that Bluff check and any subsequent Bluff checks attempted in conjunction with this feat against those opponents for 24 hours.					https://aonprd.com/FeatDisplay.aspx?ItemName=But%20a%20Scratch
Call Out	Combat	People of the River pg. 12	A well-crafted insult forces an opponent to duel you.		As a standard action, you can make an Intimidate check against a hostile target within 30 feet that can clearly see and hear you. The DC of this check is equal to 10 + your opponent’s Hit Dice + its Wisdom modifier. If the target is trained in Sense Motive, the DC is instead equal to 10 + your opponent’s Sense Motive bonus, if higher. If you succeed at this check, the target enters a duel with you (Ultimate Combat 150). The target cannot withdraw from the duel for 1 round + 1 round for every 5 by which the check beat the DC.					https://aonprd.com/FeatDisplay.aspx?ItemName=Call%20Out
Cat and Mouse	Combat	Ultimate Intrigue pg. 80	You can forgo an obvious counterstrike against an opponent to better spot breaches in its defenses.	Bluff 5 ranks, Sense Motive 5 ranks, opportune parry and riposte deedACG.	When you use the opportune parry and riposte deed to successfully parry an opponent’s attack, if you have your immediate action available and choose not to attempt a riposte, you gain a +1 dodge bonus to your AC and a +2 bonus on all combat maneuver checks against the opponent you successfully parried for 1 round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cat%20and%20Mouse
Censoring Critical	Combat, Critical	Path of the Hellknight pg. 45	Your critical hits mute your enemies. Whenever you score a critical hit against an opponent, the victim is unable to speak for 1d4+1 rounds. This prevents spellcasters from using spells with verbal components. A successful Fortitude saving throw reduces this muteness to 1 round. The DC of this Fortitude save is equal to 10 + your base attack bonus.	Critical Focus, base attack bonus +15.	Whenever you score a critical hit against an opponent, the victim is unable to speak for 1d4+1 rounds. This prevents spellcasters from using spells with verbal components. A successful Fortitude saving throw reduces this muteness to 1 round. The DC of this Fortitude save is equal to 10 + your base attack bonus.		You can apply the effects of only one critical feat to a given critical hit unless you have Critical Mastery.			https://aonprd.com/FeatDisplay.aspx?ItemName=Censoring%20Critical
Cerberus Crush	Combat	Plane-Hopper's Handbook pg. 9	When you strike from three directions, you channel deadly force into each blow.	Cerberus Snare, Cerberus Style, Vital Strike, base attack bonus +13 or monk level 13th.	You can apply the benefits of Vital Strike, Improved Vital Strike, and Greater Vital Strike to all attacks made using Cerberus Style.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cerberus%20Crush
Cerberus Snare	Combat	Plane-Hopper's Handbook pg. 9	Your strikes latch onto your opponent like the jaws of a cerberus, preventing them from fleeing across planes.	Cerberus Style, base attack bonus +9 or monk level 9th.	Whenever you damage an opponent with Cerberus Style, that opponent cannot take 5-foot steps until the beginning of your next turn. Additionally, it is barred from dimensional travel. This effect functions as dimensional anchor, except that its duration is 1 round. Spell resistance applies; for the purpose of checks to overcome spell resistance, your caster level is equal to your character level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cerberus%20Snare
Cerberus Style	Combat, Style	Plane-Hopper's Handbook pg. 9	You rain blows upon your enemies from three directions, like the three heads of the cerberus guardians of Hell.	Cleave, Improved Unarmed Strike, base attack bonus +6 or monk level 6th.	As a standard action, you can make a single unarmed strike at your full base attack bonus against a foe within reach. If you hit, you deal damage normally and can make an additional attack (using your full base attack bonus) against up to two other foes that are also within reach. You take a –2 penalty to your Armor Class until the start of your next turn for each additional attack you make with this feat.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cerberus%20Style
Chain Mastery	Combat	Book of the Damned pg. 178	You wield spiked chains with effortless lethality.	Dex 15, Exotic Weapon Proficiency (spiked chain).	You treat a spiked chain as a one-handed martial weapon for all purposes. You can still choose to wield a spiked chain as a two-handed weapon, and if you do so, you gain a +2 bonus on combat maneuver checks to disarm or trip foes with your spiked chain.					https://aonprd.com/FeatDisplay.aspx?ItemName=Chain%20Mastery
Chairbreaker	Combat	Champions of Corruption pg. 23	You deal more damage by breaking nearby objects against your enemies.	Catch Off-Guard, base attack bonus +1.	When you attack a target with an improvised weapon, you can give that weapon the broken condition to deal 1d4 points of additional damage on that attack. Additionally, you gain a +4 bonus on the roll to confirm a critical hit with this attack. If you confirm the crit, the extra damage granted by this feat is also multiplied and the improvised weapon is destroyed.					https://aonprd.com/FeatDisplay.aspx?ItemName=Chairbreaker
Charging Stag Style	Combat, Style	Heroes of the Wild pg. 22	This style originated among shamanic monks who spent their lives in the wild, allowing them to quickly subdue both game and poachers using the element of surprise. Practitioners of Charging Stag Style can charge fluidly around trees, taking enemies by surprise in the wilderness.	Dex 13, Dodge, Improved Unarmed Strike, Mobility.	When using this style and not mounted, you can charge through difficult terrain and spaces containing allies. You can also make a single turn of up to 90 degrees during your charge. You must see your target at the beginning of your charge, and can make only a single attack at the end, even if you would normally be able to make multiple attacks (such as with the pounce ability).	You can’t charge through allies’ spaces or difficult terrain.				https://aonprd.com/FeatDisplay.aspx?ItemName=Charging%20Stag%20Style
Choir of Blades	Combat, Teamwork	Inner Sea Races pg. 204	You can imitate your allies’ exotic martial styles to such an extent that you can gain benefits to your own fighting abilities, even without formal training.		While you’re adjacent to an ally of a race different that your own who also has this feat, you gain the following benefits. If your ally has a racial bonus on attack rolls against a particular creature type or subtype, you also gain that bonus. If your ally has ancestral arms, weapon familiarity, or any other racial trait that grants weapon proficiencies, you also gain those proficiencies.					https://aonprd.com/FeatDisplay.aspx?ItemName=Choir%20of%20Blades
Circling Mongoose	Combat	Melee Tactics Toolbox pg. 7	You keep your opponent on the defensive as you circle around threateningly.	Dex 13, Dodge, Mobility, Spring Attack, base attack bonus +6.	When you are adjacent to a foe, as a full-round action, you can take a full-attack action to make melee attacks against the foe, moving 5 feet before each attack. You must move 5 feet before each melee attack you make, and can’t exceed your maximum speed, exceed your maximum number of attacks in a round, or attack any other target until the beginning of your next turn. You must remain adjacent to the foe, and your movement provokes attacks of opportunity as normal unless you succeed at the appropriate Acrobatics checks. If your first attack against the foe hits, you are considered to be flanking the foe on your second attack. Subsequent attacks made as part of the full-attack action continue to be treated as if you were flanking the foe until one of your attacks misses, at which point your attacks are treated normally.	A character without this feat is limited to only one 5-foot step during a full attack, taken before, after, or between attacks.				https://aonprd.com/FeatDisplay.aspx?ItemName=Circling%20Mongoose
Circling Offense	Combat, Teamwork	Rival Guide pg. 35	You are skilled at approaching large foes with an ally in a way that makes it difficult for your foes to find an advantage against you or your ally.	Dodge, Mobility, base attack bonus +3.	You receive a +1 dodge bonus to your Armor Class against attacks of opportunity provoked by moving through a creature’s reach, provided the creature is of a larger size category than you and provided at least one other ally with Circling Offense is within the creature’s reach. If a creature that you’re receiving this dodge bonus against attacks you and misses with the attack, it provokes attacks of opportunity from any of your allies who possess Circling Offense.					https://aonprd.com/FeatDisplay.aspx?ItemName=Circling%20Offense
Circuitous Shot	Combat	Ultimate Intrigue pg. 80	You can bounce ranged attacks off objects to obscure their point of origin and surprise foes.	Dex 19, Blind-Fight, Improved Precise Shot, Point-Blank Shot, Precise Shot, base attack bonus +11.	You can choose to take a –2 penalty on a ranged weapon attack to ricochet it off a stone or metal surface and resolve the attack as if it originated from the chosen ricochet point for the purpose of determining cover (but not for determining concealment). Add the entire distance the weapon or ammunition traveled to determine range penalties for the attack. Bouncing a shot this way can potentially enable you to make ranged attacks against foes who have total cover against you by going around obstacles, but such a foe still has total concealment against your attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Circuitous%20Shot
Clambering Escape	Combat	Ultimate Intrigue pg. 80	You can escape an area effect by throwing an enemy in its path to shield yourself.	Int 13, Combat Expertise, Improved RepositionAPG, evasion class feature.	When you successfully use your evasion class feature to avoid taking damage from an effect that allows a Reflex saving throw, you can attempt a special repositionAPG combat maneuver check against any one foe within reach as an immediate action. If successful, you switch positions with the target of your combat maneuver. If your foe was not initially within range of the effect that you evaded, it must save against the effect as if it had been within the area of effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Clambering%20Escape
Claw Wrench	Combat	Monster Hunter's Handbook pg. 9	You can pry open a mighty beast’s grasp or snapping jaws.	Dex 13, Improved Grapple, Improved Unarmed Strike.	As a standard action, you can attempt a grapple combat maneuver with a –5 penalty against a creature that is currently grappling another creature via its grab special ability. If you succeed, you pry open the creature’s grasp, releasing any creatures it had grappled.<br>Additionally, you can ready an action to trigger if a creature attempts a bite attack against you. When the readied action triggers, you can attempt a grapple combat maneuver with a +2 bonus. If you succeed, you grapple the creature and cause the bite attack to miss. As long as you maintain the grapple, the creature can’t use its bite attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Claw%20Wrench
Cleaving Sweep	Combat	Monster Codex pg. 68	You can sweep multiple foes to the ground with a single blow of your axe.	Str 15, Cleave, Improved Trip, Weapon Focus (greataxe), base attack bonus +11.	When using a full-attack action with a two-handed weapon, you can give up your regular attacks and instead attempt a trip combat maneuver at your highest base attack bonus against each opponent within reach. You must attempt a separate combat maneuver check against each opponent.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cleaving%20Sweep
Clinging Climber	Combat	Ultimate Wilderness pg. 108	Using leverage and pure brawn, you can cling to a cliff face, ladder, or rope with your legs to free both of your hands to take other actions.	Str 13, Climb 3 ranks.	As a move action while climbing, you can cling to your climbing surface with your legs by succeeding at a Climb check with the same DC as that of climbing the surface as a move action. If successful, you can make attacks with a two-handed ranged weapon and reload ranged weapons until you resume climbing. The GM can rule that this feat doesn’t work on certain climbing surfaces.					https://aonprd.com/FeatDisplay.aspx?ItemName=Clinging%20Climber
Cloak and Dagger Style	Combat, Style	Blood of Shadows pg. 24	Your attacks effortlessly inflict debilitating conditions on unaware opponents.	Int 13, Combat Expertise, Improved Dirty TrickAPG, Vital Strike, Weapon Focus with the chosen weapon, base attack bonus +6.	Choose one light melee weapon. While using this style, whenever you use the attack action to attack an opponent during a surprise round with your chosen weapon, you can attempt a dirty trickAPG combat maneuver check against that opponent as a free action. Additionally, if an adjacent target attempts to remove a condition that you inflicted upon it with the dirty trick combat maneuver, it provokes an attack of opportunity from you.		In addition to the chosen weapon, a character with the weapon training class feature can use Cloak and Dagger Style with any light melee weapon belonging to any fighter weapon group he has selected with weapon training. A character with the swashbuckler weapon trainingACG class feature can use Cloak and Dagger Style with light and one-handed piercing weapons.			https://aonprd.com/FeatDisplay.aspx?ItemName=Cloak%20and%20Dagger%20Style
Cloak and Dagger Subterfuge	Combat	Blood of Shadows pg. 25	Your increased martial skill allows you to take advantage of distracted foes to easily impose conditions, and even steal items without being noticed.	Int 13, Cloak and Dagger Style, Combat Expertise, Improved Dirty TrickAPG, Weapon Focus with the chosen weapon, base attack bonus +11.	While you are using Cloak and Dagger Style and wielding your chosen weapon, whenever you make an attack of opportunity against a target, you can attempt a free dirty trickAPG combat maneuver check against the target as a free action as well. Additionally, whenever you successfully perform a dirty trick maneuver against a target, you can immediately attempt a stealAPG combat maneuver check against the target as a free action. If you succeed, the target is unaware you have stolen an item.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cloak%20and%20Dagger%20Subterfuge
Cloak and Dagger Tactics	Combat	Blood of Shadows pg. 25	You devastate enemies that you catch off-guard.	Int 13, Cloak and Dagger Style, Cloak and Dagger Subterfuge, Combat Expertise, Improved Dirty TrickAPG, Vital Strike, Weapon Focus with the chosen weapon, base attack bonus +16.	While you are using Cloak and Dagger Style and wielding your chosen weapon, whenever you hit an opponent that is denied its Dexterity bonus to AC or that you are flanking, or make an attack using Vital Strike (or its improved or greater versions), you can attempt a dirty trickAPG combat maneuver check against that opponent as a free action. If you succeed, the target must succeed at a Fortitude save (DC = 10 + 1/2 your base attack bonus + your Intelligence modifier) or take an additional penalty from the dirty trick selected from the following list: anchored in place and unable to move from that square, confused, exhausted, or staggered. This additional penalty lasts only 1 round, regardless of how long the dirty trick’s normal penalty lasts, and can be removed by the target with a standard action. You can only attempt one free dirty trick combat maneuver check per round using this feat.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cloak%20and%20Dagger%20Tactics
Combat Meditation	Combat, Meditation	Faiths and Philosophies pg. 19	Quick momentary meditation allows you to gain insight in combat.	Wis 13, Meditation Master, character level 5th.	You can meditate as a full-round action. If you do, you gain all the benefits of your meditation feats, but they last for only 1 round per character level. Combat meditation allows you to expend the +1 insight bonus granted from the Meditation Master feat to instead roll twice when attempting an ability check, attack roll, saving throw, or skill check, taking the better of the two results. You must decide to use this ability before the initial roll is made. You may only use this alternate ability in place of bonuses granted by the Meditation Master feat. You can perform combat meditation a number of times per day equal to your Wisdom modifier.					https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Meditation
Combat Rhythm	Combat, Combination	Martial Arts Handbook pg. 27	The more your attacks land, the more confident your strikes.	Base attack bonus +6 or monk level 6th.	When you deal damage with a melee attack to an opponent you have already damaged this round, you can reduce the total of any voluntary penalties to your melee attack rolls imposed by actions or feats (such as the Power Attack feat) by 1 (to a minimum penalty of 0). This reduction in penalties lasts until the beginning of your next turn and stacks with itself.					https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Rhythm
Combat Stamina	Combat	Pathfinder Unchained pg. 112	You stop at nothing to drive your attack home.	Base attack bonus +1.	You gain a stamina pool. After you make an attack roll with a manufactured weapon, unarmed strike, or natural weapon attack with which you are proficient, but before the results are revealed, you can spend up to 5 stamina points. If you do, you gain a competence bonus on the attack roll equal to the number of stamina points you spent. If you miss with the attack, the stamina points you spent are still lost.		Since you have a stamina pool, you can spend your stamina points to use any combat tricks associated with combat feats you possess.			https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Stamina
Combat Vigor	Combat	Healer's Handbook pg. 14	You can quickly recuperate from devastating attacks without divine assistance.	Con 13.	You gain a vigor pool with a maximum number of points equal to your Constitution bonus. As a standard action, you can spend up to 1 vigor point per 3 Hit Dice you have (minimum 1) to regain 1d6 hit points per vigor point spent (maximum 7d6). Each time you spend vigor points, you become fatigued for 1 minute. You cannot spend vigor points while fatigued or exhausted. Spending vigor points doesn’t provoke attacks of opportunity. The points in your vigor pool are replenished to their maximum after you rest for 8 hours.					https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Vigor
Compounded Pain	Combat	Occult Adventures pg. 129	Your painful stare causes two additional effects.	Mesmerist level 13th, painful stare class feature.	You can apply the effects of two stare feats to your painful stares.	You can apply the effects of only one stare feat to a given painful stare.				https://aonprd.com/FeatDisplay.aspx?ItemName=Compounded%20Pain
Concentrated Fire	Combat, Teamwork	Inner Sea Races pg. 204	Your simultaneous ranged attacks punch through your foe’s defenses with ease.	Point-Blank Shot, elf, weapon familiarity racial trait.	If you and a single ally who also has this feat both ready an action to each make a ranged attack against the same opponent and choose the same condition for the readied action, when you and the ally make those attacks, each of you can use the highest of the two attack rolls for your attack roll. Furthermore, if you and your ally both hit the target, you can total the damage for both attacks before applying the target’s damage reduction or energy resistance.					https://aonprd.com/FeatDisplay.aspx?ItemName=Concentrated%20Fire
Concentrated Splash	Combat	Ranged Tactics Toolbox pg. 6	You can limit the splatter of your splash weapons to increase damage against your target.	Precise Shot or Throw Anything.	When you deal a direct hit to a creature with a splash weapon that normally also deals splash damage, you can choose to forgo dealing splash damage. If you do, the damage dealt to the target of the direct hit increases by 50%. This damage is multiplied on a critical hit.<br>This feat cannot be used with an alchemist’s bombsAPG.					https://aonprd.com/FeatDisplay.aspx?ItemName=Concentrated%20Splash
Confusing Stare	Combat, Stare	Psychic Anthology pg. 16	Your stare addles your foe’s mind.	Mesmerist level 7th, painful stare class feature.	When you trigger your painful stare, the target must succeed at a Will save (DC = 10 + half your mesmerist level + your Charisma modifier) or else become confused for 1 round. The target must roll twice to determine the result of its confused condition, and you select which roll is used.					https://aonprd.com/FeatDisplay.aspx?ItemName=Confusing%20Stare
Consume Essence	Combat	Horror Adventures pg. 84	Creatures that you swallow are quickly absorbed and soon utterly annihilated.	Base attack bonus +6; evil alignment; swallow whole universal monster ability; must be of the magical beast, outsider, or undead type.	When you start your turn having swallowed at least one creature, each swallowed creature must succeed at a Fortitude save (DC = 10 + 1/2 your Hit Dice + your Charisma modifier) or gain a temporary negative level. Swallowed creatures that die from these negative levels are consumed as per disintegrate. This is a death effect.		If you are of the undead type, each time a swallowed creature gains a temporary negative level from his ability, you add 5 temporary hit points to the number of hit points that swallowed creatures must deal to escape, up to a maximum of 15 temporary hit points. These temporary hit points last for 10 minutes.			https://aonprd.com/FeatDisplay.aspx?ItemName=Consume%20Essence
