archetype	class	feature	type	level	replaces	text	source	url
Undine Adept	Druid	Domains				An undine adept who chooses a domain must choose the Community or Water domain, or any subdomain of those domains.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Undine Adept	Druid	Amphibious	Su	2	woodland stride	At 2nd level, the undine adept gains the aquatic subtype and the amphibious universal monster ability, allowing her to breathe water or air. This ability replaces woodland stride.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Undine Adept	Druid	Augment Summoning	Su	3	trackless step	At 3rd level, any creature with the water subtype the undine adept summons with either summon monster or summon nature’s ally gains the benefits of the Augment Summoning feat. This replaces trackless step.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Undine Adept	Druid	Resist Water’s Call	Su	4	resist nature’s lure	At 4th level, an undine adept gains a +4 bonus on saving throws against the spell-like and supernatural abilities of outsiders with the aquatic or water subtype, fey with the aquatic or water subtype, and spells and effects with the water descriptor. This ability replaces resist nature’s lure.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Undine Adept	Druid	Wild Shape	Su	6	wild shape	At 6th level, an undine adept gains the ability to use wild shape. When an undine takes the form of a creature with the aquatic or water subtype, this ability functions at her class level + 1. For all other forms, her effective druid level for the ability is equal to her actual undine adept level. This ability otherwise functions as and replaces wild shape.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Undine Adept	Druid	Commune with Water Spirits		9	venom immunity	At 9th level, an undine adept adds commune to her druid spell list. She may use this spell whether she worships a deity or elemental forces. This ability replaces venom immunity.	Advanced Race Guide pg. 176	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Undine%20Adept
Urban Druid	Druid	Spontaneous Casting			the ability to spontaneously cast summon nature’s ally spells	An urban druid can channel stored spell energy into domain spells that she has not prepared ahead of time. She can “lose” a prepared spell in order to cast any domain spell of the same level or lower. This ability replaces the ability to spontaneously cast summon nature’s ally spells.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	Nature Bond	Ex			An urban druid may not select an animal companion. Instead, she must choose from the following domains, rather than those usually available to druids: Charm, Community, Knowledge, Nobility, Protection, Repose, Rune, or Weather.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	Lorekeeper	Ex	2	a druid’s woodland stride and trackless step abilities	At 2nd level, an urban druid adds Diplomacy, Knowledge (history), Knowledge (local), and Knowledge (nobility) skills to her list of class skills. She also receives a +2 bonus on these skill checks. This ability replaces a druid’s woodland stride and trackless step abilities.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	Resist Temptation	Ex	4	the resist nature’s lure ability	At 4th level, an urban druid gains a +2 bonus on saves vs. divinations and enchantments. This replaces the resist nature’s lure ability.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	A Thousand Faces	Su	6		An urban druid gains this ability at 6th level.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	Wild Shape	Su	8		An urban druid gains this ability at 8th level, except that her effective druid level for the ability is equal to her druid level – 4.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urban Druid	Druid	Mental Strength	Ex	9	venom immunity	At 9th level, an urban druid gains immunity to charm and compulsion effects. This ability replaces venom immunity.	Advanced Player's Guide pg. 101	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urban%20Druid
Urushiol	Druid	Toxic Secretions	Su	1	nature bond and resist nature’s lure	At 1st level, an urushiol’s body becomes capable of producing a single dose of poison per day. At 3rd level and every 2 druid levels thereafter, the number of daily doses increases by 1, to a maximum of 10 doses at 19th level. The urushiol’s daily doses are replenished when he regains his spells, but any of his weapons that are still poisoned with urushiol venom count against his daily limit. The urushiol is immune to his own poison and cannot accidentally poison himself when applying his own poison or attacking with a weapon coated with it. Regardless of the delivery method he chooses, his poison has the following base statistics.<br>Urushiol Venom: type poison (varies); save Fortitude negates; frequency 1/round for 2 rounds; effect 1d3 Strength damage; cure 1 save. The save DC is equal to 10 + 1/2 the urushiol’s level + his Wisdom modifier.<br>At 1st level, an urushiol can secrete this poison as a numbing injury poison on a natural weapon, unarmed strike, or manufactured weapon by spending 1 of his daily doses as a standard action. He must choose a natural weapon, unarmed strike, or manufactured weapon in his hand that deals piercing or slashing damage and that is not already poisoned or poisonous. The weapon remains poisoned until the urushiol scores a hit with it, the weapon leaves his possession for more than 1 round, or the poison is wiped away.<br>At 4th level, an urushiol’s body becomes so saturated with poison that even his flesh is poisonous. Whenever a creature damages the urushiol with a bite or swallow whole attack, the urushiol can release ingested poison into the creature by spending 1 of his daily doses as an immediate action.<br>At 7th level, an urushiol can spend 2 daily doses of his poison as a standard action to secrete a contact poison and coat one of his limbs with the secreted poison. The urushiol can deliver the poison by making a successful touch attack as a standard action, which can be part of the same standard action he used to secrete the poison. If the attack misses, the poison persists upon his limb throughout the subsequent rounds until he hits a target or touches something else with his poisoned limb.<br>At 11th level, an urushiol can spend 3 daily doses of his poison as a standard action to release a 20-foot-radius cloud of inhaled poison centered around him that lasts for 1 round.<br>At 14th level, an urushiol’s venom changes in frequency to 1/round for 4 rounds. In addition, when using his urushiol venom, an urushiol can spend an extra dose of his poison to change the damage type of the poison to Dexterity damage or Constitution damage. He can use this alteration in combination with any of the other abilities. For example, he could spend a total of 3 doses to create a cloud of inhaled poison that deals Constitution damage.<br>This ability replaces nature bond and resist nature’s lure.	Ultimate Intrigue pg. 27	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urushiol
Urushiol	Druid	Venom Immunity	Ex	4	venom immunity	An urushiol gains venom immunity at 4th level instead of 9th level.<br>This ability alters venom immunity.	Ultimate Intrigue pg. 27	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Urushiol
Wild Whisperer	Druid	Inspiration	Ex	2	woodland stride, trackless step, and resist nature’s lure	At 2nd level, a wild whisperer gains an inspiration pool as the investigator class ability (see page 31). A wild whisperer uses her druid level as her investigator level when determining the effects of this ability. Instead of free uses of inspiration on Knowledge, Linguistics, or Spellcraft skill checks, the wild whisperer can use inspiration on Handle Animal, Heal, Knowledge (geography), Knowledge (nature), Ride, Sense Motive, and Survival skill checks without expending a use of inspiration, provided she’s trained in the relevant skill. She can also use inspiration on any wild empathy check without expending a use of inspiration. A wild whisperer’s inspiration pool refreshes each day when she prepares spells. This ability replaces woodland stride, trackless step, and resist nature’s lure.	Advanced Class Guide pg. 92	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wild%20Whisperer
Wild Whisperer	Druid	Wild Shape	Ex	4	wild shape	At 4th level, a wild whisperer gains the wild shape ability, but she never gains access to any forms beyond Small and Medium animal forms, as beast shape I. This ability alters wild shape.	Advanced Class Guide pg. 92	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wild%20Whisperer
Wild Whisperer	Druid	Natural Expertise	Ex	6	the additional use of wild shape at 6th level	At 6th level, a wild whisperer’s powers of observation give her an advantage when she’s fighting natural creatures. When using inspiration on an attack roll against an animal or a vermin or on a saving throw against an effect from an animal or a vermin, a wild whisperer has to expend only one use of inspiration instead of two. This ability replaces the additional use of wild shape at 6th level.	Advanced Class Guide pg. 92	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wild%20Whisperer
Wild Whisperer	Druid	Investigator Talent		8	the additional use of wild shape at 8th level	At 8th level, wild whisperer selects an investigator talent (see page 32). This ability replaces the additional use of wild shape at 8th level.	Advanced Class Guide pg. 92	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wild%20Whisperer
Wild Whisperer	Druid	Investigator Talents				The following investigator talents complement the wild whisperer archetype: amazing inspiration, effortless aid, eidetic recollection, empathy, inspirational expertise, inspired alertness, inspired intimidator, perceptive tracking, tenacious inspiration.	Advanced Class Guide pg. 92	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wild%20Whisperer
Wolf Shaman	Druid	Nature Bond				A wolf shaman who chooses an animal companion must select a wolf. If choosing a domain, the wolf shaman must choose from the Animal, Community, Liberation, and Travel domains.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
Wolf Shaman	Druid	Wild Empathy	Ex			A wolf shaman can use wild empathy with canines as a full-round action with a +4 bonus.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
Wolf Shaman	Druid	Totem Transformation	Su	2		At 2nd level, a wolf shaman may adopt an aspect of the wolf while retaining her normal form. This ability functions as the bear shaman ability, but the druid may select from the following bonuses: movement (+20 enhancement bonus to land speed), senses (low-light vision, scent, +4 racial bonus to Survival when tracking by scent), or natural weapons (bite [1d4 plus trip] for a Medium druid, +2 CMB to trip). While using totem transformation, the wolf shaman may speak normally and can cast speak with animals (canines only) at will.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
Wolf Shaman	Druid	Totemic Summons	Su	5		At 5th level, a wolf shaman may cast summon nature’s ally as a standard action when summoning canines, and these summoned creatures gain temporary hit points equal to her druid level. This ability otherwise functions as the bear shaman ability.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
Wolf Shaman	Druid	Wild Shape	Su	6	wild shape	At 6th level, a wolf shaman’s wild shape ability functions at her druid level – 2. If she takes on the form of a canine, she instead uses her druid level + 2. This ability replaces wild shape.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
Wolf Shaman	Druid	Bonus Feat		9	venom immunity	At 9th level and every 4 levels thereafter, a wolf shaman gains one of the following bonus feats: Greater Trip, Improved Trip, Mobility, Skill Focus (Stealth), or Spring Attack. She must meet the prerequisites for these bonus feats. This ability replaces venom immunity.	Advanced Player's Guide pg. 103	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Wolf%20Shaman
World Walker	Druid	Favored Terrain	Ex	3	trackless step and resist nature’s lure	At 3rd level, the world walker gains the ranger’s favored terrain ability. She treats her druid level as her ranger level for this ability. If she has levels in both classes, both class’s levels stack for determining the effect of this ability. This ability replaces trackless step and resist nature’s lure.	Ultimate Combat pg. 43	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=World%20Walker
World Walker	Druid	Path of Trees	Su	9	both venom immunity and timeless body	At 9th level, once a day, a wanderer can step within a tree and then teleport from that tree to another one in a manner similar to the tree stride spell. She gains an extra use of this ability each day at 12th level, and a third use of this ability at 15th level. Furthermore, a world walker of 13th level or higher can use this ability to teleport to any other tree of its type up to 100 miles away. This ability replaces both venom immunity and timeless body.	Ultimate Combat pg. 43	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=World%20Walker
Aerial Assaulter	Fighter	Class Skills			the fighter’s skills	An aerial assaulter gains Acrobatics and Fly as class skills. Knowledge (dungeoneering), Ride, and Swim are not class skills for an aerial assaulter.<br>This alters the fighter’s skills.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerial%20Assaulter
Aerial Assaulter	Fighter	Aerial Expertise	Ex	2	bravery	At 2nd level, an aerial assaulter gains a +2 bonus on Fly checks. Additionally, whenever he is affected by a spell or ability that grants him a fly speed, he treats that spell or ability as though its caster level were 2 higher for the purposes of determining its effects. At 6th level and every 4 levels thereafter, this bonus on Fly checks increases by an additional 2, to a maximum of +10 at 18th level.<br>This replaces bravery.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerial%20Assaulter
Aerial Assaulter	Fighter	Take the High Ground	Ex	2	the bonus feats gained at 2nd and 12th level	At 2nd level, an aerial assaulter can leap above his foes to gain an advantage in combat. As a move action, he can attempt an Acrobatics check with the DC equal to the CMD of an adjacent enemy. If he succeeds, the aerial assaulter is treated as if he had higher ground against that enemy until the beginning of his next turn. At 4th level and every 4 levels thereafter, an aerial assaulter increases his bonus from higher ground by 1, to a total of a +6 bonus at 20th level. At 12th level, an aerial assaulter can use this ability as a swift action.<br>This replaces the bonus feats gained at 2nd and 12th level.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerial%20Assaulter
Aerial Assaulter	Fighter	Aerial Dodge	Ex	19	armor mastery	At 19th level, an aerial assaulter can perform an aerial dodge that allows him to evade attacks while flying. As an immediate action, when an opponent attempts an attack against the aerial assaulter, he can attempt a Fly check with a DC equal to the result of the attacker’s attack roll. If he succeeds, he can take a 5-foot step and gain a dodge bonus to his AC equal to his Dexterity modifier. This movement doesn’t negate the attack if the aerial assaulter remains in range of the attacking enemy’s reach at the end of the 5-foot step. If the Fly check fails, the aerial assaulter does not move, does not gain an AC bonus, and provokes an attack of opportunity from each creature that threatens him, including the initial attacker. The aerial assaulter must be flying to use this ability.<br>This replaces armor mastery.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerial%20Assaulter
Aerial Assaulter	Fighter	High Ground Mastery	Ex	20	weapon mastery	At 20th level, whenever an aerial assaulter threatens a critical hit with an attack made from higher ground, he automatically confirms the critical hit, and the weapon’s damage multiplier is increased by 1. In addition, all bull rush, dirty trick, drag, grapple, reposition, and trip combat maneuver checks against the aerial assaulter fail when attempted by opponents on lower ground than he is.<br>This replaces weapon mastery.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerial%20Assaulter
Airborne Ambusher	Fighter	Weapon and Armor Proficiency				An airborne ambusher is not proficient with heavy armor or tower shields.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Airborne Ambusher	Fighter	Class Skills				An airborne ambusher adds Fly to his list of class skills and removes Climb from his list of class skills.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Airborne Ambusher	Fighter	Combat Flyer	Ex	2	bravery	At 2nd level, an airborne ambusher may use his fighter bonus feats to select Flyby Attack and Hover. This replaces bravery.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Airborne Ambusher	Fighter	Aerobatics	Ex	5	weapon training 1	At 5th level, an airborne ambusher may make a Fly check instead of an Acrobatics check to move through a threatened area or an enemy’s space. This replaces weapon training 1.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Airborne Ambusher	Fighter	Flying Dodger	Ex	9	weapon training 2	At 9th level, when an airborne ambusher flies at least half its fly speed on its turn, it gains a +1 dodge bonus to AC for 1 round. This bonus increases to +2 at 11th level and +4 at 17th level. This ability replaces weapon training 2.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Airborne Ambusher	Fighter	Plummeting Charge	Ex	13	weapon training 3 and 4	At 13th level, if an airborne ambusher flies at least half its fly speed as part of a charge, it gains a +2 racial bonus on the attack roll (in addition to the normal charge bonus) and a +4 bonus on its critical confirmation roll. These bonuses improve to +4 and +6 at 17th level. This replaces weapon training 3 and 4.	Advanced Race Guide pg. 201	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Airborne%20Ambusher
Aldori Defender	Fighter	Suggested Feats			some of the bonus feats that a fighter would normally have access to, Aldori defenders still have several opportunities to gain feats	Although this archetype replaces some of the bonus feats that a fighter would normally have access to, Aldori defenders still have several opportunities to gain feats. The following feats are the most thematically appropriate for an Aldori defender, but the archetype does not require any of them: Aldori Dueling Mastery (see page 24), Combat Expertise, Dazzling Display, Exotic Weapon Proficiency (Aldori dueling sword), Improved Disarm, Improved Feint, Improved Initiative, Lunge, Quick Draw, Weapon Finesse, Weapon Focus (Aldori dueling sword), Weapon Specialization (Aldori dueling sword).	Adventurer's Guide pg. 22	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aldori%20Defender
Aldori Defender	Fighter	Defensive Parry	Ex	3	armor training	At 3rd level, when an Aldori defender makes a full attack with an Aldori dueling sword, he gains a +1 shield bonus to his AC against melee attacks until the beginning of his next turn. This bonus increases to +2 at 7th level, +3 at 11th level, and +4 at 15th level.<br>This ability replaces armor training.	Adventurer's Guide pg. 22	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aldori%20Defender
Aldori Defender	Fighter	Disarming Strike	Ex	6	the bonus feat the fighter would normally gain at 6th level	At 6th level, when an Aldori defender successfully disarms an opponent using an Aldori dueling sword, he also deals normal damage to the target, but without the normal Strength bonus to damage.<br>This ability replaces the bonus feat the fighter would normally gain at 6th level.	Adventurer's Guide pg. 22	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aldori%20Defender
Aldori Defender	Fighter	Steel Net	Ex	8	the bonus feat the fighter would normally gain at 8th level	At 8th level, an Aldori defender can create a blazing wall of steel to defend himself. When fighting defensively as a full-round action with an Aldori dueling sword, the Aldori defender’s penalties on all attacks in a round are reduced by 2, and his dodge bonus to AC increases by 2 for the same round.<br>This ability replaces the bonus feat the fighter would normally gain at 8th level.	Adventurer's Guide pg. 22	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aldori%20Defender
Aldori Defender	Fighter	Counterattack	Ex	10	the bonus feat the fighter would normally gain at 10th level	At 10th level, once per round, an Aldori defender can make an attack of opportunity against an opponent who hits him with a melee attack (regardless of how many attacks of opportunity the Aldori defender can otherwise make), so long as the attacking creature is within the his reach.<br>This ability replaces the bonus feat the fighter would normally gain at 10th level.	Adventurer's Guide pg. 22	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aldori%20Defender
Aquanaut	Fighter	Armor Proficiency			the fighter’s armor proficiency	An aquanaut is proficient with light and medium armor, but not with shields.<br>This alters the fighter’s armor proficiency.	Aquatic Adventures pg. 51	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquanaut
Aquanaut	Fighter	Piercing Focus			bonus feats and weapon mastery	If an aquanaut takes a fighter bonus feat that normally requires selecting a single weapon (except weapon proficiency feats), he can instead apply the feat to all melee piercing weapons with which he is already proficient and that meet all other prerequisites for that feat. This ability counts as having the feat for each such individual weapon for the purpose of meeting prerequisites. This ability also applies to the weapon mastery class feature.<br>This alters bonus feats and weapon mastery.	Aquatic Adventures pg. 51	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquanaut
Aquanaut	Fighter	Tidal Celerity		2	bravery	At 2nd level, an aquanaut gains a +1 bonus on Reflex saves and saving throws against effects that would immobilize or paralyze him. This bonus increases by 1 for every 4 levels beyond 2nd.<br>This ability replaces bravery.	Aquatic Adventures pg. 51	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquanaut
Aquanaut	Fighter	Aquadynamic Paragon		3	armor training and armor mastery	At 3rd level, an aquanaut gains a swim speed equal to his unmodified base land speed (if he has a racial swim speed, he instead increases it by 10 feet) and can choose to have a neutral buoyancy once per turn as a free action. At 7th level, he can choose any of the five states of buoyancy once per turn as a free action, and can take his buoyancy movement as part of that free action instead of at the end of his turn without becoming off-balance and without requiring a Swim check; additionally, he can choose to double or halve how far a current moves him. At 11th level, whenever he takes a move, double move, withdraw, or run action underwater, he can leave a current behind him in the squares along his path; this current has a speed of 10 feet in the direction of his movement (if his movement was circuitous, so is the current) and lasts until the beginning of his next turn. At 15th level, as a full round action, an aquanaut can spin ferociously underwater, creating a whirlpool around himself with a spinning force that drags all creatures within 120 feet of him 30 feet closer to him. Creatures closer than 30 feet spend the 30 feet of movement circling around the aquanaut in a single direction of his choice. The whirlpool isn’t fast enough to deal damage, but the aquanaut is unaffected by his own whirlpool, allowing him to make attacks of opportunity against creatures moving in it. At 19th level, the aquanaut learns to use the water around him to soften blows, gaining DR 5/— while underwater.<br>This ability replaces armor training and armor mastery.	Aquatic Adventures pg. 51	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquanaut
Aquanaut	Fighter	Underwater Training		5	weapon training	At 5th level, an aquanaut chooses bludgeoning, slashing, or piercing melee weapons. If he chooses piercing melee weapons, he gains a +1 bonus on attack and damage rolls with those weapons when attacking underwater. If he chooses bludgeoning or slashing melee weapons, he can ignore the usual underwater penalties for attacking with those weapons (see page 44). At 9th and 13th levels, he can choose another type of melee weapon, applying this ability’s initial benefit to his new choice and gaining an additional +1 bonus on attack and damage rolls to his previously chosen weapon types. At 17th level, he gains an additional +1 bonus on attack and damage rolls with all three types.<br>This ability replaces weapon training.	Aquatic Adventures pg. 51	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquanaut
Archer	Fighter	Hawkeye	Ex	2	bravery	At 2nd level, an archer gains a +1 bonus on Perception checks, and the range increment for any bow he uses increases by 5 feet. These bonuses increase by +1 and 5 additional feet for every 4 levels beyond 2nd. This ability replaces bravery.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Trick Shot	Ex	3	armor training 1, 2, 3, and 4	At 3rd level, an archer can choose one of the following combat maneuvers or actions: disarm, feint, or sunder. He can perform this action with a bow against any target within 30 feet, with a –4 penalty to his CMB. Every four levels beyond 3rd, he may choose an additional trick shot to learn. These maneuvers use up arrows as normal.<br>At 11th level, he may also choose from the following combat maneuvers: bull rush, grapple, trip. A target grappled by an arrow can break free by destroying the archer’s arrow (hardness 5, hit points 1, break DC 13) or with an Escape Artist or CMB check (against the archer’s CMD –4). This ability replaces armor training 1, 2, 3, and 4.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Expert Archer	Ex	5	weapon training 1	At 5th level, an archer gains a +1 bonus on attack and damage rolls with bows. This bonus increases by +1 for every four levels beyond 5th. This ability replaces weapon training 1.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Safe Shot	Ex	9	weapon training 2	At 9th level, an archer does not provoke attacks of opportunity when making ranged attacks with a bow. This ability replaces weapon training 2.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Evasive Archer	Ex	13	weapon training 3	At 13th level, an archer gains a +2 dodge bonus to AC against ranged attacks. This bonus increases to +4 at 17th level. This ability replaces weapon training 3.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Volley	Ex	17	weapon training 4	At 17th level, as a full-round action, an archer can make a single bow attack at his highest base attack bonus against any number of creatures in a 15-foot- radius burst, making separate attack and damage rolls for each creature. This ability replaces weapon training 4.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Ranged Defense	Ex	19	armor mastery	At 19th level, an archer gains DR 5/— against ranged attacks. In addition, as an immediate action, he can catch an arrow fired at him and shoot it any target he chooses, as if he had the Snatch Arrows feat. This ability replaces armor mastery.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Archer	Fighter	Weapon Mastery	Ex			An archer must choose a type of bow.	Advanced Player's Guide pg. 104	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Archer
Armiger	Fighter	Bonus Feats			the fighter’s bonus feats	When selecting fighter bonus feats, the armiger can select any feats whose names include the word “Hellknight” (such as those that appear on page 62 of Pathfinder Campaign Setting: Path of the Hellknight) as though they were combat feats.<br>This alters the fighter’s bonus feats.	Adventurer's Guide pg. 94	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armiger
Armiger	Fighter	Hellknight Order		1		At 1st level, an armiger must select which Hellknight order she intends to join. If the armiger later gains levels in a Hellknight prestige class, she must select that same order.	Adventurer's Guide pg. 94	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armiger
Armiger	Fighter	Studious Squire			the fighter’s class skills and skill points per level, and replaces the fighter’s bonus feats gained at 1st and 10th levels	An armiger gains 2 additional skill ranks at each level. These ranks must be put into Intimidate and Knowledge (planes). In addition, the armiger treats Knowledge (local) and Knowledge (planes) as class skills.<br>This alters the fighter’s class skills and skill points per level, and replaces the fighter’s bonus feats gained at 1st and 10th levels.	Adventurer's Guide pg. 94	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armiger
Armiger	Fighter	Ardent	Su	2	bravery	Armigers are difficult to sway from their beliefs. At 2nd level, an armiger gains a +1 bonus on Will saves against charm effects. This bonus increases by 1 for every 4 fighter levels beyond 2nd. Once per day, if an armiger is forced to take an action that is diametrically opposed to her order’s beliefs and values while under the influence of a charm or compulsion effect, she can immediately attempt a Will save against the effect’s DC to resist acting out that order. Success does not remove the existing charm or compulsion effect, but does allow the armiger to resist betraying her beliefs.<br>This replaces bravery.	Adventurer's Guide pg. 94	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armiger
Armor Master	Fighter	Deflective Shield	Ex	2	bravery	At 2nd level, an armor master specializes in using his shield to deflect attacks. He gains a +1 bonus to his touch AC, and this bonus increases for every four levels beyond 2nd (to a maximum of +6 at 20th level); however, this bonus cannot exceed the sum of the armor and enhancement bonus to AC provided by the shield that the armor master is currently carrying. This ability replaces bravery.	Ultimate Combat pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armor%20Master
Armor Master	Fighter	Armored Defense	Ex	5	weapon training 1 and 3, and armor mastery	At 5th level, an armor master gains DR 1/— when wearing light armor, DR 2/— when wearing medium armor, and DR 3/— when wearing heavy armor. At 19th level, this damage reduction increases to DR 4/— when wearing light armor, DR 8/— when wearing medium armor, and DR 12/— when wearing heavy armor. This damage reduction stacks with that provided by adamantine armor, but not with other forms of damage reduction. This damage reduction does not apply if the armor master is stunned, unconscious, or helpless. This ability replaces weapon training 1 and 3, and armor mastery.	Ultimate Combat pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armor%20Master
Armor Master	Fighter	Fortification	Ex	9	weapon training 2 and 4	At 9th level, an armor master can use his armor to shield critical areas from injury. He treats any armor he wears as if it had the light fortification special ability. At 13th level, his armor gains the moderate fortification special ability. This fortification does not stack in any way with armor that has these special abilities. In these cases the armor master takes the better of the two fortifications. This ability replaces weapon training 2 and 4.	Ultimate Combat pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armor%20Master
Armor Master	Fighter	Indestructible	Ex	20	weapon mastery	At 20th level, an armor master gains complete immunity to critical hits and sneak attacks while he is wearing armor. In addition, unless his armor has the fragile armor quality, it cannot be sundered while he is wearing it. This ability replaces weapon mastery.	Ultimate Combat pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Armor%20Master
Brawler	Fighter	Close Control	Ex	2	armor training 1	At 2nd level, a brawler becomes skilled at forcefully moving his opponent around the battlefield. The brawler gains a +1 bonus on bull rush, drag, and reposition combat maneuver checks. The brawler also gains a +1 bonus to CMD when attacked with the bull rush, drag, and reposition maneuvers. These bonuses increase by +1 for every four levels after 2nd (to a maximum of +5 at 18th level). This ability replaces armor training 1.	Ultimate Combat pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Brawler
