name	school	subschool	descriptors	level	casting_time	components	range	target	area	effect	duration	saving_throw	spell_resistance	description	mythic	source	url
Ice Storm	evocation		cold	arcanist 4, bloodrager 4, druid 4, hunter 4, magus 4, occultist 4, shaman 4, sorcerer 4, witch 4, wizard 4	1 standard action	V, S, M/DF (dust and water)	long (400 ft. + 40 ft./level)		cylinder (20-ft. radius, 40 ft. high)		1 round/level (D)	none;	yes	Great magical hailstones pound down upon casting this spell, dealing 3d6 points of bludgeoning damage and 2d6 points of cold damage to every creature in the area. This damage only occurs once, when the spell is cast. For the remaining duration of the spell, heavy snow and sleet rains down in the area. Creatures inside this area take a –4 penalty on Perception skill checks and the entire area is treated as difficult terrain. At the end of the duration, the snow and hail disappear, leaving no aftereffects (other than the damage dealt).	Source Mythic Adventures pg. 98<br>The bludgeoning damage increases to 4d8 points of damage and the cold damage increases to 3d6 points of damage. The ground in the area is covered in ice and hailstones, acting as though a grease spell were cast on it. Dealing 5 or more points of fire damage to a square melts the ice and hail, negating the grease effect.<br>Augmented (6th): If you expend two uses of mythic power, one creature in the area is paralyzed (as if by hold person) and gains vulnerability to fire as long as it’s paralyzed.	PRPG Core Rulebook pg. 298	https://aonprd.com/SpellDisplay.aspx?ItemName=Ice%20Storm
Ill Omen	enchantment	compulsion	curse, mind-affecting	medium 1, mesmerist 1, psychic 1, witch 1	1 standard action	V, S, M (hair from a black cat)	close (25 ft. + 5 ft./2 levels)	one creature			1 round/level or until discharged	none;	yes	You afflict the target with bad luck. On the next d20 roll the target makes, it must roll twice and take the less favorable result. For every five caster levels you have, the target must roll twice on an additional d20 roll (to a maximum of five rolls at 20th level).<br>A target who can speak and has at least one free hand and who is aware of the spell and its effects (such as from a Spellcraft check to identify the spell as it is cast) can negate one reroll by spending a move action to utter a brief prayer or good luck charm to appease the spirits of ill fortune.	Source Mythic Adventures pg. 98<br>For the target’s unlucky d20 rolls, it must roll three times and take the lowest result. Spending a move action to utter a prayer or good luck charm allows the target to roll twice instead of three times.<br>Augmented (4th): If you expend two uses of mythic power, you afflict the target with especially foul luck. Any natural 20 it rolls counts as a natural 1 instead.	Advanced Player's Guide pg. 229	https://aonprd.com/SpellDisplay.aspx?ItemName=Ill%20Omen
Imbue with Flight	transmutation			arcanist 4, redmantisassassin 4, sorcerer 4, wizard 4	1 standard action	V, M (handful of down)	touch	object touched			1 hour/level (D)	Will negates (harmless, object);	yes (harmless, object)	You grant a touched Large or smaller object the ability to fly at a speed of 40 feet with average maneuverability. It can ascend at half speed and descend at double speed. The targeted object flies as you direct it, using your Fly skill for any difficult maneuvers. You must be within close range (25 ft. + 5 ft./2 levels) of the object to direct it, and moving it requires a move action. If not directed, the object hovers in place (no Fly check required). The maximum weight of the object and anything carried by it is 500 pounds per caster level (maximum 10,000 pounds).	Source Mythic Origins pg. 15<br>If you expend one use of mythic power, you double the maximum weight of the object you can imbue with flight. You can expend additional uses of mythic power to increase the maximum size of the object you can imbue with flight. Imbuing a Huge object requires two uses of mythic power, imbuing a Gargantuan object requires four uses, and imbuing a Colossal object requires eight uses. These costs include the expenditure to cast a mythic spell, and count toward doubling the weight limit of the spell.<br>Two or more casters can cast this spell in concert to share the mythic power cost. Each caster must expend an additional use of mythic power to cooperate; this does not count toward the other costs or effects of the spell. The group chooses which caster has control of the flight. As a full-round action, the controlling caster can cede control to another caster involved in the original casting of the spell.	Mythic Origins pg. 15	https://aonprd.com/SpellDisplay.aspx?ItemName=Imbue%20with%20Flight
Inflict Critical Wounds	necromancy			cleric 4, inquisitor 4, occultist 4, oracle 4, shaman 4, spiritualist 4, warpriest 4, witch 5	1 standard action	V, S	touch	creature touched			instantaneous	Will half;	yes	This spell functions like inflict light wounds, except that you deal 4d8 points of damage + 1 point per caster level (maximum +20).	Source Mythic Adventures pg. 98<br>The damage dealt increases to 8d8 points of damage + 2 points per caster level (maximum +40). A living target is sickened for 1 round per caster level (maximum 20 rounds) if it fails its saving throw. Inflict Critical Wounds, Mass<br>Source PRPG Core Rulebook pg. 300<br>School necromancy; Level cleric 8, oracle 8, shaman 8, witch 9Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one creature/level, no two of which can be more than 30 ft. apart<br>Duration instantaneous<br>Saving Throw Will half; Spell Resistance yesDescription<br>This spell functions like mass inflict light wounds, except that it deals 4d8 points of damage + 1 point per caster level (maximum +40).	PRPG Core Rulebook pg. 300	https://aonprd.com/SpellDisplay.aspx?ItemName=Inflict%20Critical%20Wounds
Inflict Light Wounds	necromancy			antipaladin 1, cleric 1, inquisitor 1, occultist 1, oracle 1, shaman 1, spiritualist 1, warpriest 1, witch 1	1 standard action	V, S	touch	creature touched			instantaneous	Will half;	yes	When laying your hand upon a creature, you channel negative energy that deals 1d8 points of damage + 1 point per caster level (maximum +5).<br>Since undead are powered by negative energy, this spell cures such a creature of a like amount of damage, rather than harming it.	Source Mythic Adventures pg. 99<br>The damage dealt increases to 2d8 points of damage + 2 points per caster level (maximum +10). A living target is sickened for 1 round per caster level (maximum 5 rounds) if it fails its saving throw. Inflict Light Wounds, Mass<br>Source PRPG Core Rulebook pg. 300<br>School necromancy; Level cleric 5, inquisitor 5, occultist 5, oracle 5, shaman 5, warpriest 5, witch 6Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one creature/level, no two of which can be more than 30 ft. apart<br>Duration instantaneous<br>Saving Throw Will half; Spell Resistance yesDescription<br>Negative energy spreads out in all directions from the point of origin, dealing 1d8 points of damage + 1 point per caster level (maximum +25) to nearby living enemies.<br>Like other inflict spells, mass inflict light wounds cures undead in its area rather than damaging them. A cleric capable of spontaneously casting inflict spells can also spontaneously cast mass inflict spells.	PRPG Core Rulebook pg. 300	https://aonprd.com/SpellDisplay.aspx?ItemName=Inflict%20Light%20Wounds
Inflict Moderate Wounds	necromancy			antipaladin 3, cleric 2, inquisitor 2, occultist 2, oracle 2, shaman 2, spiritualist 2, warpriest 2, witch 2	1 standard action	V, S	touch	creature touched			instantaneous	Will half;	yes	This spell functions like inflict light wounds, except that you deal 2d8 points of damage + 1 point per caster level (maximum +10).	Source Mythic Adventures pg. 99<br>The damage dealt increases to 4d8 points of damage + 2 points per caster level (maximum +20). A living target is sickened for 1 round per caster level (maximum 10 rounds) if it fails its saving throw. Inflict Moderate Wounds, Mass<br>Source PRPG Core Rulebook pg. 300<br>School necromancy; Level cleric 6, inquisitor 6, occultist 6, oracle 6, shaman 6, warpriest 6, witch 7Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one creature/level, no two of which can be more than 30 ft. apart<br>Duration instantaneous<br>Saving Throw Will half; Spell Resistance yesDescription<br>This spell functions like mass inflict light wounds, except that it deals 2d8 points of damage + 1 point per caster level (maximum +30).	PRPG Core Rulebook pg. 300	https://aonprd.com/SpellDisplay.aspx?ItemName=Inflict%20Moderate%20Wounds
Inflict Serious Wounds	necromancy			antipaladin 4, cleric 3, inquisitor 3, occultist 3, oracle 3, shaman 3, spiritualist 3, warpriest 3, witch 4	1 standard action	V, S	touch	creature touched			instantaneous	Will half;	yes	This spell functions like inflict light wounds, except that it deals 3d8 + 1 point per caster level (maximum +15).	Source Mythic Adventures pg. 99<br>The damage dealt increases to 6d8 points of damage + 2 points per caster level (maximum +30). A living target is sickened for 1 round per caster level (maximum 15 rounds) if it fails its saving throw. Inflict Serious Wounds, Mass<br>Source PRPG Core Rulebook pg. 301<br>School necromancy; Level cleric 7, oracle 7, shaman 7, witch 8Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one creature/level, no two of which can be more than 30 ft. apart<br>Duration instantaneous<br>Saving Throw Will half; Spell Resistance yesDescription<br>This spell functions like mass inflict light wounds, except that it deals 3d8 points of damage + 1 point per caster level (maximum +35).	PRPG Core Rulebook pg. 301	https://aonprd.com/SpellDisplay.aspx?ItemName=Inflict%20Serious%20Wounds
Invisibility	illusion	glamer		adept 2, alchemist 2, antipaladin 2, arcanist 2, bard 2, inquisitor 2, investigator 2, magus 2, medium 2, mesmerist 2, occultist 2, psychic 2, redmantisassassin 2, skald 2, sorcerer 2, spiritualist 2, summoner 2, summoner (unchained) 2, wizard 2	1 standard action	V, S, M/DF (an eyelash encased in gum arabic)	personal or touch	you or a creature or object weighing no more than 100 lbs./level			1 min./level (D)	Will negates (harmless) or Will negates (harmless, object);	yes (harmless) or yes (harmless, object)	The creature or object touched becomes invisible. If the recipient is a creature carrying gear, that vanishes, too. If you cast the spell on someone else, neither you nor your allies can see the subject, unless you can normally see invisible things or you employ magic to do so.<br>Items dropped or put down by an invisible creature become visible; items picked up disappear if tucked into the clothing or pouches worn by the creature. Light, however, never becomes invisible, although a source of light can become so (thus, the effect is that of a light with no visible source). Any part of an item that the subject carries but that extends more than 10 feet from it becomes visible.<br>Of course, the subject is not magically silenced, and certain other conditions can render the recipient detectable (such as swimming in water or stepping in a puddle). If a check is required, a stationary invisible creature has a +40 bonus on its Stealth checks. This bonus is reduced to +20 if the creature is moving. The spell ends if the subject attacks any creature. For purposes of this spell, an attack includes any spell targeting a foe or whose area or effect includes a foe. Exactly who is a foe depends on the invisible character's perceptions. Actions directed at unattended objects do not break the spell. Causing harm indirectly is not an attack. Thus, an invisible being can open doors, talk, eat, climb stairs, summon monsters and have them attack, cut the ropes holding a rope bridge while enemies are on the bridge, remotely trigger traps, open a portcullis to release attack dogs, and so forth. If the subject attacks directly, however, it immediately becomes visible along with all its gear. Spells such as bless that specifically affect allies but not foes are not attacks for this purpose, even when they include foes in their area.<br>Invisibility can be made permanent (on objects only) with a permanency spell.	Source Mythic Adventures pg. 99<br>The invisible target can’t be detected with detect magic or other spells that detect magic auras. The invisibility can’t be penetrated, revealed, or dispelled by spells of 2nd level or lower (such as see invisibility or glitterdust), though true seeing and dust of appearance can reveal the invisible target’s presence.<br>Augmented (3rd): If you expend two uses of mythic power, the invisible target is undetectable by blindsense, blindsight, scent, and tremorsense. Invisibility, Greater<br>Source PRPG Core Rulebook pg. 302<br>School illusion (glamer); Level alchemist 4, antipaladin 4, arcanist 4, bard 4, inquisitor 4, investigator 4, magus 4, medium 3, mesmerist 4, occultist 4, psychic 4, redmantisassassin 4, skald 4, sorcerer 4, spiritualist 4, summoner 3, summoner (unchained) 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range personal or touch<br>Target you or creature touched<br>Duration 1 round/level (D)<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions like invisibility, except that it doesn't end if the subject attacks. Invisibility, Mass<br>Source PRPG Core Rulebook pg. 302<br>School illusion (glamer); Level arcanist 7, mesmerist 6, psychic 7, sorcerer 7, summoner 5, summoner (unchained) 6, wizard 7Casting<br>Casting Time 1 standard action<br>Components V, S, M/DF (an eyelash encased in gum arabic)Effect<br>Range long (400 ft. + 40 ft./level)<br>Targets any number of creatures, no two of which can be more than 180 ft. apart<br>Duration 1 min./level (D)<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions like invisibility, except that the effect moves with the group and is broken when anyone in the group attacks. Individuals in the group cannot see each other. The spell is broken for any individual who moves more than 180 feet from the nearest member of the group. If only two individuals are affected, the one moving away from the other one loses its invisibility. If both are moving away from each other, they both become visible when the distance between them exceeds 180 feet.	PRPG Core Rulebook pg. 301	https://aonprd.com/SpellDisplay.aspx?ItemName=Invisibility
Irresistible Dance	enchantment	compulsion	mind-affecting	arcanist 8, bard 6, mesmerist 6, psychic 8, shaman 8, skald 6, sorcerer 8, witch 8, wizard 8	1 standard action	V	touch	living creature touched			1d4+1 rounds	Will partial;	yes	The subject feels an undeniable urge to dance and begins doing so, complete with foot shuffling and tapping. The spell effect makes it impossible for the subject to do anything other than caper and prance in place. The effect imposes a –4 penalty to Armor Class and a –10 penalty on Reflex saves, and it negates any AC bonus granted by a shield the target holds. The dancing subject provokes attacks of opportunity each round on its turn. A successful Will save reduces the duration of this effect to 1 round.	Source Mythic Adventures pg. 99<br>When casting the spell, you can choose to make the dance either an unending dance or a dance of death.<br>A target affected by unending dance receives a new saving throw at the end of each round of dancing, even if its initial save was successful. If the save fails, the duration of the spell increases by 1 round.<br>A target affected by the dance of death suffers excruciating pain that inflicts a –4 penalty on attack rolls, saving throws, and skill checks, and it takes 1d4 points of Constitution damage each round it spends dancing.<br>With either form, you can direct the creature like a marionette as a move action, causing it to take a single move action at half its speed along the path you specify. You must have line of sight to the target and be within Medium range (100 feet + 10 feet per caster level) to command its movement. This movement provokes attacks of opportunity as normal, and doesn’t count against the target’s movement on its turn. You can’t move a target that succeeded at its initial save against the spell.	PRPG Core Rulebook pg. 303	https://aonprd.com/SpellDisplay.aspx?ItemName=Irresistible%20Dance
Jitterbugs	illusion	figment	mind-affecting	arcanist 2, bard 1, mesmerist 1, psychic 2, redmantisassassin 2, skald 1, sorcerer 2, wizard 2 (gnome)	1 standard action	V, S	short (25 ft. +5 ft. 2/levels)	one creature			1 round/level			You cause the target to perceive itself as being covered in creeping, crawling, stinging bugs. This causes the target to become jittery and unable to stay still, forcing it to constantly move and twitch. The target takes a –4 penalty on all Dexterity checks and Dexterity-based skill checks, and cannot take the delay, ready, or total defense actions.	Source Mythic Adventures pg. 99<br>Starting on the second round of the spell, the affected target must succeed at a Fortitude save on your turn or be nauseated for 1 round, as if distracted by an actual swarm.	Advanced Race Guide pg. 39	https://aonprd.com/SpellDisplay.aspx?ItemName=Jitterbugs
Knock	transmutation			arcanist 2, inquisitor 2, medium 2, mesmerist 2, occultist 2, psychic 2, redmantisassassin 2, sorcerer 2, wizard 2	1 standard action	V	medium (100 ft. + 10 ft./level)	one door, box, or chest with an area of up to 10 sq. ft./level			instantaneous; see text	none;	no	Knock opens stuck, barred, or locked doors, as well as those subject to hold portal or arcane lock. When you complete the casting of this spell, make a caster level check against the DC of the lock with a +10 bonus. If successful, knock opens up to two means of closure. This spell opens secret doors, as well as locked or trick-opening boxes or chests. It also loosens welds, shackles, or chains (provided they serve to hold something shut). If used to open an arcane locked door, the spell does not remove the arcane lock but simply suspends its functioning for 10 minutes. In all other cases, the door does not relock itself or become stuck again on its own. Knock does not raise barred gates or similar impediments (such as a portcullis), nor does it affect ropes, vines, and the like. The effect is limited by the area. Each casting can undo as many as two means of preventing access.	Source Mythic Adventures pg. 99<br>The spell unlocks up to three means of closure instead of two. The spell automatically opens locks of simple or average quality, without requiring a caster level check to do so). If used on a door locked with arcane lock, you can attempt a free dispel check against it as if using a targeted dispel magic, adding your tier to the check.<br>Augmented (3rd): You can expend two uses of mythic power to target one locked item per tier, unlocking up to four means of closure on each, allowing a free dispel against an arcane lock on each, and automatically opening locks of up to good quality (no caster level check needed).<br>If the door has a trap that triggers when opened, you become aware of the trap and its general nature, and the door is unlocked but doesn’t automatically open.<br>The spell can raise a barred gate, portcullis, or similar impediment, but each one counts as two locked doors. Knock, Mass<br>Source Inner Sea Temples pg. 23<br>School transmutation; Level arcanist 6, cleric 6, inquisitor 6, mesmerist 6, occultist 6, oracle 6, psychic 6, sorcerer 6, warpriest 6, wizard 6Casting<br>Casting Time 1 standard action<br>Components VEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one means of closure/level, no two of which can be more than 30 feet apart<br>Duration instantaneous<br>Saving Throw none; Spell Resistance noDescription<br>Also known as “unshackle,” this spell functions as knock, but works on multiple means of closure at once.	PRPG Core Rulebook pg. 303	https://aonprd.com/SpellDisplay.aspx?ItemName=Knock
Know the Enemy	divination			cleric 1, hunter 1, inquisitor 1, oracle 1, paladin 1, ranger 1, warpriest 1	1 minute	S, V, DF	personal	you			instantaneous	none;	no	You commune with the divine, reflecting on one type of creature you encountered in the last day. You may make a Knowledge check regarding that creature type with a +10 insight bonus.	Source Mythic Adventures pg. 99<br>The insight bonus increases to +15 plus your tier. If the check is successful, you gain a +5 insight bonus on your next attack roll or saving throw against a creature of that type, as long as the roll occurs within 24 hours of casting the spell.	Ultimate Magic pg. 226	https://aonprd.com/SpellDisplay.aspx?ItemName=Know%20the%20Enemy
Levitate	transmutation			alchemist 2, arcanist 2, investigator 2, magus 2, medium 2, mesmerist 2, occultist 2, psychic 2, redmantisassassin 2, shaman 2, sorcerer 2, spiritualist 2, summoner 2, summoner (unchained) 2, witch 2, wizard 2	1 standard action	V, S, F (a leather loop or golden wire bent into a cup shape)	personal or close (25 ft. + 5 ft./2 levels)	you or one willing creature or one object (total weight up to 100 lbs./level)			1 min./level (D)	none;	no	Levitate allows you to move yourself, another creature, or an object up and down as you wish. A creature must be willing to be levitated, and an object must be unattended or possessed by a willing creature. You can mentally direct the recipient to move up or down as much as 20 feet each round; doing so is a move action. You cannot move the recipient horizontally, but the recipient could clamber along the face of a cliff, for example, or push against a ceiling to move laterally (generally at half its base land speed).<br>A levitating creature that attacks with a melee or ranged weapon finds itself increasingly unstable; the first attack has a –1 penalty on attack rolls, the second –2, and so on, to a maximum penalty of –5. A full round spent stabilizing allows the creature to begin again at –1.	Source Mythic Adventures pg. 99<br>Instead of affecting one creature, you can affect a number of targets up to your caster level, but the total weight supported can be no more than 100 pounds per caster level. You can spend a move action to mentally direct all targets, but you must move all of them identically.<br>Augmented (8th): If you expend 10 uses of mythic power, you permanently levitate a 5-foot cube of rock, which you can move 20 feet vertically or horizontally as a move action.<br>If you have created multiple cubes and they are physically touching each other, you can direct them all as a single move action (as if they were one object), even if some of them are out of range. Each levitating cube can support approximately 1,000 pounds of weight, allowing you to use it as a portion of the foundation for a bridge, floating castle, or similar construction project.	PRPG Core Rulebook pg. 304	https://aonprd.com/SpellDisplay.aspx?ItemName=Levitate
Lightning Arc	evocation		electricity	arcanist 5, sorcerer 5, wizard 5	1 standard action	V, S, M (fur and two glass figurines)	long (400 ft. + 40 ft./level)	two creatures or objects which must be no more than 60 ft. apart			instantaneous	Reflex half;	yes (see text)	You generate an arc of lightning between two targets. The lightning deals 1d6 points of electricity damage per caster level (maximum 15d6) to both targets and any creatures in a line connecting them. The spell fails if there is no line of effect between the targets. Lightning arc sets fire to combustibles and damages objects in its path. It can melt metals that have a low melting point, such as lead, gold, copper, silver, or bronze.	Source Mythic Adventures pg. 99<br>The damage dealt increases to 1d8 points of electricity damage per caster level (maximum 15d8). A target that fails its save is blinded by the flash for 1 round and deafened by thunder for 1d4 rounds.<br>Augmented (6th): If you expend two uses of mythic power, the two targets can be up to 120 feet apart, the lightning can turn once up to 90 degrees to connect the targets, and the spell’s electrical damage bypasses electricity resistance and electricity immunity.	Ultimate Magic pg. 227	https://aonprd.com/SpellDisplay.aspx?ItemName=Lightning%20Arc
Lightning Bolt	evocation		electricity	adept 3, arcanist 3, bloodrager 3, magus 3, occultist 3, sorcerer 3, witch 3, wizard 3	1 standard action	V, S, M (fur and a glass rod)	120 ft.		120-ft. line		instantaneous	Reflex half;	yes	You release a powerful stroke of electrical energy that deals 1d6 points of electricity damage per caster level (maximum 10d6) to each creature within its area. The bolt begins at your fingertips.<br>The lightning bolt sets fire to combustibles and damages objects in its path. It can melt metals with a low melting point, such as lead, gold, copper, silver, or bronze. If the damage caused to an interposing barrier shatters or breaks through it, the bolt may continue beyond the barrier if the spell's range permits; otherwise, it stops at the barrier just as any other spell effect does.	Source Mythic Adventures pg. 100<br>The damage dealt increases to 1d8 points of electricity damage per caster level (maximum 10d8). Any creature that fails its save is staggered for 1 round.<br>Augmented (3rd): If you expend two uses of mythic power, you can bend the line of the spell once up to 90 degrees. Any creature that fails its save is stunned for 1 round.	PRPG Core Rulebook pg. 304	https://aonprd.com/SpellDisplay.aspx?ItemName=Lightning%20Bolt
Limited Wish	universal			arcanist 7, psychic 7, sorcerer 7, wizard 7	1 standard action	V, S, M (diamond worth 1,500 gp)	see text				see text	none, see text;	yes	A limited wish lets you create nearly any type of effect. For example, a limited wish can do any of the following things.<br>- Duplicate any sorcerer/wizard spell of 6th level or lower, provided the spell does not belong to one of your opposition schools.<br>- Duplicate any non-sorcerer/wizard spell of 5th level or lower, provided the spell does not belong to one of your opposition schools.<br>- Duplicate any sorcerer/wizard spell of 5th level or lower, even if it belongs to one of your opposition schools.<br>- Duplicate any non-sorcerer/wizard spell of 4th level or lower, even if it belongs to one of your opposition schools.<br>- Undo the harmful effects of many spells, such as or insanity.<br>- Produce any other effect whose power level is in line with the above effects, such as a single creature automatically hitting on its next attack or taking a –7 penalty on its next saving throw.<br>A duplicated spell allows saving throws and spell resistance as normal, but the save DC is for a 7th-level spell. When a limited wish spell duplicates a spell with a material component that costs more than 1,000 gp, you must provide that component (in addition to the 1,500 gp diamond component for this spell).	Source Mythic Adventures pg. 100<br>When using mythic limited wish to duplicate another spell, you can duplicate a mythic spell you know (if you’re a spontaneous caster) or have prepared (if you’re a caster who prepares spells). If you don’t know or haven’t prepared the mythic spell, you can expend a second use of mythic power duplicate the mythic version of the desired spell.<br>Augmented: If you expend two uses of mythic power, you can cast a silent, stilled mythic limited wish, even if you’re helpless or couldn’t otherwise take actions (but not unconscious).	PRPG Core Rulebook pg. 305	https://aonprd.com/SpellDisplay.aspx?ItemName=Limited%20Wish
Mage Armor	conjuration	creation	force	arcanist 1, bloodrager 1, occultist 1, psychic 1, sorcerer 1, spiritualist 1, summoner 1, summoner (unchained) 1, witch 1, wizard 1	1 standard action	V, S, F (a piece of cured leather)	touch	creature touched			1 hour/level (D)	Will negates (harmless);	no	An invisible but tangible field of force surrounds the subject of a mage armor spell, providing a +4 armor bonus to AC.<br>Unlike mundane armor, mage armor entails no armor check penalty, arcane spell failure chance, or speed reduction. Since mage armor is made of force, incorporeal creatures can't bypass it the way they do normal armor.	Source Mythic Adventures pg. 100<br>The armor bonus increases to +6. There is a 50% chance that any critical hit or sneak attack made against the target is negated and treated as a normal hit, as if the target were wearing moderate fortification armor.	PRPG Core Rulebook pg. 306	https://aonprd.com/SpellDisplay.aspx?ItemName=Mage%20Armor
Mage's Disjunction	abjuration			arcanist 9, psychic 9, sorcerer 9, wizard 9	1 standard action	V	close (25 ft. + 5 ft./2 levels)		all magical effects and magic items within a 40-ft. radius burst, or one magic item (see text)		1 minute/level	Will negates (object);	no	All magical effects and magic items within the radius of the spell, except for those that you carry or touch, are disjoined. That is, spells and spell-like effects are unraveled and destroyed completely (ending the effect as a dispel magic spell does), and each permanent magic item must make a successful Will save or be turned into a normal item for the duration of this spell. An item in a creature's possession uses its own Will save bonus or its possessor's Will save bonus, whichever is higher. If an item's saving throw results in a natural 1 on the die, the item is destroyed instead of being suppressed.<br>You also have a 1% chance per caster level of destroying an antimagic field. If the antimagic field survives the disjunction, no items within it are disjoined.<br>You can also use this spell to target a single item. The item gets a Will save at a –5 penalty to avoid being permanently destroyed. Even artifacts are subject to mage's disjunction, though there is only a 1% chance per caster level of actually affecting such powerful items. If successful, the artifact's power unravels, and it is destroyed (with no save). If an artifact is destroyed, you must make a DC 25 Will save or permanently lose all spellcasting abilities. These abilities cannot be recovered by mortal magic, not even miracle or wish. Destroying artifacts is a dangerous business, and it is 95% likely to attract the attention of some powerful being who has an interest in or connection with the device.	Source Mythic Adventures pg. 100<br>The duration increases to 10 minutes per caster level. The chance to destroy an antimagic field increases to 2% per caster level.	PRPG Core Rulebook pg. 306	https://aonprd.com/SpellDisplay.aspx?ItemName=Mage's%20Disjunction
Magic Fang	transmutation			druid 1, hunter 1, ranger 1, spiritualist 1, summoner 1, summoner (unchained) 1	1 standard action	V, S, DF	touch	living creature touched			1 min./level	Will negates (harmless);	yes (harmless)	Magic fang gives one natural weapon or unarmed strike of the subject a +1 enhancement bonus on attack and damage rolls. The spell can affect a slam attack, fist, bite, or other natural weapon. The spell does not change an unarmed strike's damage from nonlethal damage to lethal damage.<br>Magic fang can be made permanent with a permanency spell.	Source Mythic Adventures pg. 100<br>The spell affects an additional number of the target’s natural weapons equal to your tier. For example, if you’re 3rd tier, it could affect two claws and one bite). Magic Fang, Greater<br>Source PRPG Core Rulebook pg. 309<br>School transmutation; Level druid 3, hunter 3, ranger 3, spiritualist 3, summoner 3, summoner (unchained) 3Casting<br>Casting Time 1 standard action<br>Components V, S, DFEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one living creature<br>Duration 1 hour/level<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions like magic fang, except that the enhancement bonus on attack and damage rolls is +1 per four caster levels (maximum +5). This bonus does not allow a natural weapon or unarmed strike to bypass damage reduction aside from magic.<br>Alternatively, you may imbue all of the creature's natural weapons with a +1 enhancement bonus (regardless of your caster level).<br>Greater magic fang can be made permanent with a permanency spell.	PRPG Core Rulebook pg. 308	https://aonprd.com/SpellDisplay.aspx?ItemName=Magic%20Fang
Magic Fang	transmutation			druid 1, hunter 1, ranger 1, spiritualist 1, summoner 1, summoner (unchained) 1	1 standard action	V, S, DF	touch	living creature touched			1 min./level	Will negates (harmless);	yes (harmless)	Magic fang gives one natural weapon or unarmed strike of the subject a +1 enhancement bonus on attack and damage rolls. The spell can affect a slam attack, fist, bite, or other natural weapon. The spell does not change an unarmed strike's damage from nonlethal damage to lethal damage.<br>Magic fang can be made permanent with a permanency spell.	Source Mythic Adventures pg. 100<br>The spell affects an additional number of the target’s natural weapons equal to your tier. For example, if you’re 3rd tier, it could affect two claws and one bite). Magic Fang, Greater<br>Source PRPG Core Rulebook pg. 309<br>School transmutation; Level druid 3, hunter 3, ranger 3, spiritualist 3, summoner 3, summoner (unchained) 3Casting<br>Casting Time 1 standard action<br>Components V, S, DFEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one living creature<br>Duration 1 hour/level<br>Saving Throw Will negates (harmless); Spell Resistance yes (harmless)Description<br>This spell functions like magic fang, except that the enhancement bonus on attack and damage rolls is +1 per four caster levels (maximum +5). This bonus does not allow a natural weapon or unarmed strike to bypass damage reduction aside from magic.<br>Alternatively, you may imbue all of the creature's natural weapons with a +1 enhancement bonus (regardless of your caster level).<br>Greater magic fang can be made permanent with a permanency spell.	PRPG Core Rulebook pg. 308	https://aonprd.com/SpellDisplay.aspx?ItemName=Magic%20Fang
Magic Missile	evocation		force	arcanist 1, bloodrager 1, magus 1, psychic 1, sorcerer 1, wizard 1	1 standard action	V, S	medium (100 ft. + 10 ft./level)	up to five creatures, no two of which can be more than 15 ft. apart			instantaneous	none;	yes	A missile of magical energy darts forth from your fingertip and strikes its target, dealing 1d4+1 points of force damage.<br>The missile strikes unerringly, even if the target is in melee combat, so long as it has less than total cover or total concealment. Specific parts of a creature can't be singled out. Objects are not damaged by the spell.<br>For every two caster levels beyond 1st, you gain an additional missile—two at 3rd level, three at 5th, four at 7th, and the maximum of five missiles at 9th level or higher. If you shoot multiple missiles, you can have them strike a single creature or several creatures. A single missile can strike only one creature. You must designate targets before you check for spell resistance or roll damage.	Source Mythic Adventures pg. 100<br>The damage dealt by each missile increases to 2d4+1. The missiles bypass the shield spell and similar effects that block the non-mythic version of this spell.<br>Augmented (4th): If you expend two uses of mythic power, the spell creates double the normal number of missiles (affecting up to 10 creatures), its range increases to line of sight, and it bypasses the targets’ spell resistance and spell immunity.	PRPG Core Rulebook pg. 309	https://aonprd.com/SpellDisplay.aspx?ItemName=Magic%20Missile
