feat	req_type	req_value
Deadhand Master	other	ki pool class feature
Deadhand Master	other	nongood alignment
Deadhand Style	ability	Wis 15
Deadhand Style	feat	Improved Unarmed Strike
Deadhand Style	skill	Knowledge (religion) 4 ranks
Deadhand Style	other	ki pool class feature
Deadhand Style	other	nongood alignment
Deadly Grappler	ability	Dex 13
Deadly Grappler	feat	Improved Grapple
Deadly Grappler	feat	Improved Unarmed Strike
Deadly Horns	bab	Base attack bonus +1
Deadly Horns	other	tiefling
Death Roll	feat	Bite attack
Death Roll	other	reptilian subtype
Death from Below	bab	Base attack bonus +1
Deceitful Incompetence	feat	Combat Reflexes
Dedicated Adversary	level	No levels in a class that has the favored enemy class feature
Demonic Momentum	feat	Demonic Style
Demonic Momentum	feat	Improved Bull Rush
Demonic Momentum	feat	Power Attack
Demonic Momentum	bab	base attack bonus +5
Demonic Nemesis	feat	Demon HunterISWG
Demonic Nemesis	skill	Knowledge (planes) 6 ranks
Demonic Slaughter	feat	Cleave
Demonic Slaughter	feat	Demonic Momentum
Demonic Slaughter	feat	Demonic Style
Demonic Slaughter	feat	Great Cleave
Demonic Slaughter	feat	Improved Bull Rush
Demonic Slaughter	feat	Power Attack
Demonic Slaughter	bab	base attack bonus +9
Demonic Style	feat	Power Attack
Demonic Style	bab	base attack bonus +1
Demoralizing Stare	level	Mesmerist level 9th
Demoralizing Stare	other	painful stare class feature
Dervish Dance	ability	Dexterity 13
Dervish Dance	feat	Weapon Finesse
Dervish Dance	skill	Perform (dance) 2 ranks
Dervish Dance	other	proficient with scimitar
Destructive Persuasion	ability	Str 13
Destructive Persuasion	feat	Power Attack
Destructive Persuasion	skill	Intimidate 1 rank
Diabolic Humiliation	feat	Combat Reflexes
Diabolic Humiliation	feat	Diabolic Style
Diabolic Humiliation	feat	Vital Strike
Diabolic Humiliation	feat	Improved Unarmed Strike or Weapon Focus (unarmed strike)
Diabolic Humiliation	bab	base attack bonus +8 or monk level 7th
Diabolic Judgement	feat	Combat Reflexes
Diabolic Judgement	feat	Diabolic Humiliation
Diabolic Judgement	feat	Diabolic Style
Diabolic Judgement	feat	Improved Vital Strike
Diabolic Judgement	feat	Vital Strike
Diabolic Judgement	feat	Improved Unarmed Strike or Weapon Focus (unarmed strike)
Diabolic Judgement	bab	base attack bonus +12 or monk level 11th
Diabolic Style	feat	Combat Reflexes
Diabolic Style	feat	Improved Unarmed Strike or Weapon Focus (unarmed strike)
Diabolic Style	bab	base attack bonus +2 or monk level 1st
Dimensional Awareness	feat	Arcane Strike or Disruptive
Dimensional Awareness	feat	Banishing Critical
Dimensional Awareness	feat	Combat Reflexes
Dimensional Awareness	skill	Spellcraft 8 ranks
Dimensional Awareness	other	arcane pool class feature
Dimensional Disruption	feat	Arcane Strike or Disruptive
Dimensional Disruption	feat	Banishing Critical
Dimensional Disruption	feat	Combat Reflexes
Dimensional Disruption	feat	Dimensional Awareness
Dimensional Disruption	skill	Spellcraft 8 ranks
Dimensional Disruption	other	arcane pool class feature
Directed Disarm	ability	Int 13
Directed Disarm	feat	Combat Expertise
Directed Disarm	feat	Greater Disarm
Directed Disarm	feat	Improved Disarm
Directed Disarm	bab	base attack bonus +11
Dirty Critical Hit	ability	Int 13
Dirty Critical Hit	feat	Combat Expertise
Dirty Critical Hit	feat	Critical Focus
Dirty Critical Hit	feat	Improved Dirty TrickAPG
Dirty Critical Hit	bab	base attack bonus +11
Dirty Disarm	ability	Int 13
Dirty Disarm	feat	Combat Expertise
Dirty Disarm	feat	Improved Dirty TrickAPG
Dirty Disarm	feat	Improved Disarm
Dirty Disarm	bab	base attack bonus +6
Dirty Grapple	ability	Dex 13
Dirty Grapple	ability	Int 13
Dirty Grapple	feat	Combat Expertise
Dirty Grapple	feat	Improved Dirty TrickAPG
Dirty Grapple	feat	Improved Grapple
Dirty Grapple	feat	Improved Unarmed Strike
Dirty Grapple	bab	base attack bonus +6
Dirty Trick Master	feat	Greater Dirty Trick
Dirty Trick Master	feat	Improved Dirty Trick
Dirty Trick Master	bab	base attack bonus +11
Disarm Partner	bab	Base attack bonus +1
Disconcerting Stare	level	Mesmerist level 5th
Disconcerting Stare	other	painful stareOA class feature
Disorienting Blow	feat	Stunning Fist
Disorienting Blow	bab	base attack bonus +11
Disrupting Fist	feat	Channel Smite
Disrupting Fist	feat	Improved Unarmed Strike
Disrupting Fist	bab	base attack bonus +9
Disrupting Fist	other	channel positive energy 4d6
Disruptive Companion	feat	Animal companion
Diva Advance	ability	Cha 17
Diva Advance	feat	Combat Expertise
Diva Advance	feat	Diva Strike
Diva Advance	feat	Diva Style
Diva Advance	feat	Improved Feint
Diva Advance	bab	base attack bonus +11 or bard level 11th
Diva Strike	ability	Cha 15
Diva Strike	feat	Combat Expertise
Diva Strike	feat	Diva Style
Diva Strike	feat	Improved Feint
Diva Strike	bab	base attack bonus +7 or bard level 7th
Diva Style	ability	Cha 13
Diva Style	bab	base attack bonus +1 or bard level 1st
Diversion Shot	feat	Stealthy
Diversion Shot	feat	Target of OpportunityUC
Divert Harm	ability	Int 13
Divert Harm	feat	Combat Expertise
Divert Harm	bab	base attack bonus +6
Divert Harm	other	evasion class feature
Divine Fighting Technique	feat	Must worship a single patron deity that has an established divine fighting technique
Dolphin Circle	feat	Dolphin Dart
Dolphin Circle	feat	Dolphin Style
Dolphin Circle	feat	Improved Unarmed Strike
Dolphin Circle	skill	Swim 10 ranks
Dolphin Circle	bab	base attack bonus +10 or monk level 10th
Dolphin Dart	feat	Dolphin Style
Dolphin Dart	feat	Improved Unarmed Strike
Dolphin Dart	skill	Swim 6 ranks
Dolphin Dart	bab	base attack bonus +6 or monk level 6th
Dolphin Style	feat	Improved Unarmed Strike
Dolphin Style	skill	Swim 3 ranks
Dolphin Style	bab	base attack bonus +3 or monk level 3rd
Domino Crash	ability	Int 13
Domino Crash	feat	Combat Expertise
Domino Crash	feat	Improved Reposition
Domino Crash	feat	Whipcrack
Domino Crash	bab	base attack bonus +6 or monk level 3rd
Dorn-Dergar Master	feat	Two-Weapon Fighting
Dorn-Dergar Master	bab	base attack bonus +4
Dorn-Dergar Master	other	proficiency with the dwarven dorn-dergar
Dragon Shot	feat	Amateur Gunslinger feat or grit class feature
Dragon Shot	skill	Spellcraft 5 ranks
Dragonfly Flight	ability	Dex 15
Dragonfly Flight	ability	Wis 15
Dragonfly Flight	feat	Dragonfly Style
Dragonfly Flight	feat	Dragonfly Wings
Dragonfly Flight	feat	Improved Unarmed Strike
Dragonfly Flight	skill	Acrobatics 10 ranks
Dragonfly Flight	skill	Climb 10 ranks
Dragonfly Style	ability	Wis 13
Dragonfly Style	feat	Improved Unarmed Strike
Dragonfly Style	skill	Acrobatics 2 ranks
Dragonfly Style	skill	Climb 2 ranks
Dragonfly Wings	ability	Dex 15
Dragonfly Wings	ability	Wis 15
Dragonfly Wings	feat	Dragonfly Style
Dragonfly Wings	feat	Improved Unarmed Strike
Dragonfly Wings	skill	Acrobatics 5 ranks
Dragonfly Wings	skill	Climb 5 ranks
Dragonslayer	skill	Knowledge (arcana) 4 ranks
Dragonslayer	bab	base attack bonus +4
Dramatic Slam	feat	Dazzling Display
Dramatic Slam	feat	Improved Grapple
Dramatic Slam	feat	Improved Unarmed Strike
Dramatic Slam	feat	Savage Slam
Dramatic Slam	feat	Weapon Focus
Dramatic Slam	bab	base attack bonus +9 or monk level 6th
Drunken Brawler	feat	Endurance
Drunken Brawler	other	worshiper of Cayden Cailean
Dwarven Fury	feat	Dwarven Hatred Style
Dwarven Fury	feat	Dwarven Seething
Dwarven Fury	bab	base attack bonus +7
Dwarven Fury	other	defensive training and hatred racial traits
Dwarven Fury	feat	Medium size
Dwarven Hatred Style	bab	Base attack bonus +1
Dwarven Hatred Style	other	defensive training and hatred racial traits
Dwarven Hatred Style	feat	Medium size
Dwarven Seething	feat	Dwarven Hatred Style
Dwarven Seething	bab	base attack bonus +5
Dwarven Seething	other	defensive training and hatred racial traits
Dwarven Seething	feat	Medium size
Eidolon Mount	feat	Eidolon able to choose quadruped or serpentine as a base form
Electric Eel Conduit	ability	Wis 17
Electric Eel Conduit	feat	Electric Eel Shock
Electric Eel Conduit	feat	Electric Eel Style
Electric Eel Conduit	feat	Elemental FistAPG
Electric Eel Conduit	feat	Improved Unarmed Strike
Electric Eel Conduit	bab	base attack bonus +13 or monk level 9th
Electric Eel Shock	ability	Wis 15
Electric Eel Shock	feat	Electric Eel Style
Electric Eel Shock	feat	Elemental FistAPG
Electric Eel Shock	feat	Improved Unarmed Strike
Electric Eel Shock	bab	base attack bonus +11 or monk level 7th
Electric Eel Style	ability	Wis 13
Electric Eel Style	feat	Elemental FistAPG
Electric Eel Style	feat	Improved Unarmed Strike
Electric Eel Style	bab	base attack bonus +9 or monk level 5th
Elemental Strike	feat	Ifrit
Elemental Strike	other	oread
Elemental Strike	other	sylph
Elemental Strike	other	or undine
Elephant Stomp	ability	Str 13
Elephant Stomp	feat	Power Attack
Elephant Stomp	feat	Improved Overrun
Elephant Stomp	bab	base attack bonus +1
Elven Battle Focus	ability	Int 13
Elven Battle Focus	feat	Elven Battle Style
Elven Battle Focus	feat	Elven Battle TrainingARG
Elven Battle Focus	feat	Weapon Finesse
Elven Battle Focus	bab	base attack bonus +4
Elven Battle Focus	other	weapon familiarity racial trait
Elven Battle Style	feat	Elven Battle TrainingARG
Elven Battle Style	feat	Weapon Finesse
Elven Battle Style	bab	base attack bonus +1
Elven Battle Style	other	weapon familiarity racial trait
Elven Battle Torrent	ability	Int 13
Elven Battle Torrent	feat	Elven Battle Focus
Elven Battle Torrent	feat	Elven Battle Style
Elven Battle Torrent	feat	Elven Battle TrainingARG
Elven Battle Torrent	feat	Weapon Finesse
Elven Battle Torrent	bab	base attack bonus +10
Elven Battle Torrent	other	weapon familiarity racial trait
Empty Quiver Flexibility	feat	Empty Quiver Style
Empty Quiver Flexibility	feat	Rapid Shot
Empty Quiver Flexibility	feat	Stabbing ShotAPG
Empty Quiver Flexibility	feat	Weapon Focus with the chosen weapon
Empty Quiver Flurry	feat	Empty Quiver Flexibility
Empty Quiver Flurry	feat	Empty Quiver Style
Empty Quiver Flurry	feat	Rapid Shot
Empty Quiver Flurry	feat	Stabbing ShotAPG
Empty Quiver Flurry	feat	Weapon Focus with the chosen weapon
Empty Quiver Style	feat	Weapon Focus with the chosen weapon
Engulf Horror	feat	Engulf Revulsion
Engulf Horror	other	engulf or smother universal monster ability
Engulf Revulsion	feat	Engulf or smother universal monster ability
Enhanced Ki Throw	feat	Ki pool class feature
Enhanced Ki Throw	feat	Ki Throw (see the Pathfinder RPG Advanced Player’s Guide)
Enrage Opponent	ability	Cha 13
Enrage Opponent	feat	Amateur SwashbucklerACG or panache class featureACG
Enrage Opponent	feat	Persuasive
Entreating Critical	ability	Cha 15
Entreating Critical	feat	Call Truce
Entreating Critical	feat	Critical Focus
Entreating Critical	feat	Persuasive
Entreating Critical	bab	base attack bonus +11
Entreating Critical	skill	Diplomacy 5 ranks
Equipment Trick	bab	Base attack bonus +1
Eroding Strikes	feat	Weapon Focus with bludgeoning weapon
Exceptional Pull	ability	Dex 13
Exceptional Pull	feat	Deadly Aim
Exceptional Pull	bab	base attack bonus +3
Excoriating Stare	level	Mesmerist level 11th
Excoriating Stare	other	painful stare class feature
Exotic Weapon Proficiency	bab	Base attack bonus +1
Expanded Hunter Tactics	feat	Hunter tacticsACG class feature
Expert Sniper	skill	Stealth 3 ranks
Explosive Escape	ability	Dex 13
Explosive Escape	ability	Str 13
Explosive Escape	feat	Improved Grapple
Explosive Escape	feat	Improved Unarmed Strike
Explosive Weapon	feat	Arcing Weapon
Explosive Weapon	other	diverse training class feature
Exsanguinate	feat	Blood drain universal monster ability
Exsanguinate	other	grab universal monster ability
Extended Combat Meditation	ability	Wis 13
Extended Combat Meditation	feat	Combat Meditation
Extended Combat Meditation	feat	Meditation Master
Extended Combat Meditation	level	character level 9th
Extra Hail of Arrows	feat	Hail of arrows class feature
Extra Impromptu Sneak Attack	feat	Impromptu sneak attack class feature
Extra Stamina	feat	Combat Stamina
Extra Stamina	bab	base attack bonus +5
Fatiguing Stare	level	Mesmerist level 7th
Fatiguing Stare	other	painful stare class feature
Fearsome Barricade	skill	Intimidate 5 ranks
Fearsome Barricade	feat	Ulfen Guard TPA 20
Fearsome Finish	feat	Intimidating Prowess
Fearsome Finish	other	worshiper of Lamashtu
Feinting Flurry	ability	Dex 15
Feinting Flurry	other	flurry of blows class feature
Feinting Flurry	feat	Combat Expertise
Fencing Grace	ability	Dex 13
Fencing Grace	feat	Weapon Finesse
Fencing Grace	feat	Weapon Focus (rapier)
Feral Grace	feat	Weapon Finesse
Feral Grace	bab	base attack bonus +3
Feral Grace	other	animal companion
Ferocious Beast	skill	Intimidate 1 rank
Ferocious Beast	other	animal companion
Ferocious Feint	skill	Bluff 1 rank
Ferocious Feint	other	animal companion
Fighting Frenzy	ability	Cha 13
Fighting Frenzy	other	rage class feature
Filthy Weapons	skill	Knowledge (dungeoneering) 1 rank
Filthy Weapons	skill	Knowledge (nature) 1 rank
Finishing Cascade	bab	Base attack bonus +11 or monk level 11th
Finishing Cascade	other	at least one combination feat
Firebrand	feat	Worshiper of Asmodeus
Flame Blade Dervish	feat	Ability to cast flame blade as a spell or spell-like ability
Flame Warrior	feat	Fire subtype
Flame Warrior	other	giant subtype
Flaying Critical	feat	Critical Focus
Flaying Critical	bab	base attack bonus +11
Flexible Foe	bab	Base attack bonus +5
Flexible Foe	other	favored enemy (any humanoid or any outsider)
Flexible Foe	other	favored enemy class feature
Fling	feat	Flyby Attack
Fling	feat	Powerful Wings
Fling	feat	Snatch and Drop
Fling	feat	Throw Anything
Flinging Charge	feat	Quick Draw
Flinging Charge	bab	base attack bonus +6
Focused Aberration Expertise	feat	Favored enemy (aberration) class feature
Focused Animal Expertise	feat	Favored enemy (animal) class feature
Focused Construct Expertise	feat	Favored enemy (construct) class feature
Focused Dragon Expertise	feat	Favored enemy (dragon) class feature
Focused Fey Expertise	feat	Favored enemy (fey) class feature
Focused Magical Beast Expertise	feat	Favored enemy (magical beast) class feature
Focused Ooze Expertise	feat	Favored enemy (ooze) class feature
Focused Outsider Expertise	feat	Favored enemy (outsider) class feature
Focused Plant Expertise	feat	Favored enemy (plant) class feature
Focused Target	feat	Studied targetACG class feature (second studied target)
Focused Undead Expertise	feat	Favored enemy (undead) class feature
Focused Vermin Expertise	feat	Favored enemy (vermin) class feature
Follow-Up Strike	ability	Int 13
Follow-Up Strike	feat	Combat Expertise
Follow-Up Strike	feat	Improved Disarm
Follow-Up Strike	feat	Improved Unarmed Strike
Follow-Up Strike	bab	base attack bonus +6 or monk level 6th
Forest Ambush	skill	Stealth 1 rank
Forest Ambush	skill	Survival 1 rank
Fortuitous Vigor	ability	Con 13
Fortuitous Vigor	feat	Combat Vigor
Fortuitous Vigor	level	character level 4th
Fox Insight	ability	Int 13
Fox Insight	feat	Fox Style
Fox Style	ability	Int 13
Fox Trickery	ability	Int 13
Fox Trickery	feat	Combat Expertise
Fox Trickery	feat	Fox Insight
Fox Trickery	feat	Fox Style
Fox Trickery	feat	Improved Dirty TrickAPG
Freeze in Place	skill	Stealth 5 ranks
Freeze in Place	other	wyrwood
Friendly Fire Maneuvers	feat	Point-Blank Shot
Friendly Fire Maneuvers	feat	Precise Shot
Friendly Rivalry	feat	Human (Taldan)
Frightening Ambush	skill	Intimidate 1 rank
Frost Warrior	feat	Cold subtype
Frost Warrior	other	giant subtype
Fury of the Tainted	ability	Cha 13
Fury of the Tainted	other	rage class feature
Fury of the Tainted	other	tiefling
Gate Breaker	ability	Str 13
Gate Breaker	feat	Improved Sunder
Gate Breaker	feat	Power Attack
Gate Breaker	bab	base attack bonus +1
Ghostslayer	bab	Base attack bonus +1
Ghostslayer	skill	Knowledge (religion) 1 rank
Giant-Killer Stance	feat	Power Attack
Giantslaying Team	ability	Dex 13
Giantslaying Team	feat	Dodge
Giantslaying Team	feat	Mobility
Giantslaying Team	bab	base attack bonus +4
Giantslaying Team	other	defensive training racial trait
Gloomstorm	skill	Knowledge (planes) 4 ranks
Gloomstorm	other	shadow weapon class feature
Grab and Go	feat	Catch Off-Guard or Throw Anything
Grab and Go	bab	base attack bonus +1
Graceful Steal	ability	Dex 13
Graceful Steal	feat	Agile Maneuvers
Graceful Steal	feat	Improved StealAPG
Graceful Steal	skill	Sleight of Hand 3 ranks
Gravitational Vital Strike	feat	Vital Strike
Gravitational Vital Strike	feat	Heavy Gravity Acclimation or Light Gravity Acclimation
Great Rend	feat	Bite attack
Great Rend	other	rend
Great Rend	other	troll
Greater Awesome Blow	ability	Str 25
Greater Awesome Blow	feat	Awesome Blow
Greater Awesome Blow	feat	Improved Bull Rush
Greater Awesome Blow	feat	Power Attack
Greater Awesome Blow	other	size Large or larger
Greater Balor Whip	feat	Balor Whip
Greater Balor Whip	feat	Improved Balor Whip
Greater Balor Whip	feat	Weapon Focus (whip)
Greater Balor Whip	feat	Whip MasteryUC
Greater Balor Whip	bab	base attack bonus +16
Greater Beast Hunter	feat	Beast Hunter
Greater Beast Hunter	feat	Improved Beast Hunter
Greater Beast Hunter	bab	base attack bonus +6
Greater Beast Hunter	skill	Knowledge (nature) or Survival 6 ranks
Greater Mesmerizing Feint	feat	Mesmerizing Feint
Greater Mesmerizing Feint	skill	Bluff 10 ranks
Greater Mesmerizing Feint	other	hypnotic stare class feature
Greater Mesmerizing Feint	other	psychic inception bold stare
Greater Serpent Lash	feat	Serpent Lash
Greater Serpent Lash	bab	base attack bonus +4
Greater Spring Attack	ability	Dex 17
Greater Spring Attack	feat	Acrobatic Steps
Greater Spring Attack	feat	Dodge
Greater Spring Attack	feat	Improved Spring Attack
Greater Spring Attack	feat	Mobility
Greater Spring Attack	feat	Nimble Moves
Greater Spring Attack	feat	Spring Attack
Greater Spring Attack	bab	base attack bonus +16
Greater Subjective Slam	ability	Con 15
Greater Subjective Slam	ability	Wis 15
Greater Subjective Slam	feat	Subjective Mobility
Greater Subjective Slam	feat	Subjective Slam
Greater Subjective Slam	bab	base attack bonus +8 or monk level 7th
Greater Uncivilized Tactics	ability	Str 13
Greater Uncivilized Tactics	feat	Improved Uncivilized Tactics
Greater Uncivilized Tactics	feat	Power Attack
Greater Uncivilized Tactics	feat	Uncivilized Tactics
Greater Wilding Strike	ability	Str 18
Greater Wilding Strike	feat	Improved Unarmed Strike
Greater Wilding Strike	feat	Improved Wilding Strike
Greater Wilding Strike	feat	Wilding
Greater Wilding Strike	feat	Wilding Strike
Greater Wilding Strike	bab	base attack bonus +16
Ground-Grabber	ability	Con 13
Guarded Charge	feat	Shield Focus
Guarded Charge	bab	base attack bonus +6 or fighter level 4th
Guided Star	feat	Starry GraceUI
Guided Star	other	worshiper of Desna
Halfling Slinger	feat	Halfling
Hamatula Grasp	feat	Hamatula Strike
Hamatula Grasp	feat	Improved Grapple
Hamatula Grasp	ability	Strength 13
Hamatula Grasp	bab	base attack bonus +9
Hamatula Strike	feat	Improved Grapple
Hamatula Strike	ability	Strength 13
Hamatula Strike	bab	Base Attack Bonus +7
Hammer Throw	ability	Int 13
Hammer Throw	feat	Combat Expertise
Hammer Throw	feat	Improved Trip
Hammer Throw	feat	Point-Blank Shot
Hammer Throw	feat	Precise Shot
Hammer Throw	bab	base attack bonus +1
Hammer Throw	other	dwarf
Harder They Fall	ability	Str 13
Harder They Fall	ability	Int 13
Harder They Fall	feat	Combat Expertise
Harder They Fall	feat	Power Attack
Hellcat Pounce	feat	Hellcat Stealth
Hellcat Pounce	feat	Skill Focus (Stealth)
Hellcat Pounce	other	sneak attack +2d6
Hemorhaging Venom	feat	Spit Venom
Hemorhaging Venom	feat	Virulent Venom
Hemorhaging Venom	bab	base attack bonus +7
Hemorhaging Venom	other	nagaji
Heroic Leader	ability	Cha 13
Heroic Leader	other	any combat feat
Heroic Leader	other	ability to gain an animal companion
Heroic Leader	other	cohort
Heroic Leader	other	eidolon
Heroic Leader	other	familiar
Heroic Leader	other	or mount
Hold the Blade	feat	Improved Disarm
Hold the Blade	bab	base attack bonus +10
Holy Water Assault	bab	Base attack bonus +1
Holy Water Assault	skill	Knowledge (religion) 3 ranks
Hook Fighter	bab	Base attack bonus +1
Horn Rider	bab	Base attack bonus +1
Horn of the Criosphinx	bab	Base attack bonus +6 or monk level 6th
Horrific Gorging	feat	Bite attack
Horrific Gorging	feat	Large or larger
Horrific Gorging	other	swallow whole universal monster ability
Hurricane Punch	ability	Str 13
Hurricane Punch	feat	Improved Bull Rush
Hurricane Punch	feat	Improved Unarmed Strike
Hurricane Punch	feat	Power Attack
Hurtful	ability	Str 13
Hurtful	feat	Power Attack
Iconoclast	feat	Divine Defiance
Iconoclast	feat	Improved Sunder
Iconoclast	feat	Power Attack
Iconoclast	skill	Intimidate 3 ranks
Illusive Gnome Bewilderment	ability	Int 13
Illusive Gnome Bewilderment	feat	Combat Expertise
Illusive Gnome Bewilderment	feat	Gnome Weapon FocusARG
Illusive Gnome Bewilderment	feat	Illusive Gnome Style
Illusive Gnome Bewilderment	feat	Illusive Gnome Surprise
Illusive Gnome Bewilderment	feat	Improved Feint
Illusive Gnome Bewilderment	other	gnome magic and weapon familiarity racial traits
Illusive Gnome Style	ability	Int 13
Illusive Gnome Style	feat	Combat Expertise
Illusive Gnome Style	feat	Gnome Weapon FocusARG
Illusive Gnome Style	feat	Improved Feint
Illusive Gnome Style	bab	base attack bonus +1
Illusive Gnome Style	other	gnome magic and weapon familiarity racial traits
Illusive Gnome Surprise	ability	Int 13
Illusive Gnome Surprise	feat	Combat Expertise
Illusive Gnome Surprise	feat	Gnome Weapon FocusARG
Illusive Gnome Surprise	feat	Illusive Gnome Style
Illusive Gnome Surprise	feat	Improved Feint
Improved Awesome Throw	ability	Str 25
Improved Awesome Throw	feat	Awesome Throw
Improved Awesome Throw	feat	Greater Bull Rush
Improved Awesome Throw	feat	Throw Anything or rock throwing
Improved Awesome Throw	other	size Large or larger
Improved Balor Whip	feat	Balor Whip
Improved Balor Whip	feat	Weapon Focus (whip)
Improved Balor Whip	feat	Whip MasteryUC
Improved Balor Whip	bab	base attack bonus +12
Improved Beast Hunter	feat	Beast Hunter
Improved Beast Hunter	bab	base attack bonus +3
Improved Beast Hunter	skill	Knowledge (nature) or Survival 3 ranks
Improved Bravery	ability	Cha 13
Improved Bravery	other	bravery class feature
Improved Disarm Partner	feat	Disarm Partner
Improved Disarm Partner	bab	base attack bonus +5
Improved Feinting Flurry	ability	Dex 17
Improved Feinting Flurry	other	flurry of blows class feature
Improved Feinting Flurry	feat	Combat Expertise
Improved Feinting Flurry	feat	Feinting Flurry
Improved Feinting Flurry	bab	base attack bonus +6
Improved Fury of the Tainted	ability	Cha 13
Improved Fury of the Tainted	feat	Fury of the Tainted
Improved Fury of the Tainted	bab	base attack bonus +8
Improved Fury of the Tainted	other	rage class feature
Improved Fury of the Tainted	other	tiefling
Improved Hammer Throw	ability	Int 13
Improved Hammer Throw	feat	Combat Expertise
Improved Hammer Throw	feat	Hammer Throw
Improved Hammer Throw	feat	Improved Trip
Improved Hammer Throw	feat	Point-Blank Shot
Improved Hammer Throw	feat	Precise Shot
Improved Hammer Throw	bab	base attack bonus +6
Improved Hammer Throw	other	dwarf
Improved Intercept Blow	feat	Intercept Blow
Improved Intercept Blow	bab	base attack bonus +6
Improved Intercept Blow	other	animal companion
Improved Outflank	feat	OutflankAPG
Improved Outflank	bab	base attack bonus +6
Improved Parry	ability	Int 13
Improved Parry	feat	Combat Expertise
Improved Position of Strength	feat	Position of Strength
Improved Position of Strength	feat	Two-Weapon Fighting or Multiattack
Improved Position of Strength	skill	Intimidate 5 ranks
Improved Precise Strike	ability	Dex 13
Improved Precise Strike	feat	Precise StrikeAPG
Improved Precise Strike	bab	base attack bonus +4
Improved Punishing Step	ability	Dex 13
Improved Punishing Step	feat	Dodge
Improved Punishing Step	feat	Punishing Step
Improved Punishing Step	bab	base attack bonus +8
Improved Sabotaging Sunder	ability	Str 13
Improved Sabotaging Sunder	feat	Improved Sunder
Improved Sabotaging Sunder	feat	Power Attack
Improved Sabotaging Sunder	feat	Sabotaging Sunder
Improved Sabotaging Sunder	skill	Disable Device 9 ranks
Improved Spring Attack	ability	Dex 15
Improved Spring Attack	feat	Dodge
Improved Spring Attack	feat	Mobility
Improved Spring Attack	feat	Nimble Moves
Improved Spring Attack	feat	Spring Attack
Improved Spring Attack	bab	base attack bonus +9
Improved Uncivilized Tactics	ability	Str 13
Improved Uncivilized Tactics	feat	Power Attack
Improved Uncivilized Tactics	feat	Uncivilized Tactics
Improved Underhanded Teamwork	feat	Combat Expertise
Improved Underhanded Teamwork	feat	Improved Dirty Trick
Improved Underhanded Teamwork	feat	Underhanded Teamwork
Improved Underhanded Teamwork	bab	base attack bonus +6
Improved Wilding Strike	ability	Str 16
Improved Wilding Strike	feat	Improved Unarmed Strike
Improved Wilding Strike	feat	Wilding
Improved Wilding Strike	feat	Wilding Strike
Improved Wilding Strike	bab	base attack bonus +11
Improvisational Focus	feat	Catch Off-Guard or Throw Anything
Improvisational Focus	bab	base attack bonus +1
Improvised Defenses	feat	Catch Off-Guard or Throw Anything
Improvised Defenses	bab	base attack bonus +1
Incite Paranoia	ability	Int 13
Incite Paranoia	feat	Combat Expertise
Incite Paranoia	feat	Deceitful Greater Feint
Incite Paranoia	feat	Improved Feint
Incite Paranoia	bab	base attack bonus +6
Indomitable Mount	feat	Mounted Combat
Indomitable Mount	skill	Handle Animal 5 ranks
Indomitable Mount	skill	Ride 5 ranks
Indomitable Mount	feat	Lastwall affinity
Indomitable Mountain Avalanche	ability	Wis 15
Indomitable Mountain Avalanche	feat	Combat Reflexes
Indomitable Mountain Avalanche	feat	Improved Unarmed Strike
Indomitable Mountain Avalanche	feat	Indomitable Mountain Peak
Indomitable Mountain Avalanche	feat	Indomitable Mountain Style
Indomitable Mountain Avalanche	bab	base attack bonus +9
Indomitable Mountain Peak	ability	Wis 15
Indomitable Mountain Peak	feat	Combat Reflexes
Indomitable Mountain Peak	feat	Improved Unarmed Strike
Indomitable Mountain Peak	feat	Indomitable Mountain Style
Indomitable Mountain Peak	bab	base attack bonus +6
Indomitable Mountain Style	ability	Wis 13
Indomitable Mountain Style	feat	Combat Reflexes
Indomitable Mountain Style	feat	Improved Unarmed Strike
Indomitable Mountain Style	bab	base attack bonus +4
Infused Spell Cartridges	ability	Int 15
Infused Spell Cartridges	feat	Arcane Strike
Infused Spell Cartridges	feat	Spell Cartridges
Infused Spell Cartridges	level	ability to cast 4th-level arcane spells
Infused Spell Cartridges	other	proficient with firearms
Inspired Sneak Attack	feat	Inspiration pool
Inspired Sneak Attack	other	sneak attack or studied strike class feature
Inspiring Bravery	ability	Cha 13
Inspiring Bravery	other	bravery class feature
Intense Pain	level	Mesmerist level 7th
Intense Pain	other	painful stare class feature
Intercept Blow	bab	Base attack bonus +1
Intercept Blow	other	animal companion
Interweave Composite Blast	feat	Kinetic blast class feature
Intimidate Animals	feat	Greater Wild Empathy
Intimidate Animals	skill	Intimidate 5 ranks
Intimidate Animals	skill	Knowledge (nature) 5 ranks
Intimidate Animals	other	wild empathy class feature
Intimidating Glance	feat	Hypnotic stare class feature
Jaguar Pounce	bab	Base attack bonus +4
Joyless Toil	ability	Dex 13
Joyless Toil	ability	Wis 13
Joyless Toil	feat	Improved Unarmed Strike
Joyless Toil	bab	base attack bonus +8
Juggle Load	feat	Ammo Drop
Juggle Load	skill	Sleight of Hand 1 rank
Juggle Load	other	proficient with sling
Juke	ability	Dex 13
Juke	feat	Dodge
Juke	feat	Mobility
Juke	feat	SidestepAPG
Ki Diversity	feat	Ki pool class feature
Ki Diversity	ability	Wis 13
Ki Diversity	feat	Kusari-Gama 25 TPA
