name	type	source	drawbacks_gained	boons_gained	description
Pulsemage	Unified	[Mana HB]	Somatic Casting (2x), Magical Signs (glowing energy around hands, body), Vulnerable Spellcaster	Martial Training: Equipment: Unarmored Training, Critical Genius (Pulse Shot or Unarmed Attack)<br>Feats: Spell Attack<br>Variable: A pulsemage may choose the Dual Wielding sphere or the Barrage sphere<br>Bonus Magic Talents: Mana sphere, Destruction sphere<br>Boons: Overcharge	Mages throughout the world practice how to weaponize their magic, but only a few manage to convert their will into proper weapons of magic, that they then utilize just as a warrior would use a sword, or an archer a bow. A pulsemage gains an additional spell point at every odd level.<br>Bonus Combat Talents<br>Casting Ability Modifier: Charisma
Reaper	Unified		Reapers fuel their magic through their own life force and emotions, using howls of rage the way a wizard might use arcane chants. Reapers possess the Draining Casting and Verbal Casting drawbacks.	Equipment: Tribal Training<br>Berserker sphere<br>Duelist sphere<br>Bonus Feat: Bloodmonger<br>Bonus Magic Talents: Enhancement sphere, Cripple<br>Boons: Reapers are empowered by their blood and physical fortitude; the stronger their bodies are, the more powerful their magic becomes. Reapers gain the Fortified Magic boon.	Reapers are powerful and terrible tribal warriors who spill the blood of their enemies, then use that blood for magic rituals. Reapers use their own physical strength to fuel their magic, empowering themselves and disempowering their enemies with equal proficiency. While reapers can cut down scores of lesser creatures with ease, they excel at taking down enormous foes that few other fighters would dare to approach.<br>Bonus Talents:
Resolute Vanguard	Unified	[Warden]	Emotional Casting, Magical Signs, Verbal Casting, Limited Protection (aegis) (Protection)	Bonus Combat Talents:<br>Equipment Sphere: Shield Training (discipline)<br>Guardian Sphere: (patrol) package<br>Shield Sphere: Cover Ally<br>Bonus Magic Talents:<br>Protection Sphere: Community, Bulwark (succor)<br>Boon: +1 spell point per odd level in casting classes.	Commonly acting as sentries and elite guards, resolute vanguards represent a fusion of both magic and martial capabilities for the sole purpose of defending their ward. Resolute vanguards are always seen next to their allies, vigilant for anything that could pose a threat to their allies. Never too far, a resolute vanguard ensures that their allies stay close and stay safe.<br>Casting Ability Modifier: Charisma
Rover	Unified		Rovers wield ritualistic performance the way a wizard wields arcane formulae, invoking magic through music and dance in place of symbols and chants. Rovers possess the Verbal Casting and Somatic Casting drawbacks, as well as the Skilled Casting drawback, usable with any Perform skill.	Bonus Combat Talents:<br>Equipment: Dancer Training<br>Gladiator sphere<br>Warleader sphere<br>Bonus Feat: Mystic Focus<br>Bonus Magic Talents: Rovers may select any 2 bonus magic talents they desire.<br>Boons: While a rover’s full-body magic requires significant training, it has the benefit of allowing the rover to multitask, as the same dance steps used to invoke magic can also be used to dodge or attack. Rovers gain Easy Focus.	A rover is a traveler for travel’s sake, often collecting songs and stories along the way which they perform for money as they move from town to town. While some locals mistrust all travelers as potential thieves, a rover is a welcome addition to any adventuring party where the rover’s quick wits and commanding presence oftens spurs their allies on to even greater heights. A rover gains +1 spell point, +1 per six levels gained in a casting class.
Spellbound Tactician	Unified	[Warden]	Consciousness Linked, Emotional Casting, Magical Signs, Verbal Casting, Battle Manipulation (War)	Bonus Combat Talents:<br>Equipment Sphere: Any one talent<br>Warleader Sphere: Militant Will<br>Variable: The spellbound tactician gains a talent of their choice from either the Leadership or Gladiator spheres.<br>Bonus Magic Talents:<br>War Sphere: Eternal Vigilance, Resolve (mandate)<br>Boon: Drawback Feat (Battlecry), +1 spell point, +1 spell point per 3 levels in casting classes	Most tactician’s inspire their people with grand words and incredible charisma, yet there are some tactician’s and leaders blessed with magic, allowing them to instill their allies with magically-enhanced courage and zeal. These spellbound tacticians are able to manipulate the battlefield with both their voice and magic, uniting soldiers on the battlefield through brilliant tactics and spellbinding unity.<br>Casting Ability Modifier: Charisma
Spellsword	Unified		Verbal Casting, Somatic Casting, Material Casting, Prepared Caster	Equipment: Duelist Training, Balanced Defense<br>Variable: Spellswords gain either Duelist’s Grip or Finesse Fighting from the Equipment sphere.<br>Bonus Feat: Spell Attack<br>Bonus Magic Talents: Destruction sphere, Energy Strike<br>Boons: Metamagic Expert, Overcharge	Spellswords blend magic and martial skill together, wielding both in a single fighting style not unlike how other warriors might blend sword and shield. Spellswords usually fight with a weapon in one hand, but keep the other hand free to fulfill somatic requirements for their spells, letting them stay versatile and ready in any situation. Spellswords are considered part of the traditional magic tradition, but through careful study learn to wield this magic in light armor without trouble, as well as how to empower their attacks for single, deadly strikes. However, such training decreases the time they can dedicate to simply increasing their power. Spellswords do not gain any bonus spell points.<br>Bonus Talents:
Spell Warrior	Unified	[EO2]	Magic Signs, Verbal Casting.	Variable: Spell warriors gain two talents of their choice from the Equipment sphere.<br>Bonus Feats: Guarded Attack, Spell Attack<br>Bonus Magic Talents: Choose from the Destruction sphere and Energy Strike, the Death sphere and Cryptic Strike, the Life sphere and Clarified Strike, or any other sphere that possesses a ‘strike’ talent and that talent.<br>Boons: Overcharge	Spell warriors blend magic and physical combat seamlessly, channeling deadly effects through their blades with impunity.
Street Mage	Unified		Verbal Casting, Somatic Casting	Equipment: Rogue Weapon Training<br>Fencing Sphere<br>Scoundrel Sphere<br>Variable: Street mages gain either the Alchemy sphere ((poison) package) or the Scout sphere.<br>Bonus Magic Talents: Illusion sphere (Suppression (glamer))<br>Boons: Easy Focus	For a street mage, convincing someone you have power is just as important as actually having power. Con artists and thieves, street mages are casters who use tricks both magical and mundane to stay one step ahead of the law and whatever other forces might want them dead. Street mages study traditional magic and are considered part of that tradition, but their knowledge is half-trained at best and filled with shortcuts.<br>However, what tricks they do know are often rigorously practiced until they can be performed as easily as breathing. Street mages gain no bonus spell points.<br>Bonus Talents:
Strider	Unified		Verbal Casting, Prepared Caster, Animal Shaman (Mind).	Bonus Combat Talents:<br>Equipment: Huntsman Training<br>Scout sphere<br>Beastmastery sphere (handle animal) package<br>Variable: Striders gain either the Sniper sphere or the Barrage sphere.<br>Bonus Magic Talents: Nature sphere (plant package), Nature's Carapace<br>Boons: None.	A strider guards the settlements at the edge of the frontier, learning as much from civilized company as from animals and nature. Striders are masters of stealth and hunting, using fancy shooting and animal allies to bring down their targets. Striders are part of the druidic casting tradition, and as such gain +1 spell point, +1 per three levels gained in a casting class.
Strider (Variant: Stalker)	Unified			Bonus Combat Talents:<br>Equipment: Huntsman Training<br>Scout sphere<br>Trap sphere<br>Bonus Feat: Spell Trap<br>Bonus Magic Talents: Nature sphere (plant package), Create Nature (geomancing)<br>Boons: None.	Stalkers forgo animal companions and fancy shooting to instead take their targets down through clever traps and magic.
Traveling Sage	Unified		Verbal Casting, Somatic Casting (2), Material Casting, Prepared Caster	Equipment: Unarmored Training<br>Alchemy sphere (formulae) package<br>Scout sphere<br>Variable: Traveling sages gain either Staff Mastery or a single (discipline) talent of their choice from the Equipment sphere.<br>Bonus Magic Talents: Traveling sages may select any 2 bonus magic talents they desire.<br>Boons: None	While many sages prefer stuffy libraries, others travel the world, wishing to see its many wonders in person. While many of these sages are accomplished wizards or alchemists, they also often carry swords or reinforced staves so they are never caught unprepared, whatever life may throw at them. Traveling sages are considered part of the traditional magic casting tradition, and gain an additional spell point every level they gain in a casting class.<br>Bonus Talents:
Ulfhednar	Unified		Ulfhednar gain the Focus Casting general drawback and choose either a cloak made out of animal skin or a totem (use the cost and other statistics of a wooden holy symbol) as their focus. In addition, ulfhednar have the Lycanthropic drawback.	Bonus Combat Talents:<br>Berserker sphere, Bloody Counter<br>Brute sphere<br>Variant: Ulfhednars gain either Huntsman Training or Unarmed Training from the Equipment sphere.<br>Bonus Magic Talents: Alteration sphere, Animalistic Transformation, Bestial Spirit.<br>Boons: None	Ulfhednar, or “wolf warriors” are wild berserkers who seek out brutal and intense combat, abandoning reason in favor of adopting a wild and uncontrollable combat style. The ulfhednar channel their great ferocity into furs and totems that allow them to take on the forms and powers of mighty animals. An ulfhednar gains +1 spell point, +1 for every 6 levels gained in a casting class.
Wild Sidhe	Unified		Somatic Casting (2), Wild Magic, Emotional Casting.	"Bonus Combat Talents:<br>Equipment: Tribal Training<br>Alchemy sphere<br>Barroom sphere<br>Variable: One additional talent from the Alchemy, Barroom, or Equipment spheres.<br>Bonus Magic Talents: Nature sphere (any package) and their choice of either the Illusion or Mind spheres.<br>Boons: Easy Focus, Overcharge<br>---<br>| Champions of the Spheres by Drop Dead Studios | | | |<br>| -------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------- |<br>| Classes | | | |<br>| Bravo | Crimson Dancer | Dissident | Dragoon |<br>| Mountebank | Necros | Prodigy | Reaper |<br>| Sage | Theorist | Troubadour | Warden |<br>| Rules | | | |<br>| Champion Feats | Unified Traditions | Champion FCBs | |<br>| Get Champions Of The Spheres | | | |<br>| Get Mythic Champions of the Spheres | | | |<br>| Get Legends of the Spheres | | | |<br>| Get Study and Practice | | | |<br>| The Crimson Dancer | | The Realmwalker's Handbook | |<br>| The Warden | | Spheres Apocrypha: Sidhe Outcasts | |<br>| The Cataclysm Handbook | | The Gravecaller's Handbook | |<br>| Get the Lost Champions Bundle | | | |<br>| LC: Dragoon | LC: Mountebank | LC: Necros | LC: Reaper |<br>| Spheres of Power by Drop Dead Studios | | | |<br>| ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------ | ----------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------- |<br>| Using Spheres of Power | | | |<br>| Classes | | | |<br>| Armorist | Elementalist | Eliciter | Fey Adept |<br>| Hedgewitch | Incanter | Mageknight | Shifter |<br>| Soul Weaver | Symbiat | Thaumaturge | Wraith |<br>| Prestige Classes | | | |<br>| Bokor | Forest Lord | Magemage | Realmwalker |<br>| Tempestarii | Waking Sleeper | | |<br>| Spheres | | | |<br>| Alteration | Blood | Conjuration | Creation |<br>| Dark | Death | Destruction | Divination |<br>| Enhancement | Fallen Fey | Fate | Illusion |<br>| Life | Light | Mana | Mind |<br>| Nature | Protection | Telekinesis | Time |<br>| War | Warp | Weather | |<br>| Other Spheres | | | |<br>| Bear | | Technomancy | |<br>| Rules | | | |<br>| About Advanced Magic | Advanced Talents | Alternate Racial Traits | Casting Traditions |<br>| Incantations | Magical Items | Mythic Spheres | Rituals |<br>| Spellcrafting | Traits | Wild Magic | Sphere Bestiary |<br>| Equipment | | | |<br>| Weapons | Armor | Equipment | Special Materials |<br>| Alchemical Items | Apparatuses (Metamagic) | Charms | Compounds |<br>| Fabled Items | Implements | Marvelous Items | Schematics |<br>| Scrolls | Spell Engines | Spellzones | Talent Crystals |<br>| Feats | | | |<br>| Admixture | Anathema | Aristeia | Champion |<br>| Chance | Channeling | Combat | Companion |<br>| Counterspell | Damnation | Drawback | Extra |<br>| General | Item Creation | Metamagic | Necrosis |<br>| Plague | Protokinesis | Proxy | Purring |<br>| Racial | Ritual | Squadron | Surreal |<br>| Teamwork | Theurge | Wild Magic | |<br>| Get Ultimate Spheres of Power | | Get the Original RulebookU | |<br>| Get Expanded OptionsU | | Get Expanded Options 2 | |<br>| Alteration HandbookU | Conjuration HandbookU | Creation HandbookU | Dark HandbookU |<br>| Death HandbookU | Destruction HandbookU | Divination HandbookU | Enhancement HandbookU |<br>| Fate HandbookU | Illusion HandbookU | Life HandbookU | Light HandbookU |<br>| Mind HandbookU | Nature HandbookU | Protection HandbookU | Telekinesis HandbookU |<br>| Time HandbookU | War HandbookU | Warp HandbookU | Weather HandbookU |<br>| Spheres Apocrypha | | | |<br>| Apex Shifter | Casting Traditions | Casting Traditions 2 | Cognition Talents |<br>| Cohorts and Companions | Dark ApocryphaU | Debilitating Talents 2 | Destruction ApocryphaU |<br>| Light ApocryphaU | Nature (Air) PackageU | Nature (Earth) ApocryphaU | Nature (Fire) ApocryphaU |<br>| Nature (M/P/W) ApocryphaU | Nature (Spirit) ApocryphaU | Protokinesis ApocryphaU | Sidhe Court |<br>| Other Spheres Products | | | |<br>| Archetypes of PowerU | Archetypes of Power 2 | The Bear Sphere | The Blood SphereU |<br>| Blood and Portents | Compounds of Power | The Conqueror's Handbook | The Fallen Fey SphereU |<br>| Initiate's Handbook | Items of PowerU | The Jester's Handbook | Mythic Spheres of Power |<br>| The Technomancy Sphere | Treasures of the Spheres | Treasures: Weapons and Tools | The Wraith ClassU |<br>| Wild Magic | Woodfaring Adventures | Worlds of Power | The Youxia's Handbook |<br>| Bestiary: Fey and Feyfolk | The High Magic Handbook | Realmwalker's Handbook | Bestiary: Fiends of the Cosmos |<br>| Adventures | | | |<br>| Wreckage to Deliverance | | Wreckage to Deliverance Player's Guide | |<br>U: Part of Ultimate Spheres of Power and does not need to be bought separately from that book<br>| Spheres of Might by Drop Dead Studios | | | | | | | |<br>| ---------------------------------------------------------------------------------------------------------------------------------------- | ------------------------- | ------------------------------------------------------------------------------------------------------------------------------ | ----------------------- | ---------------------------------------------------------------------------------------------------------------------- | ----------------------- | -------------------------------------------------------------------------------------------------------------------- | ------------------------------ |<br>| Using Spheres of Might | | | | | | | |<br>| Classes | | | | | | | |<br>| Armiger | Blacksmith | Commander | Conscript | Scholar | Sentinel | Striker | Technician |<br>| Prestige Classes | | | | | | | |<br>| Aeronaut Captain | | | | | | | |<br>| Spheres | | | | | | | |<br>| Alchemy | Athletics | Barrage | Barroom | Beastmastery | Berserker | Boxing | Brute |<br>| Dual Wielding | Duelist | Equipment | Fencing | Gladiator | Guardian | Lancer | Leadership |<br>| Open Hand | Scoundrel | Scout | Shield | Sniper | Tech | Trap | Warleader |<br>| Wrestling | | Pilot (3PP) | | | | | |<br>| Rules | | | | | | | |<br>| About Legendary Talents | | Martial Traditions | | Martial Packages | | Practitioner Feats | |<br>| Practitioner Traits | | Practitioner FCB's | | Practitioner Bestiary | | Associated Feats & Skills | |<br>| Ultimate Engineering (Tinker) | | | | Starfinder Conversion [3pp] | | | |<br>| Get Spheres of Might on DriveThruRPG | | | | | | | |<br>| Mythic Spheres of Might | | | | | | | |<br>| Ultimate Engineering | | | | | | | |<br>| The Conqueror's Handbook | | | | The General's Handbook | | | |<br>| The Highlander's Handbook | | | | The Inventor's Handbook | | | |<br>| The Inventor's Handbook 2 | | | | The Jester's Handbook | | | |<br>| Woodfaring Adventures | | | | The Youxia's Handbook | | | |<br>| Spheres Apocrypha | | | | | | | |<br>| Alch. Formulae | | Alch. Poisons | | Alch. Poisons 2 | | Armor Talents | |<br>| Astrologian Archetype | | Debilitating Talents | | Pugilists | | Racial | |<br>| Ranged | | Swashbucklers | | Tandem | | Tricks & Traps | |<br>Help | Terms of Service | Privacy | Report a bug | Flag as objectionable | Update cookie settings<br>Powered by Wikidot.com<br>This website uses cookies. See the Legal & OGL page for important information. Any material NOT covered by the Open Game License Version 1.0a is covered by the Creative Commons Attribution-ShareAlike 3.0 License.<br>Click here to edit contents of this page.<br>Click here to toggle editing of individual sections of the page (if possible). Watch headings for an ""edit"" link when available.<br>Append content without editing the whole page source.<br>Check out how this page has evolved in the past.<br>If you want to discuss contents of this page - this is the easiest way to do it.<br>View and manage file attachments for this page.<br>A few useful tools to manage this Site.<br>See pages that link to and include this page.<br>Change the name (also URL address, possibly the category) of the page.<br>View wiki source for this page without editing.<br>View/set parent page (used for creating breadcrumbs and structured layout).<br>Notify administrators if there is objectionable content in this page.<br>Something does not work as expected? Find out what you can do.<br>General Wikidot.com documentation and help section.<br>Wikidot.com Terms of Service - what you can, what you should not etc.<br>Wikidot.com Privacy Policy."	Wild sidhe are isolated alchemists and nature priests, often found guarding leylines from unsuspecting travelers. As opposed to druids who gain their magic from reverence for nature, wild sidhe gain their magic from their participating in fey revelry, tapping into the power they protect and its connections to the hidden world. Because of the close connection between leylines and fey woods, wild sidhe gain aklo, sylvan, or treant as a bonus language, not unlike how druids begin knowing druidic. Wild sidhe are considered part of the fey magic casting tradition.
Alchemist	Casting		Extended Casting x2, Material Casting; Transformative Brew (Alteration), Humors (Blood), Meld Into Dark and Shadowed Brew (Dark), Necromantic Concoction (Death), Shape Focus (Energy Bomb) (Destruction), Divining Concoction (Divination), Special Delivery (Enhancement), Cursed Brew and Tongue Of Ages (Fate), Glamered Brew and Obscura Mage (Illusion), Medicinal (Life), Glowing Brew (Light), Addling Brew (Mind), Holistic Brew and Limited Nature x2 (Nature), Limited Protection (aegis) and Protective Brew (Protection), Temporal Brew (Time), Warping Brew (Warp), Atmospheric Brew and Localized Weather (Weather).	+1 spell point per level gained in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Intelligence
Arcanist	Casting		Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting	+1 spell point per level gained in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Intelligence
Bard	Casting		Somatic Casting, Verbal Casting	+1 spell point, +1 per three levels gained in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Charisma
Bloodrager	Casting		Somatic Casting (alternate), Verbal Casting	+1 spell point at 1st level, +1 per 3 levels in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Charisma
Cleric	Casting		Focus Casting, Prepared Caster, Verbal Casting; Aligned Combatant (Destruction), Aligned Protection (Protection)	+1 spell point per odd level in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Druid	Casting		Focus Casting, Prepared Caster, Verbal Casting; Animal Shaman (Mind)	+1 spell point, +1 per odd level in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Hunter	Casting		Focus Casting, Verbal Casting; Animal Shaman (Mind)	+1 spell point, +1 per three levels in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Inquisitor	Casting		Focus Casting, Verbal Casting	+1 spell point, +1 per three levels in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Magus	Casting		Material Casting, Prepared Caster, Somatic Casting, Verbal Casting	+1 spell point, +1 per one and a half levels in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Intelligence
Medium	Casting		Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	Magic Type: Psychic<br>Casting Ability Modifier: Charisma
Mesmerist	Casting		Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	Magic Type: Psychic<br>Casting Ability Modifier: Charisma
Occultist	Casting		Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	Magic Type: Psychic<br>Casting Ability Modifier: Intelligence
Oracle	Casting		Verbal Casting	+1 spell point, +1 per six levels in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Charisma
Paladin	Casting		Focus Casting, Prepared Caster, Verbal Casting; Aligned Combatant (Destruction), Aligned Protection (Protection)	+1 spell point per odd level in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Charisma
Psychic	Casting		Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	Magic Type: Psychic<br>Casting Ability Modifier: Intelligence
Ranger	Casting		Prepared Caster, Verbal Casting; Animal Shaman (Mind)	+1 spell point, +1 per three levels in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Shaman	Casting		Prepared Caster, Verbal Casting	+1 spell point, +1 per three levels in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Skald	Casting		Somatic Casting, Verbal Casting	+1 spell point, +1 per three levels in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Charisma
Sorcerer	Casting		Somatic Casting x2, Verbal Casting	+1 spell point per odd level in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Charisma
Spiritualist	Casting		Emotional Casting, Rigorous Concentration	+1 spell point, +1 per three levels in casting classes.	Magic Type: Psychic<br>Casting Ability Modifier: Wisdom
Summoner	Casting		Somatic Casting, Verbal Casting	+1 spell point, +1 per three levels in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Charisma
Warpriest	Casting		Focus Casting, Prepared Caster, Verbal Casting; Aligned Combatant (Destruction), Aligned Protection (Protection)	+1 spell point per odd level in casting classes.	Magic Type: Divine<br>Casting Ability Modifier: Wisdom
Witch	Casting		Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting	+1 spell point per level in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Intelligence
Wizard	Casting		Material Casting, Prepared Caster, Somatic Casting x2, Verbal Casting	+1 spell point per level in casting classes.	Magic Type: Arcane<br>Casting Ability Modifier: Intelligence
Addled	Casting		Addictive Casting, Verbal Casting, Wild Magic	Easy Focus, +1 spell point, +1 per 6 levels in casting classes.	Hidden within the ramblings of the insane, one word is often repeated. Some healers theorize that this word is the name of the hidden god of madness, gaining power from—and granting power to—those who surrender their minds to him. There must be some truth to this theory, because sometimes, when those with this word on their lips are displeased with their surroundings, they possess the ability to change them.<br>Casting Ability Modifier: Charisma
Akashic Tech	Casting	[LG]	Akashic Spells, Clarke Compliance, Imbued Power x2, Incompatible Energies, Magical Signs	Alien Source (Technomancy), Essence Empowerment, Essence Pool (2 drawbacks)	Source: Arcforge Players Compendium<br>Akasha on Vandara represents a refined integration of technological and magical knowledge, a tool metaphysically sculpted onto its user to augment their abilities.<br>Casting Ability Modifier: Charisma, Intelligence, or Wisdom
Apothecary	Casting		Material Casting, Skilled Casting (Craft (alchemy) or Profession (apothecary)); Special Delivery (Enhancement)	+1 spell point, +1 per six levels in casting classes.	Apothecaries are masters of tinctures and tonics, who are capable of turning mere bottles of water or pinches of salt into potions and magic powders. Unlike the academic alchemists of the larger cities, apothecaries usually set up shop in country towns, learning as much from experimentation and tradition as they do from their teachers.<br>Casting Ability Modifier: Intelligence
Artificery	Casting		Focus Casting (artificer’s focus), Wild Magic	Easy Focus	Artificers construct magical implements (known as an artificer’s focus) to direct and control their magic. Each sphere they know requires a different focus, and foci can be created by spending 8 hours in a magic lab or alchemist’s lab. While somewhat unstable, these items make directing power easy.<br>Casting Ability Modifier: Intelligence
Bardic Magic	Casting		Skilled Casting (Perform (any)), Somatic Casting, Verbal Casting	+1 spell point per odd level in casting classes.	Bardic magic is a holistic style of magic that transforms the natural magic of music into powerful magical force. While rather physically demanding, those who have trained in bardic magic often have more power at their call than others.<br>Masterpieces: A practioner of bardic magic using the Spheres of Power system may spend magic talents instead of feats to gain bardic masterpieces.<br>Casting Ability Modifier: Charisma
Beast Charming	Casting		Skilled Casting (Perform (any)), Somatic Casting x2; Animal Shaman (Mind)	+1 spell point per odd level in casting classes.	It is often said that music can soothe the savage beasts of the world, but the knack for doing so is a difficult, and often dangerous, skill to develop. Many practitioners develop specialties that cause them to become more comfortable with certain kinds of animals, but whether they choose to catch rats, charm snakes, or divert locusts from crops the ability to pacify, guide, or otherwise enchant animals remains the same.<br>Casting Ability Modifier: Charisma
Blighter	Casting	[Cata. HB]	Focus Casting, Charged Spells, Terrain Casting, Verbal Casting	Drawback Feat (Charged Despoilation), +1 spell point per odd level in casting classes.	Drawing power from the destruction of life, blighters are twisted divine casters who reduce the land around them to a desiccated echo of its former virility. Be they worshipers of blight gods or thieves of natural magics, blighters are a hazard to living things wherever they tread.<br>Casting Ability Modifier: Wisdom
Bloodletting	Casting		Draining Casting, Focus Casting (ritual knife), Magical Signs, Painful Magic, Somatic Casting	Fortified Casting, Sanguine Empowerment, +1 spell point, +1 per 6 levels in casting classes.	Casters of the bloodletting tradition use their ornate ritual knife to make precise incisions, drawing forth trickles of blood that is smeared, thrown, or otherwise manipulated to cast their spells. Casters of this tradition usually use the Blood Price optional ritual pricing.<br>Casting Ability Modifier: Constitution
Blood Magic	Casting		Draining Casting, Extended Casting, Somatic Casting x2, Verbal Casting	Deathful Magic, Fortified Casting, Overcharge	One of the most dangerous forms of magic, blood magic, promises great power to its practitioners, but with a price. Blood magic is difficult, lengthy, complicated, and draining, but for its practitioners the promise of insurmountable power is worth the mere price of their life force. Blood mages are constantly performing a dangerous dance, for the closer they are to death’s door, the greater their power.<br>Casting Ability Modifier: Constitution
Bonneteur	Casting		Draining Casting, Somatic Casting, Verbal Casting; Lost In Translation (Mind)	+1 spell point per odd level in casting classes.	This method of fast talking con artistry has been developed to the point where it is undeniably supernatural in nature. A tradition closely guarded by many thieves guilds until they can monopolize a region, it has nevertheless spilled out into the world. Only a small number of true magicians employ this style, but rogues, bards, and other dabblers in mental magic will often focus their studies on this magical tradition.<br>The fast-talking and wild gesticulating arm movements are similar enough to the actions of street hawkers that the magic can often go unnoticed by those who are not expecting it, and its effectiveness at the negotiating table makes the draining effect on the caster’s psyche worth the trouble.<br>Casting Ability Modifier: Charisma
Caffiend	Casting	[Jester's HB]	Material Casting (coffee or tea), Rigorous Concentrating, Witchmarked (scent of coffee or tea).	+1 spell point per odd level in a casting class.	Caffiends are an odd blend of addicts and savants who draw strength from their love of coffee, tea, or other caffeine-laden drinks.<br>Casting Ability Modifier: Intelligence
Cartomancy	Casting		Extended Casting, Focus Casting (deck of cards), Skilled Casting (Profession (fortuneteller)); Limited Divination (sense) (Divination), Sanctified and Tongue Of Ages (Fate)	Easy Focus, +1 spell point, +1 per six levels in casting classes.	Most commonly practiced by itinerant fortune-tellers, cartomancy is the art of divining by cards. Many casters extend this to manipulating the myths the cards symbolize to empower themselves and others.<br>Casting Ability Modifier: Wisdom
Chi Tracer	Casting		Somatic Casting x2; Lycanthropic (Alteration), Meld Into Dark (Dark), Deathful Touch (Death), Destructive Touch (Destruction), Bodily Enhancement and Personal Magics (Enhancement), Personal Fate (Fate), Personal Illusion (Illusion), Touch Of Light (Light), Regenerate (Life), Tactile Charm (Mind), Limited Nature x2, Limited Protection (ward), Personal Time (Time), Solo Combatant (War), Personal Warp (Warp)	Easy Focus	Considered a subset of the monastic casting tradition, monks who train their minds as well as their body and spirit have a greater endurance for performing their techniques, though their feats of mentalism require a knowledge of an enemies’ (or allies’) pressure points and chi lines, giving them the ability to deliver crippling nerve pinches (or helpful chiropractic alterations) to impart their charms.<br>Casting Ability Modifier: Wisdom
Cholmic Traditionalist	Casting		Addictive Casting, Magical Signs, Painful Magic, Somatic Casting x2, Verbal Casting	Overwhelming Power, +1 spell point per level in casting classes.	A tradition that dates back to the long dead Cholmic civilization, the methods of their cultural magic have been lost to all but a few liches and fragments of old, rotten tomes. While the methods themselves are cursed by the very gods, that curse has also decayed over the years – while the magic would have originally hideously harmed the caster and the recipient, nowadays most of the curse decays into simple pain, grey light, and the noise of vast bells.<br>Casting Ability Modifier: Intelligence
Contaminated	Casting		Addictive Casting, Material Casting, Wild Magic	+1 spell point per odd level in casting classes.	Somewhere in the bowels of the criminal underworld, an alchemist cracked the code of magic and created Essence. This powerful, addictive powder would grant magical ability to anyone who consumed it. The crime lord who first distributed Essence sold it everywhere, eager to gain a dedicated following of addicted ‘wizards’, but he underestimated the power of the addiction— and of the addicted. The lab was destroyed as magic users descended on it to increase their supply and steal the secret of its creation. Now Essence can be found virtually anywhere people are rich enough—and foolish enough—to seek it out.<br>Casting Ability Modifier: Intelligence
Corrupted Apostle	Casting	[Cata. HB]	Addictive Casting, Innate Curse, Unsettling Casting, Witchmarked	Drawback Feat (Witchwarped), +1 spell point, +1 per 1.5 levels in a casting class.	Sometimes, those who delve into the arts of magic find themselves drawn towards dark paths, paths which lead them to sacrifice their very humanity for promises of greater power. As their condition progresses, these corrupted apostles take on ever more alien forms.<br>Casting Ability Modifier: Charisma
Defiler	Casting	[Cata. HB]	Magical Signs, Material Casting, Prepared Caster, Somatic Casting (2), Terrain Casting, Verbal Casting	Drawback Feat (any one Defiler feat), +1 spell point level in a casting class.	Defilers are a distinct type of arcanist who have discovered how to draw magic from the environment around them. However, such incredible power destroys the caster’s surroundings, making any defiler a serious danger regardless of their intentions.<br>Casting Ability Modifier: Intelligence
