name	type	system	prerequisites	benefit	normal	special	source	url
Extra Distortion	General	other	Distortion class feature	You gain an additional distortion. You must meet all of the prerequisites for this distortion.		You can gain this feat multiple times.	Paths of Magic	https://metzo.miraheze.org/wiki/Extra_Distortion_(Shaper)
Extra Mech Enhancement	General	other	Bonded Mech class feature; or Mech Piloting, Psi-Core Upgrade, Psicrystal Affinity, Technologist, manifester level 3rd.	Choose one Mech Enhancement. Any mech that you are piloting gains that enhancement so long as the mech meets its prerequisites.				https://metzo.miraheze.org/wiki/Extra_Mech_Enhancement
Extra Recorded Talent	General	other	Record talents class feature.	You gain an additional recorded talent.		This talent can be selected an additional time at vizier level 3, and every 2 levels thereafter.		https://metzo.miraheze.org/wiki/Extra_Recorded_Talent
Extra Resonance	General	other	Resonance class feature	You can activate a resonance an additional two times each day.		You can take this feat multiple times. Its effect stacks.	Paths of Magic	https://metzo.miraheze.org/wiki/Extra_Resonance
Extra Roper Talent	General	other	Energy roper 11th.	You gain an additional roper talent.		You can select this feat a second time at 15th level, and a third time at 19th level.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Roper_Talent
Extra Skin Form Slot	General	akashic	Veilweaver level 5th, skin shift class feature.	You gain an additional skin form slot.		This feat may be taken multiple times.		https://metzo.miraheze.org/wiki/Extra_Skin_Form_Slot
Extra Song	General	other	Siren Song class feature, Caster level 3rd	Upon taking this feat, you may immediately gain a siren song you opted not to earlier in your character’s advancement. For example, if at 3rd level you choose entrancing voice, you could select shattering note upon taking this feat. In short, this feat grants you the other song from any one level where you had to choose a single song.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Extra_Song
Extra Storm Power	General	other	Storm power class feature.	You gain one additional storm power. You must meet all of the prerequisites for this storm power, as normal.		You can gain this feat multiple times. Each time you take this feat, you gain an additional storm power.		https://metzo.miraheze.org/wiki/Extra_Storm_Power
Extra Tear	General	other	Dimensional rip wild talent or dimensional tear class ability	You can create an additional dimensional tear with your dimensional rip wild talent or the dimensional tear class feature.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Tear
Extra Vanguard Arcana	General	other	Vanguard arcana class feature	You gain one additional spell from the sorcerer/wizard or vanguard spell list to use with your imbue class feature, as described with the vanguard arcana ability.		You can gain this feat multiple times.	Paths of Magic	https://metzo.miraheze.org/wiki/Extra_Vanguard_Arcana
Extra Wild Talent	General	other	Kineticist 6th or legendary kineticist 1st.	You gain a wild talent that’s at least 2 levels lower than the highest-level wild talent you can currently use. You can select an infusion or a non-infusion wild talent, but not a blast or defense wild talent. If you have the expanded element class feature, you can select a wild talent from any of your elements that’s at least 2 levels lower than the highest-level wild talent from your primary element that you can currently use.		You can take this feat multiple times. Each time, you must choose a different wild talent. If you are a legendary kineticist you can select wild talents at the highest level you can currently use.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Wild_Talent
Extra Wild Talent Slot	General	other	Entropist 5th, Constitution 17.	You gain two additional slots in which you can prepare wild talents. These cannot be applied to the highest level of wild talent you can prepare, and you can never have more slots of one level available than you have of a lower level.		This feat can be taken multiple times. Its effects stack.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Wild_Talent_Slot
Fang and Fury	Combat	other	base attack bonus +6, able to initiate<br>3rd level or higher maneuvers, bite natural attack	Once per round you may make a bite attack<br>as an additional part of initiating a strike. This bite<br>attack must be made against one of the targets of your<br>strike. It does not gain any of the benefits of the strike<br>(though it might benefit from other effects, such as<br>boosts or stances).			Lords of the Night (page does not exist)	https://metzo.miraheze.org/wiki/Fang_and_Fury
Fantastic Tongue	Combat	other	Mogogol.	When using your grasping tongue racial trait, your range improves by 10 feet, and you gain a +2 bonus on checks made to grapple a foe in this way.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Fantastic_Tongue
Flashy Finesse	Combat	other	Weapon Finesse, Cha 15.	You can choose to add your Charisma modifier rather than Dexterity modifier to attack rolls on attacks which add your Charisma modifier to their damage.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Flashy_Finesse
Fluctuating Sigil	General	rune_magic	Design Focus (manipulation)	Whenever you cast a manipulation script, you can take a 5-foot step as part of the casting action. This does not count as your 5-foot step for the turn and can be taken before or after the results of the script come into effect.			Paths of Magic	https://metzo.miraheze.org/wiki/Fluctuating_Sigil
Fluid Theory	General	akashic		When you shape a veil with the Enhanced descriptor with at least a +2 weapon bonus, you may change the configuration of enhancement bonuses and weapon special properties of that veil. For example, if you shape a veil with the Enhanced descriptor that is a +1 flaming, you may change the enhancement bonuses for that veil to a +1 frost, a +2, a +1 keen, and so forth.		If you possess the Unified Theory feat, you may change the Enhanced veil separately from one another, allowing them to possess different enhancement bonuses and weapon special properties.		https://metzo.miraheze.org/wiki/Fluid_Theory
Flumefire Rage	General	other	Cha 15;bloodrage class feature, elemental focus class feature, or Varisian Tattoo (evocation).	When casting an evocation spell or using a kinetic blast that deals fire damage, you can deal +1 point of fire damage per die. If you do, you must succeed at a Fortitude save (DC = 15 + the spell or blast’s level) or become fatigued. You cannot use this feat while fatigued or if you cannot become fatigued.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Flumefire_Rage
Flying Fish Leap	General	other	8 ranks in Jump skill	When you make a High Jump out of the water, you do not receive the normal –10 penalty. In addition, you can move as far horizontally as you can jump vertically.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Flying_Fish_Leap
Form Figure	General	other	Ooze type, nonhumanoid form.	You gain the ability to change shape as<br>a full-round action. When you use this ability, you<br>assume the appearance of a specific humanoid form<br>(selected at the time of choosing the feat). This form<br>is Medium-sized or your size, whichever is smaller,<br>and its flesh appears to be made of a transparent<br>gelatinous substance. You cannot use the natural<br>weapons of your normal form in this form, but if you<br>possess the engulf ability, it functions as normal. You<br>also gain the ability to wield or otherwise interact<br>with objects as normal for a humanoid creature (you<br>have two arms, two legs, one head, and so on). Your<br>ability scores do not change. You can return to your<br>natural form as a free action, and can remain in your<br>alternate form indefinitely. This is a supernatural<br>ability.			April Augmented: 2016 (page does not exist)	https://metzo.miraheze.org/wiki/Form_Figure
Form of Sebek	General	other	Sebek-ka, 9th level, Wis 13.	You gain a spell-like racial ability that functions like the beast shape I spell, except as noted here. You can only turn into a crocodile or alligator. You may use this ability once per day. The effect lasts for 1 hour, or until you change back. Changing form (to crocodilian or back) is a standard action and doesn’t provoke an attack of opportunity.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Form_of_Sebek
Four Beasts of the Elements	General	other	Elemental avatar 1st, or entropist 7th and planar array (elemental).	You gain access to four beasts blast.		Elemental avatars can possess this composite blast even if they normally could not possess a composite blast but cannot select this feat if they possess the avatar mutation.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Four_Beasts_of_the_Elements
Fundamental Mastery	General	rune_magic	Scribe level 9th, fundamental class feature	All fundamentals you cast are automatically overloaded with a single runic charge. The design of charge always matches the design of the fundamental itself. You can still choose to overload your actual runic charges into the fundamental, should you desire to do so, but you cannot exceed the normal amount of charges you could overload based on your level. At 17th level, all of your fundamentals are overloaded with two charges, instead of just one.			Paths of Magic	https://metzo.miraheze.org/wiki/Fundamental_Mastery
Gather Might	General	other	Gather power class feature, kineticist level 8th.	When you gather power, instead of reducing the burn cost of a blast wild talent, you can send elemental energy flowing through your body to gain a +2 alchemical bonus to Strength, Dexterity, and Constitution until the end of your turn for each point of burn reduction your gather power would grant (to a maximum of +10 when spending a full round plus a move action to gather power with the supercharge class feature).			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Gather_Might
Greater Amphibiousness	General	other	Anthromorph subtype.	If you have lungs, you can survive underwater for 1 hour per point of Constitution. If you have gills, you can survive on land for 1 hour per point of Constitution.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Greater_Amphibiousness
Greater Design Focus	General	rune_magic	Design Focus	Add +1 to the Difficulty Class for all saving throws against scripts from the design of runic script you select. This bonus stacks with the bonus from Design Focus.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new design to which you already have applied the Design Focus feat.	Paths of Magic	https://metzo.miraheze.org/wiki/Greater_Design_Focus
Guardian Spirit	General	other	Spirit Devotion class feature	Whenever you invoke a spirit aspect you gain a +2 bonus to saving throws for 1 round.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Guardian_Spirit
Healing Spirit	General	other	Spirit Devotion class feature	Whenever you summon a spirit aspect that heals allies or grants them temporary hit points, you may add your Wisdom modifier to the amount healed or gained. If the spirit aspect already keys off of Wisdom to determine the amount healed or gained, simply add the Wisdom modifier again.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Healing_Spirit
Hydrokinetic Healer	General	other	Kineticist 7th, must possess a water composite blast.	Once per day, when using kinetic healer, regressive healing, void healer, wood healer, or any wild talent which restores hit points and for which kinetic healer is a prerequisite, you can use the damage of a water composite blast of your choice to determine its healing by accepting an additional amount of burn equal to that composite blast’s burn cost. If you could force the target to accept the wild talent’s burn in your stead, you can also force them to accept any portion of the burn added by this feat.	You use one of your simple blasts’ damage to determine the healing provided by the kinetic healer wild talent.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Hydrokinetic_Healer
Imitate Corpse	Combat	other	Undead type	When you use the Bluff or Knowledge<br>(religion) skills to appear fully dead (as opposed to<br>undead), you may do so as an immediate action. Add<br>a +4 circumstance bonus to this check if you activated<br>this ability in response to suffering damage. As usual,<br>you fall prone and observing creatures must succeed<br>at a Knowledge (religion) or Perception check with a<br>DC equal to your check’s result to realize that you are<br>not fully dead.	It takes a move action for an undead creature to appear fully dead using the Bluff or Knowledge (religion) skills.		Lords of the Night (page does not exist)	https://metzo.miraheze.org/wiki/Imitate_Corpse
Impossible Expertise	General	other	Elemental impossibility class feature.	Whenever you would gain an infusion of your choice, you can instead choose to gain an impossible infusion, as per the elemental impossibility class feature. In addition, when you enter a state of elemental impossibility, increase the duration of this state by an additional number of rounds equal to your Constitution modifier.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Impossible_Expertise
Impossible Expertise, Greater	General	other	Impossible Expertise, elemental impossibility class feature, kineticist 13th.	Once per day, you can choose to enter a state of enhanced elemental impossibility. This functions in all ways as elemental impossibility, except you must accept 2 points of burn when entering this state, and you gain a +1 bonus to attack rolls and a +2 bonus to damage rolls on kinetic blasts used during this state for each infusion applied to them that is not normally associated with the blast.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Impossible_Expertise,_Greater
Improved Channel Resistance	General	other	Undead type	Your channel resistance increases by +4<br>(even if you didn’t have channel resistance).		You may take this feat multiple times. Its<br>effects stack.	Lords of the Night (page does not exist)	https://metzo.miraheze.org/wiki/Improved_Channel_Resistance
Improved Counterscript	General	rune_magic		When counterscripting, you may use a script of the same design that is one or more levels higher than the target script.	Without this feat, you may counter a script only with the same script.		Paths of Magic	https://metzo.miraheze.org/wiki/Improved_Counterscript
Improved Elemental Counterspell	General	other	Two simple blasts from two different elements, expanded element class feature, kinetic blast class feature.	You can use a readied kinetic blast to counterspell any spell of equal or lower level, provided that the target spell has any of the following descriptors: air, cold, darkness, earth, electricity, fire, force, light, or water.	A readied kinetic blast can be used to counterspell spells that share its descriptor.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Improved_Elemental_Counterspell
Improved Implantation	General	other		Your constitution and intelligence scores are both treated as 4 higher for the purpose of the maximum implantation value of cybertech within your system.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Improved_Implantation
Improved Rune Strike	Combat	rune_magic	Able to cast runic scripts, Rune Strike	When you use your Rune Strike feat, you can spend 1 or more runic charges. For each charge spent, the benefits of Rune Strike last for 1 additional round without needing to use swift actions to activate it. Furthermore, depending on the charge you used, you can grant your weapon an extra bonus, as follows:			Paths of Magic	https://metzo.miraheze.org/wiki/Improved_Rune_Strike
Improved Runebound Equipment	General	rune_magic	Able to cast runic scripts, Craft 7 Ranks, Runebound Equipment	Any object that has one of your runes scribed onto it gains an additional 10 hit points. If an object has your runic charges on it, it gains a +1 bonus to all saving throws against effects per charge upon it and is considered a masterwork item, if applicable.			Paths of Magic	https://metzo.miraheze.org/wiki/Improved_Runebound_Equipment
Improved Veil of Nature	General	akashic	Veilweaver level 7th, veil of nature class feature.	Choose one veil from any list. This cannot be a Title, a veil that creates a manufactured weapon, or a veil that can only be shaped in a class-specific slot (such as Ring or Storm). That veil is added to your list of choices for your veil of nature class feature. Each time you gain a new level, you may change the veil this feat grants.				https://metzo.miraheze.org/wiki/Improved_Veil_of_Nature
Ingenious Craftsman	Item Creation	other	Master Craftsman, Technologist	When crafting a magical item, you may choose to have it draw its powers from a technological source, or vice versa. A magic item made technological is not affected by anything that would inhibit magic (such as antimagic fields or mage’s disjunction) but becomes vulnerable to effects that alter technology (such as discharge or antitech field). Likewise, technological items that are built as magic are not subject to effects that affect technology but are subject to spells that alter magic. In addition, the following item creation feats may be used to craft items which require the other as a prerequisite.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Ingenious_Craftsman
Innate Binding	General	other	Avead, innate veil racial trait, sufficiently high character level.	You gain the ability to treat your innate veil as bound to its chakra slot.		Your must have a sufficiently high character level to select this feat based on the chakra slot of your innate veil, as per the following:		https://metzo.miraheze.org/wiki/Innate_Binding
Intensify Script (Metascript)	General	rune_magic		An intensified script increases the maximum number of damage dice by 5 levels. You must actually have sufficient caster levels to surpass the maximum in order to benefit from this feat. No other variables of the script are affected, and scripts that inflict damage that is not modified by caster level are not affected by this feat			Paths of Magic	https://metzo.miraheze.org/wiki/Intensify_Script_(Metascript)
Item Creation Feats	Item Creation	other						https://metzo.miraheze.org/wiki/Item_Creation_Feats
Kinetic Acceleration	General	other	Character level 7th.	Whenever you are affected by a haste spell or effect, increase the attack bonus, Reflex save, and dodge bonus it provides by +1 each. In addition, if you possess the gather energy class feature and use it while affected by haste, you can increase the reduction of a blast’s burn by an additional 1.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Acceleration
Kinetic Barbs	General	other	Kinetic lancer 11th.	Whenever you impale a creature with your impaling crash ability, when the creature successfully removes the spear, they must succeed a Fortitude save (DC 10 + 1/2 your kinetic lancer level + your Constitution modifier) or become sickened for a number of rounds equal to your Constitution modifier. If the creature fails this save by 5 or more, they also take bleed damage equal to your Constitution modifier.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Barbs
Kinetic Channeling	General	other	Kinetic chirurgeon 4th	You gain the supernatural ability to channel positive energy as a cleric of your kineticist level by accepting 2 points of burn, which can be reduced through healing buffer. You cannot apply mercies or metahealing to it. This feat counts as the channel energy class feature for the purpose of meeting the prerequisites for feats.		If you take the Elemental Channel feat, you can only select an element you have through your elemental focus or expanded element class features unless you can channel energy through another source (such as having levels as a cleric). If you possess the negative blast or void healer wild talent, you can choose to channel negative energy instead of positive when selecting this feat.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Channeling
Kinetic Channeling, Improved	General	other	Kinetic Channeling (positive)	You can apply a mercy and a metahealer ability to kinetic channeling when using it to heal.		When applying the ability to use kinetic healer as a swift action, you instead use kinetic channel as a swift action. You cannot apply the ability to cause kinetic healer to affect both you and another target simultaneously to kinetic channeling.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Channeling,_Improved
Kinetic Clutches	Combat	other	Kinetic Pin , Kinetic Proficiency .	When using an infusion which is part of an attack, charge, or full-attack action (such as kinetic blade), your blast is considered to have the grappling weapon quality. You do not become grappled when making a grapple with this attack, and consider your weapon reach to be 30 feet for maintaining grapples initiated with your blast’s grappling quality, but cannot use kinetic blasts except for those made through Kinetic Pin without ending the grapple.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Clutches
Kinetic Coils	Combat	other	Kinetic Clutches , Greater Grapple.	When attempting to tie up a creature you’ve grappled with a kinetic blast, you can use fragments of lingering elemental energy or matter from a simple blast to do so. Treat this binding as a bloodvine rope, except it deals 1/4 your simple blast’s damage of the same damage type as the blast it manifested from whenever the bound creature fails an Escape Artist or Strength check to escape it (for example, a 12th level kineticist’s kinetic coils made with a magma blast would deal 1/4 of 6d6 damage, half bludgeoning and half fire). You can attempt to tie up a grappled or pinned creature not adjacent to you in this way, but do so at a -1 penalty per 5 feet of distance they are from you. Bindings created through kinetic coils vanish after 8 hours if not broken before then.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Coils
Kinetic Combo	Combat	other	Any simple blast.	If you hit a creature with your kinetic blast, until the end of your next turn, that creature takes a -1 penalty to saving throws against any utility wild talents you use that share the same element as the blast and a -2 penalty to saving throws against any utility wild talent with a different element from the blast.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Combo
Kinetic Counter	General	other	Cold blast, fire blast, or water blast.	You can ready an action to use your blast to counter an opponent’s elemental abilities. If you ready a fire blast, you can counter any spell or activated extraordinary, supernatural, or spell-like ability that has the water or ice descriptor, and if you ready a cold or water blast, you can counter any spell or activated extraordinary, supernatural, or spell-like ability that has the fire descriptor. In order to successfully counter the effect, you must succeed at a caster level check with a DC equal to either 11 + the opponent’s caster level (for spells and spell-like abilities) or 11 + the opponent’s Hit Dice (for extraordinary and supernatural abilities). Against spells and spell-like abilities, treat a success as if you had counterspelled the effect using dispel magic. Against activated supernatural and extraordinary abilities, a successful kinetic counter negates the ability’s effect entirely while still expending the ability. For example, if a pyrokineticist succeeds at their caster level check against a white dragon’s breath weapon, they negate the breath weapon’s effect in the entire area, and the dragon must wait 1d4 rounds to use its breath weapon again.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Counter
Kinetic Crafting	General	other	Kineticist level 3rd.	When crafting a magic item or taking item creation feats, you can treat your kineticist level as your caster level. In addition, you can treat any wild talent you have as a spell of the same level or lower for the purpose of fulfilling the requirements for magic item creation (except spell-completion and spell-trigger items). This wild talent must be associated with the same element or deal the same type of energy damage as the emulated spell’s descriptor.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Crafting
Kinetic Disruption	General	other	Kinetic blast class feature.	Energy blasts can be readied to counterspell any evocation spell of their effective spell level or lower, and physical blasts can be readied to counterspell any conjuration (creation) spell of their effective spell level or lower.		Mind-element blasts can be readied to counter enchantment [mind-affecting] spells rather than evocation. Viscera-element blasts can be readied to counter transmutation (polymorph) spells in addition to conjuration (creation) spells. Darklight and negative blasts can counterspell necromancy spells rather than evocation. Telekinetic blast can counterspell transmutation and conjuration (teleportation) spells rather than conjuration (creation).	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Disruption
Kinetic Harpoon	General	other	Impaling crash class ability.	Whenever you impale a creature with your impaling crash ability, that creature becomes entangled for the duration of their impalement. They must also attempt a Reflex save (DC 10 + 1/2 your kineticist level + your Constitution modifier) to avoid having elemental matter spear them in place, reducing all movement speeds they possess to 0 feet. Either way, a successful Strength check to remove the spear ends the entangled condition and the reduced movement speed			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Harpoon
Kinetic Invocation	General	other	Kineticist 1st, elemental focus class feature.	For each kineticist element to which you have access, you treat all spells associated with that element (see below) as utility wild talents of the listed level, which you can select as normal. Each has a burn cost of 1 unless otherwise noted, and any non-permanent, non-instantaneous effects end when your burn is removed. Using this wild talent is considered psychic spellcasting (except for the purpose of prerequisites), and you must provide emotion and thought components, as well as material components where appropriate. In addition, some spells are restricted to certain races. Your caster level for a spell is equal to your kineticist level, and the save DC for any spell is equal to 10 + the listed level of the spell + your Constitution modifier. At the GM’s discretion, other appropriate spells can be added to each element’s list.		Kineticists with the air affinity, earth affinity, fire affinity, or water affinity racial traits or the air, earth, fire, or water subtypes can select spells of the appropriate element as if they had this feat. Drow kineticists can select spells of the poison element as if they had this feat. Caligni and dhampir kineticists can select spells of the void element as if they had this feat. Gathlain and ghoran kineticists can select spells of the wood element as if they had this feat. Such a character must still have access to the appropriate element to select spells this way. At the GM’s discretion, this benefit can be expanded to other races.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Invocation
Kinetic Leap	General	other	Acrobatics 3, kinetic blast class feature.	Once per day as a swift action, you can conjure a burst of energy from your kinetic blast to help you jump a long distance, adding a +10 bonus on your Acrobatics check to jump; if you have at least 10 ranks in Acrobatics, the bonus increases to +20. By accepting 1 point of burn, you can use this ability at will until your burn is removed.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Leap
Kinetic Pin	Combat	other	Kinetic blast class feature, Improved Grapple.	Whenever you would deal damage with a grapple check, you can deal 1/2 of your simple kinetic blast damage instead, allowing a Reflex save at your blast’s DC for 1/4 damage. You can choose which of your simple blasts you use to determine the damage and its type.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Pin
Kinetic Pin, Improved	Combat	other	Kinetic blast class feature, Kinetic Pin.	Whenever you use your Kinetic Pin feat, you can also apply a substance infusion to it, accepting burn as if you were using it with a simple blast (this burn is reduced by infusion specialization).			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Pin,_Improved
Kinetic Prodigy	General	other	Kineticist 3rd.	You can consider yourself 1 kineticist level higher for the purposes of selecting infusion wild talents. In addition, any kinetic blast you use that is altered by an infusion gains a +1 bonus to damage. At 8th level, and again at 16th level, increase this bonus by 1. In any round in which you accept burn due to using an infusion, increase this bonus by 1.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Prodigy
Kinetic Proficiency	General	other	Devastating infusion, kinetic blade, or kinetic fist; Weapon Focus (kinetic blast).	You can use infusions which are normally used as part of an attack action as part of a coup de grace, disarm, sunder, or trip attempt.	You can only use these blasts as part of an attack action, full-attack action, or charge.		Kineticists of Porphyra III (page does not exist)	https://metzo.miraheze.org/wiki/Kinetic_Proficiency
Kinetic Proficiency, Defensive	General	other	Kinetic Proficiency , Defensive Combat Training.	When you ready an infusion which can be used as part of an attack action (such as devastating infusion or kinetic blade), the attack has the blocking and bracing weapon qualities. When this infusion is readied against a charge, you can make one 5-foot step as a free action when it is triggered.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Proficiency,_Defensive
Kinetic Proficiency, Improved	General	other	Kinetic Proficiency	When you attack with an infusion which can be used as part of an attack action (such as devastating infusion or kinetic blade), the attack has the deadly, disarm, distracting, sunder, and trip weapon qualities.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Proficiency,_Improved
Kinetic Railgun	General	other	Excessive blaster class feature.	Whenever you are affected by a haste spell or effect, you can fire 1 additional blast while using your onslaught blast. In addition, when you use your focused blaster ability while affected by haste spell or effect, you can reduce the cost of a blast’s burn by an additional 1 point of burn.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Railgun
Kinetic Remnants	General	other	Kinetic bomb infusion or shatterstorm blast.	Any squares affected by your kinetic bomb or improved kinetic bomb infusions are treated as containing caltrops composed of whatever the blast was composed of for 1d4 rounds, except the caltrops deal damage equal to the minimum damage of the blast and of the same type(s) as the blast, and are treated as having a BAB equal to your own. In addition, your kinetic bomb and improved kinetic bomb infusions are always treated as splash weapons even if they do not hit a foe (dealing its splash damage to squares surrounding the space it lands in).			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Remnants
Kinetic Sniper	General	other	Kinetic blast class feature, extended range infusion, Precise Shot.	Your extended range form infusion doesn’t count against the normal limit of 1 form infusion per kinetic blast. It does not affect blasts used as part of an attack, charge, or full-attack action or any blast with a cone, line, or emanation area of effect.	You can only apply 1 form infusion to a blast.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Sniper
Kinetic Training	General	other	Wild talents or infusions class feature.	You can select infusions and utility wild talents as if your level in the class which provides them was 4 higher, to a maximum effective class level equal to your character level. This benefit applies equally to all classes which provide you with infusions or utility wild talents.		Elemental scions with the focused ability and kineticists with brutal mutation increase their maximum effective kineticist level to their character level +2. This effect does not stack for elemental scions with the brutal mutation.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Kinetic_Training
Komodo's Bite	Combat	other	Kineticist 1st, acid blast, bite attack.	Your bite attacks deal 1 point of acid damage in addition to their normal damage. Living creatures you bite must succeed a Fortitude save (DC equal to your acid blast’s DC) or be sickened for a number of rounds equal to 1 + your Con modifier (minimum 1 round). This is a poison effect.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Komodo%27s_Bite
Kumiho Huntress	Combat	other	Kumiho kitsune, rage powers class<br>feature, base attack bonus +5.	You gain the Bloody Fist rage power, even if<br>you do not meet its prerequisites or aren’t a barbarian.<br>You can use it one additional time per rage.			Bloodforge Infusions: Feathers & Fur (page does not exist)	https://metzo.miraheze.org/wiki/Kumiho_Huntress
Lighting Swap	Combat	path_of_war	Quick Draw, Dex 15, base attack bonus +5.	You may draw or put away a weapon as a<br>free action. You cannot make more weapon swaps per<br>round than your Dexterity modifier. You also gain a<br>+2 bonus to CMD to resist attempts to be disarmed due<br>to your fast hands and reflexes.			Path of War	https://metzo.miraheze.org/wiki/Lighting_Swap
Liver-Eater	Combat	other	Kumiho kitsune, bloody fist rage power<br>(see the next page), base attack bonus +7.	The base critical range of your claws increases<br>to 18-20/x2. Unlike most effects that increase critical<br>range, this stacks with Improved Critical and similar<br>abilities, and is applied before such effects. Whenever<br>you use your bloody fist rage power, you can eat the<br>organ you rip out as a free action, gaining temporary hit<br>points equal to your character level that last for one day<br>or until used. These temporary hit points stack with other<br>temporary hit points as normal, but not with successive<br>uses of this feat (only the highest total applies).			Bloodforge Infusions: Feathers & Fur (page does not exist)	https://metzo.miraheze.org/wiki/Liver-Eater
Magic of the Fey	General	other	Feykith subtype, Cha 15.	Choose a 0th level spell. You may cast this spell once per day as a caster equal to your character level. The DC (if any) is 10 + Charisma modifier.		You may take this feat multiple times, each time choosing a different 0th level spell.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Magic_of_the_Fey
Martial Astrologist	General	akashic	Ability to initiate maneuvers, ability to manifest a weapon Constellation with an associated discipline.	You may manifest your weapon constellations as any weapon from the associated weapon group of their associated discipline. You may not manifest a constellation as a natural weapon. If you manifest it as an unarmed strike, it appears as a set of masterwork handwraps that grant the wielder Improved Unarmed Strike.				https://metzo.miraheze.org/wiki/Martial_Astrologist
Mass Branding	General	akashic	Ability to shape at least two veils with the brand descriptor, veilweaving level 7	You can apply two of your brands to two separate creatures in range as a full round action.		This feat can be selected an additional time at veilweaving level 13 and 19, allowing you to apply an additional brand with each use of this ability.		https://metzo.miraheze.org/wiki/Mass_Branding
Master Chef	General	akashic		You gain the ability to bind the Chef's Armory veil. This does not grant you the ability to bind other veils to the hand slot, and any abilities that you would gain from being able to bind to the hand slot do not function (Unless you have another way to bind to the hand chakra).			April Augmented: 2018	https://metzo.miraheze.org/wiki/Master_Chef
Maximize Script (Metascript)	General	rune_magic	Able to cast 3rd-level runic scripts, scribe level 5th	All variable, numeric effects of a script modified by this feat are maximized. Saving throws and opposed rolls are not affected, nor are scripts without random variables.			Paths of Magic	https://metzo.miraheze.org/wiki/Maximize_Script_(Metascript)
