name	discipline	descriptors	display	manifesting_time	range	target_area_effect	duration	saving_throw	power_resistance	power_points	description	augment	special	mythic	source	url
Corpsewalk	Athanatism	None	Auditory	1 standard action	Close (25 ft. + 5 ft./level)	Target: One mindless undead	1 min./level (D)	Will negates	Yes	3	The lurching and uncoordinated movements of a nearby monster suddenly take a controlled and purposeful smoothness. When you manifest corpsewalk, you temporarily gain the ability to inhabit the body of a mindless undead creature such as a skeleton or zombie. Your body becomes limp and unresponsive while your consciousness is riding in its temporary host. You remain aware of events around your body and you may return to it by dismissing corpsewalk (a standard action).<br><br>While you inhabit an undead husk, it is unable to act in any way. You control its body and may use it as you wish, making slam attacks, moving, or using whatever equipment you can place its hands upon.<br><br>You gain whatever senses your undead host possesses and the body retains any defensive or passive abilities (such as Damage Reduction) it has which do not require activation. Otherwise, you do not gain control of any supernatural, or psi-like abilities the creature has, nor do you gain access to any feats it possesses. You are able to use feats and skills you know as long as they are appropriate to the body you are occupying.<br><br>You may make Disguise or Bluff checks to attempt to disguise yourself but a mindless undead typically moves with a gait that is distinctive and unnatural, meaning you are likely to be spotted as unusual while in motion.<br><br>If your undead host body is destroyed while you occupy it, corpsewalk immediately ends. During this power, you are merely linking to the undead body and your soul remains within your own, so if your host body is within a negative energy effect such as channel negative energy, the body heals and you suffer no ill effect.	Augment: For every additional two power points you spend manifesting this power, you gain the ability to manifest one psionic power while you are controlling the undead body and the DC for this power increases by one.		Mythic Corpsewalk<br><br>You may attempt to take over the bodies of intelligent undead, but doing so reduces the duration of this power to one round per level.	Psionics Augmented: Powers, pg. 8<br>Psionics Augmented: Compilation II, pg. 68	https://metzo.miraheze.org/wiki/Corpsewalk
Correspond	Telepathy	Mind-affecting	Mental	10 minutes	See text	Target: One creature with an Intelligence score of 3 or higher	1 round/level	None	No	7	You forge a passive mental link with a creature with which you have previously had physical or mental contact. The subject need not be within sight or even on the same plane as you are. The subject recognizes you, and you can mentally communicate with it for the duration (though nothing forces the subject to respond to you), exchanging messages of twenty-five words or less once per round. Receiving a message is not an action and does not provoke attacks of opportunity; however, sending a message is equivalent to a standard action that can provoke attacks of opportunity. You do not need line of sight or line of effect to use this power.	Augment: If you spend an additional 4 power points, the power's duration increases to 10 minutes/level.		Mythic Correspond<br><br>You can communicate with an additional number of creatures equal to your tier and can choose whether or not those can communicate through you with the other creatures affected by mythic correspond.	Psionics Unleashed, pgs. 90–91<br>Ultimate Psionics, pg. 177<br>Psionics Augmented: Mythic Psionics, pg. 34	https://metzo.miraheze.org/wiki/Correspond
Corrosive Aura	Psychometabolism	Acid	Material, Visual	1 standard action	5 ft.	Area: All squares adjacent to you	1 round / level (D)	Reflex half	Yes	1	You surround yourself with a corrosive aura, damaging all who come near. Each creature that ends its turn in your square or adjacent to you takes 1d6 points of acid damage.	Augment: For every additional power point spent, the damage increases by 1d6. For every two additional dice of damage, the save DC increases by 1.		Mythic Corrosive Aura<br><br>Creatures that suffer the acid damage from mythic corrosive aura suffer half that damage on subsequent rounds for the duration of the effect.<br><br>Augmented: If you expend one use of mythic power, you can exclude creatures from the aura as a swift action at the beginning of your turn.<br><br>Augmented (3rd): If you expend one use of mythic power, you double the radius of the effect.	Psionics Expanded: Master the Battle, pg. 24<br>Psionics Expanded, pg. 153<br>Ultimate Psionics, pg. 177<br>Psionics Augmented: Mythic Psionics, pg. 34	https://metzo.miraheze.org/wiki/Corrosive_Aura
Cosmic Awareness	Clairsentience	None	Visual	1 standard action	Personal	Target: You	1 minute/level or until discharged	None	No	Cryptic 11, psion/wilder 13, tactician 13	You gain a sixth sense. Once during the power's duration, you may choose to use its effect. This grants you an insight bonus equal to your manifester level (maximum +25) on any single attack roll, combat maneuver check, opposed ability or skill check, or saving throw. Alternatively, you can apply the insight bonus to your AC against a single attack (even if flat-footed). Activating the effect doesn't take an action; you can even activate it on another character's turn. You must choose to use the cosmic awareness before you make the roll it is to modify, or before the attack roll if applying the bonus to your AC. Once used, the power ends. You can't have more than one cosmic awareness active on you at the same time.	Augment: By spending 2 additional power points, this power's duration increases to "1 hour/level or until discharged".		Mythic Cosmic Awareness<br><br>You can activate your insight bonus a number of times equal to one-half your mythic tier. Each time you activate the mythic cosmic awareness, the bonus is reduced by 50% from the previous bonus.	Psionics Unleashed, pg. 91<br>Ultimate Psionics, pg. 177<br>Psionics Augmented: Mythic Psionics, pg. 34	https://metzo.miraheze.org/wiki/Cosmic_Awareness
Cosmic Perspective	Clairsentience (Scrying)	None	Auditory, visual	1 standard action	See text	Effect: Psionic sensor	1 hour/level	None	No	13	This power functions as clairvoyant sense, save that supernaturally enhanced senses operate through the psionic sensor and the sensor is capable of moving at a speed of 60 feet per round.<br><br>In addition, the sensor gains the ability to fly at phenomenal speeds, able to move between two planets within a solar system in 1d4 minutes and beyond that in 1d4 hours. The locations the sensor moves to need not be familiar ones, and this power is often used to explore uncharted territory throughout the universe.<br><br>Augment<br><br>If you spend 4 additional power points, you may manifest powers through the cosmic perspective as if you were in the sensor's location.				Arcforge: Technology Expanded, pg. 60<br>Arcforge Players Compendium, pg. 241	https://metzo.miraheze.org/wiki/Cosmic_Perspective
Create Sound	Metacreativity (Creation)	Sonic	Auditory; see text	1 standard action	Close (25 ft. + 5 ft./2 levels)	Effect: Sounds; see text	1 round/level (D)	None	No	Psionic focus or 1	You create a volume of sound that rises, recedes, approaches, or remains at a fixed place. You choose what type of sound the power creates when manifesting it and cannot thereafter change its basic character.<br><br>The volume of sound created, however, depends on your level. You can produce as much noise as four normal humans per manifester level (maximum twenty humans). Thus, talking, singing, shouting, walking, marching, or running sounds can be created. The noise produced can be virtually any type of sound within the volume limit. A horde of rats running and squeaking is about the same volume as eight humans running and shouting. A roaring lion is equal to the noise from sixteen humans, while a roaring dire lion is equal to the noise from twenty humans.<br><br>If you wish to create a specific message, up to twenty-five words can be created, and those words repeat over and over until the duration expires or the power is dismissed. If you attempt to exactly duplicate the voice of a specific individual or an inherently terrifying sound (such as a dragon's roar), you must succeed on a Bluff check with a +2 circumstance bonus opposed by the listener's Sense Motive check to avoid arousing suspicion.<br><br>Create sound can be used to bring sounds into existence that you later manipulate by manifesting control sound.<br><br>Librarian Note: This had a 1st-level power version in Psionics Unleashed, however the only difference is that it was a 1st-level psion/wilder power.				Psionics Unleashed, pg. 91<br>Ultimate Psionics, pgs. 177–178	https://metzo.miraheze.org/wiki/Create_Sound
Crisis of Breath, Kozak's	Telepathy (Compulsion)	Mind-affecting	Auditory	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One breathing humanoid	1 round/level	Will negates, Fortitude partial; see text;	Yes	5	You compel the subject to purge its entire store of air in one explosive exhalation, and thereby disrupt the subject's autonomic breathing cycle. The subject's lungs do not automatically function again while the power's duration lasts.<br><br>If the target succeeds on a Will save when crisis of breath is manifested, it is unaffected by this power. If it fails its Will save, it can still continue to breathe by taking a standard action in each round to gasp for breath.<br><br>An affected creature can attempt to take actions normally (instead of consciously controlling its breathing), but each round it does so, beginning in the round when it failed its Will save, the subject risks blacking out from lack of oxygen. It must succeed on a Fortitude save at the end of any of its turns in which it did not consciously take a breath. The DC of this save increases by 1 in every consecutive round after the first one that goes by without a breath; the DC drops back to its original value if the subject spends an action to take a breath.<br><br>If a subject fails a Fortitude save, it is disabled (0 hp). In the following round, it drops to –1 hit points and is dying. Curing powers or spells can revive a dying subject normally, so long as this power's duration has expired; if the power is still in effect, a revived creature is still subject to Fortitude saves in each round when it does not consciously breathe.	Augment: You can augment this power in one or more of the following ways.<br><br>• If you spend 2 additional power points, this power can also affect an animal, fey, magical beast, or monstrous humanoid.<br><br>• If you spend 4 additional power points, this power can also affect an aberration, dragon, elemental, or outsider in addition to the creature types mentioned above.<br><br>• If you spend 6 additional power points, this power can affect up to four creatures all within a 20-ft.-radius burst.<br><br>In addition, for every 2 additional power points you spend to achieve any of these effects, this power's save DC increases by 1.		Mythic Crisis of Breath, Kozak's<br><br>Continuing to breathe requires a full-round action instead of a standard action.<br><br>Augmented (5th): If you expend three uses of mythic power, the target must make a successful save each round it attempts to continue to breathe. Failing the save means the attempt to breathe failed and the action is wasted.	Psionics Unleashed, pg. 91<br>Ultimate Psionics, pg. 178<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Crisis_of_Breath,_Kozak%27s
Crisis of Life	Telepathy	Death<br>Mind-affecting	Mental	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One creature	Instantaneous	Fortitude partial; see text	Yes	13	You interrupt the subject's autonomic heart rhythm, killing it instantly on a failed saving throw if it has 11 Hit Dice or less. If the target makes its saving throw or has more than 11 Hit Dice, it takes 7d6 points of damage.	Augment: For every additional power point you spend, this power can kill a subject that has Hit Dice equal to 11 + the number of additional points. For every two additional points spent, the power's save DC increases by 1.		Mythic Crisis of Life<br><br>Non-mythic creatures with Hit Dice less than half your manifester level do not get a Fortitude save.<br><br>Augmented: If you expend one use of mythic power, creatures suffer 7d10 points of damage on a successful save.	Psionics Unleashed, pg. 92<br>Ultimate Psionics, pg. 178<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Crisis_of_Life
Crystal Bulwark	Metacreativity (Creation)	None	Auditory and material	1 standard action	10 ft.	Target: 1 crystal shield 25 ft. wide	1 round/ level	None	No	1	You draw crystal from your form and extrude it into a massive mobile shield wall to your left and right two adjacent squares, including your own. While bearing the bulwark you can only move a maximum of two squares per round. The bulwark provides full cover for you and those behind it.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional 4 power points you spend, the bulwark grows a new row 5 feet vertically, and 5 feet to the left and right.<br><br>• By spending at least 5 power points on this power, you gain the ability to dismiss it as an immediate action to create a semi-dome shaped barrier of crystal extending in a cone shape backward as if the line of squares the bulwark is in is the end of the cone. This use of the power results in the dome crumbling to dust at the end of the round in which it was activated in this manner.			Species Archive, Pathfinder Compatible: The Kulvix, pgs. 41–42	https://metzo.miraheze.org/wiki/Crystal_Bulwark
Crystal Fist	Metacreativity (Creation)	None	Auditory and material	1 standard action	10 ft.	Target: one 10-foot line of difficult and damaging terrain	1 round/ level	Reflex half	No	1	You slam your fist into the ground causing crystals to grow up in a line in front of you creating difficult terrain in the line. Creatures within the line take 1d6 points of piercing damage as the crystals jut forth.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional power point you spend, the damage is increased by 1d6.<br><br>• For every additional 3 power points you spend on this power, the range is increased by 5-feet.<br><br>• By spending at least 13 power points on this power, the duration of the difficult terrain become permanent.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 42	https://metzo.miraheze.org/wiki/Crystal_Fist
Crystal Light	Psychokinesis	Light	Visual and material	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One crystalline creature or object	1 min./level (D) or Instantaneous; see text	Will negates (object) or Fortitude negates; see text	Yes	Psionic focus or 1	Upon manifesting this power, you cause one crystalline creature or object (glass, crystal, gem, psicrystal, astral construct, etc.) to glow in one of two ways. You can cause it to glow with a steady light equivalent to a torch, in which case the duration lasts up to 1 minute per manifester level. Alternately, you can cause it to flash brightly once, causing one creature of your choice in that square or immediately adjacent to be dazzled for 1 minute unless it makes a successful Fortitude save. Crystalline creatures or objects which are targeted to glow are allowed a Will save to negate the power completely; if such is also the target of a dazzling flash, the creature being dazzled is also allowed a Fortitude save to avoid being dazzled.				Psionics Expanded: Unlimited Possibilities, pgs. 21–22<br>Psionics Expanded, pg. 153<br>Ultimate Psionics, pg. 178	https://metzo.miraheze.org/wiki/Crystal_Light
Crystal Shard	Metacreativity (Creation)	None	Auditory and material	1 standard action	Close (25 ft. + 5 ft./2 levels)	Effect: Ray	Instantaneous	None	No	1	Upon manifesting this power, you propel a razor-sharp crystal shard at your target. You must succeed on a ranged touch attack with the ray to deal damage to a target. The ray deals 1d6 points of piercing damage.	Augment: You can augment this power in one of the following ways.<br><br>• For every additional power point you spend, this power's damage increases by 1d6 points.<br><br>• If you expend your psionic focus when manifesting this power, the cost of the power is reduced by 1 (to a minimum of 0), but the damage is reduced to 1d3 points of piercing damage and cannot be further augmented.		Mythic Crystal Shard<br><br>The damage dice increases to d10. If the target struck is adjacent to a wall, it becomes pinned to that wall. If adjacent to more than one wall, it is your choice to which wall it becomes pinned. The CMB of the crystal shard is equal to your manifester level plus your key ability modifier plus your tier.<br><br>Augmented (3rd): If you expend two uses of mythic power, you may target a number of creatures equal to your tier.	Psionics Unleashed, pg. 92<br>Ultimate Psionics, pg. 179<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Crystal_Shard
Crystal Tunneling	Metacreativity (Creation)	None	Auditory and material	2 full-round actions, see text	Medium (100 ft. + 10 ft./level), see text	Target: See Text<br>Effect: 1 harmcrys tunnel	Instantaneous	None	No	3	You cause the harmcrys in the two squares to begin rapidly growing toward each other in a tubular shape. If there are two 5ft squares composed of harmcrys in range, the two deposits of harmcrys begin growing toward each other forming a 5ft diameter tunnel. On the first round, you prime the square you are adjacent to be ready to grow and instantly know the locations of all suitable harmcrys within medium range (100 ft. + 10 ft/level). On a subsequent round, you designate a harmcrys location. Each of these two designation rounds is treated as if the spell only had a one round casting time for the purposes of Concentration checks and similar damage in combat. Damage in rounds in between the two actions do not inhibit the manifesting. Power points are deducted from your power point pool on the first part of the activation. If a location is not designated within 10 rounds the power points are still lost, but the power has no effect. For the tunnel to form it must be solidly supported on all sides by existing stone, dirt, or earthen material.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional 4 power points you spend, creatures increase their speed while traveling through the tunnel by 30 feet. Regardless of how many power points are spent, this effect only lasts the first 24 hours the tunnel has been crafted.<br><br>• By spending at least 13 power points on this power, you can collapse it as a full-round action while touching it.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 42	https://metzo.miraheze.org/wiki/Crystal_Tunneling
Crystalize Blood	Psychometabolism	None	Material	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: 1 creature	Instantaneous (see text)	Fortitude half (see text)	Yes	9	You solidify your target's blood, causing it damage. This power deals 6d6 damage to your target. If it was bleeding before applying this effect, double the damage dealt. The target starts suffering 1d6 points of bleeding damage per turn until it is healed if it was not bleeding before. A successful saving throw against this power reduces the damage dealt by half and prevents the bleeding effect. Crystalize blood has no effect on creatures who don't have blood or a similar substance.	Augment For every additional 2 power points you spend, this power deals 1d6 additional damage (2d6 on a bleeding target) and raises its save DC by 1.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 43	https://metzo.miraheze.org/wiki/Crystalize_Blood
Crystalline Aura, Kyria's	Metacreativity	None	Material	1 standard action	Personal	Target: You	1 round/level	None	No	7	You create a cloud of whirling, razor-sharp crystals around yourself. When you manifest this power, choose defensive or offensive (you may alter this choice as a swift action). While this power is in defensive mode, the shards lock together to protect you from attacks; you gain a +3 shield bonus to AC, as well as a +3 competence bonus to Reflex saves. While this power is in offensive mode, creatures within a 10 ft. radius of you suffer 5d6 slashing damage at the beginning of each round (and whenever they voluntarily enter a space within 10 ft. of you) and must succeed at a Reflex save or suffer 2d6 bleed damage.	Augment: You may augment this power in one or both of the following ways:<br><br>• For every 2 additional power points you spend, the bonuses granted by the defensive mode increase by 1, and the damage of the offensive mode increases by 1 #ie (d6; this includes the bleed damage).<br><br>• For every 2 additional power points you spend, the area of the offensive mode increases by 5 ft.<br><br>Surge Augmentation: If you invoke your wild surge while manifesting this power, you may choose to manifest it in both defensive and offensive mode at the same time. If you do so, you may not switch its mode for this manifestation, and its duration is cut in half (rounded down).			Psionics Augmented: Wilders, pg. 14<br>Psionics Augmented: Compilation II, pgs. 75–76	https://metzo.miraheze.org/wiki/Crystalline_Aura,_Kyria%27s
Crystalline Bonds	Metacreativity (Creation)	None	Mental and visual	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One Medium or smaller creature	1 round/level (D)	Reflex negates	No	7	You create rope-like coils of crystal that encircle your foe, gagging and immobilizing him, dealing 3d6 points of damage and 1d6 points of damage every round thereafter, as the crystal tightens against the target.<br><br>A creature caught by the crystal can attempt purely mental actions, but must make a concentration check (DC 20 + half the continuous damage dealt) to manifest powers. The creature can attempt to break free by spending 1 round and making a DC 20 Strength or Escape Artist check. The bond can alternatively be cut to break the target free. The crystal has AC 5, hardness 12, and 30 hit points.	Augment: This power can be augmented in one or more of the following ways.<br><br>• For every 2 additional power points spent, this power can affect a target of one size category larger.<br><br>• For every 2 additional power points spent, the continuous damage increases by 1d6 points of damage.<br><br>In addition, for every 2 additional power points spent on either of the above options, the power's save DC and the DCs to break free increase by 1.		Mythic Crystalline Bonds<br><br>Add your tier to the damage dealt by the coils and the DC to break free.<br><br>Augmented: If you expend one use of mythic power, you add your tier to the hardness and AC of the bonds.	Psionics Expanded: Unlimited Possibilities, pg. 22<br>Psionics Expanded, pg. 154<br>Ultimate Psionics, pg. 179<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Crystalline_Bonds
Crystallize, Ruelle's	Metacreativity	None	Auditory	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One living creature	Permanent	Fortitude negates	Yes	11	You seed the subject's flesh with supersaturated crystal. In the blink of an eye, the subject's form seems to freeze over, as its flesh and fluids are instantly crystallized. Following the application of this power, the subject appears lifeless. In fact, it is not dead (though no life can be detected with powers or spells that detect such).<br><br>This power has a chance of being dispelled only by a manifester of a higher level than you when you manifested this power. When the power is dispelled, crystal melts back into flesh, and the subject is in exactly the state he was prior to being affected by crystallize.			Mythic Crystallize, Ruelle's<br><br>Non-mythic effects cannot negate the effect. You can end the effect as a standard action.<br><br>Augmented (5th): If you expend two uses of mythic power, you can target non-living creatures.	Psionics Unleashed, pg. 92<br>Ultimate Psionics, pg. 179<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Crystallize,_Ruelle%27s
Danger Sense	Clairsentience	None	Visual	1 standard action	Personal	Target: You	1 hour/level (D)	None	No	5	You can sense the presence of danger before your senses would normally allow it. Your intuitive sense alerts you to danger from traps, giving you a +4 insight bonus on Reflex saves to avoid traps and a +4 insight bonus to Armor Class against attacks by traps.	Augment: If you spend 3 additional power points, this power also gives you the uncanny dodge ability; if you spend 6 additional power points, this power gives you the improved uncanny dodge ability as well.		Mythic Danger Sense<br><br>The insight bonus is increased to +6.<br><br>Augmented (3rd): If you expend one use of mythic power, the insight bonus also applies during any surprise round in which you do not get to act.	Psionics Unleashed, pg. 92<br>Ultimate Psionics, pg. 179<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Danger_Sense
Dazzle	Psychometabolism	None	Visual	1 standard action	30 ft.	Target: One living creature	1 round	None	yes	Psionic focus or 1	You attempt to disrupt the vision of the targeted creature by making a ranged touch attack. If the attack is successful, the creature is dazzled until the beginning of your next turn.				Psionics Expanded: Hidden Intentions, pg. 34<br>Psionics Expanded, pg. 154<br>Ultimate Psionics, pg. 179	https://metzo.miraheze.org/wiki/Dazzle
Dazzling Swordplay	Psychokinesis	Trigger	Material, visual	1 swift action	Melee	Target: One creature	1 round; see text	None	Yes	1	Your next successful melee attack dazzles the struck creature.<br><br>Trigger: If your attack was successful and the struck creature moves or attacks before the end of its next turn, you can expend your psionic focus to blind it until the end of its current turn. The blindness takes effect at the beginning of the creature's action which caused the trigger.	Augment: If you spend 6 additional power points, you can instead manifest this power upon making a successful melee attack and have the effects of this power instead apply to that attack. Doing so still uses your swift action for the round.			Psionics Expanded: Master the Battle, pgs. 24–25<br>Psionics Expanded, pg. 154<br>Ultimate Psionics, pgs. 179–180	https://metzo.miraheze.org/wiki/Dazzling_Swordplay
Dead Hand	Athanatism	None	Material and olfactory	1 standard action	Personal	Target: You	1 min./level (D)	Will negates; see text	Yes	3	You bind a bit of the Ethereal Plane into your hand. You can interact with the Ethereal Plane as if one of your hands was also ethereal, but you cannot use that hand to manipulate the Material Plane. This means you cannot wield a two-handed weapon, and any shield, weapon, or item held in the ethereal hand can only affect the Ethereal Plane. If the item you are holding has the ghost touch special property, you can hold and wield it as normal. Any item dropped from the ethereal hand returns to the Material Plane at the end of your turn.<br><br>If you grapple a creature while this power is active, you may attempt to shunt it partially into the Ethereal Plane. If it fails a Will save, it counts as both ethereal and material and is shaken by the horrific sights it sees in the spirit realms. This lasts as long as you are grappling it or until this power expires, whichever happens first.	Augment: By spending 3 additional power points, you may manifest this power on one other hand. This hand may belong to you, or to another willing target. If both of your hands are ethereal, you may wield items and weapons as normal (albeit ethereally). If you use this augmented power on an ethereal creature, they instead gain one material hand.			Psionics Augmented: Seventh Path, pg. 27	https://metzo.miraheze.org/wiki/Dead_Hand
Deaden Attack	Metacreativity	None	Material	1 swift action	Close (25 ft. + 5 ft./2 levels)	Target: One weapon	1 round/level	Will negates; see text	Yes; see text	1	You coat a single manufactured weapon within range in a sheen of springy ectoplasm. The manufactured weapon deals nonlethal damage instead of lethal damage for the duration of the effect. Ranged weapons transmit this effect to ammunition fired.<br><br>If you attempt to manifest this power on an attended weapon not in your possession, the owner may attempt a Will save to resist the effect.				Psionics Expanded: Find the Mark, pg. 17<br>Psionics Expanded: Unlimited Possibilities, pg. 22<br>Psionics Expanded, pg. 154<br>Ultimate Psionics, pg. 180	https://metzo.miraheze.org/wiki/Deaden_Attack
Deadly Fear	Telepathy	Fear<br>Mind-affecting	Visual; see original text	One standard action	Medium (100 feet + 10 feet/level)	Target: One living creature	Instantaneous	Will disbelief (if interacted with), then Fortitude partial; see text	Yes	7	You create a mental image of the most fearsome creature imaginable to the subject simply by forming the fears of the subject's subconscious mind into something that its conscious mind can visualize: this most horrible beast. Only the power's subject can see the nightmarish beast. The target first gets a Will save to recognize the image as unreal. If that save fails, the beast touches the subject, and the subject must succeed on a Fortitude save or die from fear. Even if the Fortitude save is successful, the subject takes 3d6 points of damage.<br><br>If the subject of a deadly fear attack succeeds in disbelieving and possesses telepathy or is wearing a helm of telepathy, the effect can be turned upon you. You must then disbelieve it or become subject to the deadly fear attack.	Augment: For every 2 additional power points spent, both Difficulty Classes increase by 1. For every 5 additional power points spent, you can attempt to affect one additional creature. If affecting more than one creature, no two can be more than 30 feet apart.		Mythic Deadly Fear<br><br>If the target fails its Will save but succeeds at its Fortitude save, the fearsome beast persists in the target's mind, giving it the dazed condition until your next turn. On your next turn, the target must attempt another Fortitude save against the phantasm. Success means it takes 3d6 points of damage; failure means it dies from fear.<br><br>Augmented (6th): If you expend two uses of mythic power, the power can affect a living target that is immune to fear, illusions, or mind-affecting effects.	Psionics Expanded: Master the Battle, pg. 25<br>Psionics Expanded, pg. 155<br>Ultimate Psionics, pg. 180<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Deadly_Fear
Death Pact (power)	Athanatism	None	Mental and visual	10 minutes	Touch	Target: One willing, living creature	Permanent	None	No	11	You form a lasting bond with a willing creature, ensuring them eternal unlife even if death should claim them. All it costs them is their allegiance. When the target dies, they immediately become a ghost, applying the ghost template as normal. They only gain corrupting touch as a special attack, however. While the subject is affected by this power, they are friendly to you, share your motivations and goals, and are likely to follow any reasonable suggestions you make. You may not manifest this power on yourself.	Augment: You may augment this power in one of the following ways<br><br>• You may expend your psionic focus to instead have the target become a free-willed wraith after they die. This wraith retains its initial alignment. This augment may only be used if the target has 7 or more Hit Dice.<br><br>• You may spend an additional 2 power points and expend your psionic focus to instead have the target become a free-willed spectre after they die. This spectre retains its initial alignment. This augment may only be used if the target has 9 or more Hit Dice.<br><br>• You may spend an additional 6 power points and expend your psionic focus to instead have the target become a free-willed banshee after they die. This banshee retains its initial alignment. This augment may only be used if the target has 15 or more Hit Dice.<br><br>• You may spend an additional 2 power points and gain a permanent negative level to grant the target one additional ghost special attack of your choice.			Psionics Augmented: Seventh Path, pgs. 27–28	https://metzo.miraheze.org/wiki/Death_Pact_(power)
Death Urge, Blackstock's	Telepathy (Compulsion)	Mind-affecting	Mental	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One living creature	1 round	Will negates	Yes	7	You plant a hidden death-urge impulse in the subject's unconscious. On the subject's next turn, it looks for the quickest method to end its life and attempts to do so. The subject takes no other action on its turn except attempting to harm itself.<br><br>If armed, the subject attacks itself as a full-round action. The attack automatically succeeds and deals damage as a critical hit. If unarmed, the subject moves adjacent to the nearest enemy and provokes an attack of opportunity, offering its opponent an opening, which the opponent may or may not choose to take advantage of.<br><br>If the subject is unarmed and no enemy is nearby, the subject simply does nothing at all. A subject close to an immediate and lethal hazard such as a cliff or a fire might hurl itself off the cliff or into the fire instead of striking itself with a weapon.	Augment: For every 2 additional power points you spend, this power's save DC increases by 1. For every 2 point increase in the power's save DC, the duration increases by 1 round.		Mythic Death Urge, Blackstock's<br><br>If the subject is unarmed and no enemy is nearby, it will simply assault itself on the floor, ground, or any other hard surface, dealing damage as if making an unarmed strike that is a critical hit.<br><br>If the creature makes a successful saving throw, it instead suffers a -2 penalty to its Armor Class and saving throws as the impulse to die is not totally negated.	Psionics Unleashed, pgs. 92–93<br>Ultimate Psionics, pg. 180<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Death_Urge,_Blackstock%27s
Deathbond	Athanatism	None	Auditory	10 minutes	Touch	Target: One creature touched	1 day/level	Will negates	Yes	5	You form a connection with the target's soul, seeing their surroundings at the moment of their death. If the target dies while this power is active, you immediately know it, and can see the events of the previous round in its immediate area, including who and what killed it. This is treated as a scrying sensor, so you can still be fooled by disguises, invisibility, stealth, or other similar effects. In addition, in the round immediately following the target's death, you may manifest any single athanatism power that requires a newly dead body or spirit, targeting them regardless of distance or line of effect.	Augment: By spending an additional 4 power points, you may place a sensor identical to the one created by clairvoyant sense at the location where the target died. This sensor lasts for 1 minute/level.			Psionics Augmented: Seventh Path, pg. 27	https://metzo.miraheze.org/wiki/Deathbond
Deathless Form	Psychometabolism (Healing)	None	Visual, Material	1 standard action	Close (25 feet + 5 feet/level)	Target: 1 creature	1 round/level	Will negates (harmless)	Yes	7	You place the target in a state where death cannot reach it, the creature's body healing off the bare minimum of injuries needed to keep the target alive. While under the effects of this power, the target cannot be killed by hit point damage; the creature automatically stabilizes when below 0 hit points, and any damage that would kill the creature is negated. However, the creature does not heal nor regain consciousness; further healing is required in order to bring the creature back to positive hit points.	Augment:<br>If you spend 4 additional power points, you may use this power as an immediate action<br><br>If you spend 2 additional power points, you may also render the target immune to death from ability damage, ability drain, and death effects while they are affected by this power. Their ability scores still drop as normal and inhibit function when reduced to 0, but do not kill the creature.<br><br>If you spend 4 additional power points, the duration of this power extends to 1 minute/level			Terrors from the Id, pg. 16	https://metzo.miraheze.org/wiki/Deathless_Form
Deceleration	Psychoportation	None	Auditory and material	1 standard action	Close (25 ft. + 5 ft./level)	Target: One Medium or smaller creature	1 min./level	Reflex negates	Yes	1	You warp space around an individual, hindering the subject's ability to move. The subject's speed (in any movement mode it possesses) is halved. A subsequent manifestation of deceleration on the subject does not further decrease its speed.	Augment: For every 2 additional power points you spend, this power can affect a target one size category larger and this power's save DC increases by 1.		Mythic Deceleration<br><br>The target creature is staggered.<br><br>Augmented (3rd): If you expend one use of mythic power, the target creature is denied its Dexterity bonus to AC on a failed save. On a successful save, the target's speed is halved (round down to the next 5-foot increment).	Psionics Unleashed, pg. 93<br>Ultimate Psionics, pg. 180<br>Psionics Augmented: Mythic Psionics, pg. 35	https://metzo.miraheze.org/wiki/Deceleration
