name	slot	descriptors	effect	bind_effect	is_retold	source	url
Dancer's Curse	Feet	Brand	Branded creature must move each round or take a penalty to AC, CMD, and Reflex.	The branded creature takes damage if they do not move.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Guru_Veil_List
Dancer's Wraps	Feet	Enhanced	Create handwraps that imbue your unarmed strikes with kinetic energy.	Move before or after any unarmed strike, not just those made with an attack action.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dancing Glaive	Hands	Enhanced, Paired, Steady	Wield your glaive and move through the battlefield effortlessly.	Move a creature when you strike it.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Daring Archer's Goggles	Head, Headband	Variant	Utilize ranged attacks more effectively and safely in melee.	Head: Gain Snap Shot feat plus additional attacks of opportunity.<br>Headband: Grants Improved Snap Shot and increases base range of veil's effects to 10 feet.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dark Heart	Chest		Trade life for power.	Increase the capacity of your veils by 2.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dark Lord's Ring of Essence-Binding	Ring	Evil	Gain a zombie servant.	Raise corpse as a Cairn Wight.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Dark Lord's Ring of Essence-Binding (Retold)	Ring	Death			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Darkholds	Wrists	Conjuration	Store objects like a bag of holding.	Make Acrobatics or Stealth check to negate attack.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Darkness Dragon	Feet, Belt	Cold, Darkness	Gain bonuses to Acrobatics and Fly checks.	Feet: Conjure flying draconic mount.<br>Belt: Conjure flying draconic ally.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Darkwalker Hood	Head	Darkness	Gain bonuses to Perception and Sleight of Hand checks.	Deal additional damage in darkness & gain bonuses to identify creatures.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Darkwalker Hood (Retold)	Head, see text	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Deadshot's Baleful Gaze	Head	Divination, Variant				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Death Roll (veil)	Head, Shoulders	Dao, Enhanced, Fleshwarp, Paired				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Deathchannel Ring	Ring	Evil	Deal negative energy damage to nearby creatures.	Boost damage of burst.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Deathchannel Ring (Akasha Retold)	Ring	Death			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Deathgrip Gauntlets	Hands		Become fiercer as your life wanes.	You are not staggered below 0 HP		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Deck of the Fates	Belt	Acid, Cold, Divination, Electricity, Enhanced, Fire, Force, Sonic, Variant	Create a deck of harrow-themed cards that act as darts that deal energy damage based on their suit.	Your deck gains new cards that inflict various penalty effects.		Shards of Power	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Deck of the Four Seasons	Belt	Acid, Cold, Electricity, Enhanced, Fire, Force	Create a deck of season-themed cards that act as darts that deal energy damage based on their suit.	Your deck gains new cards that inflict various elemental effects.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Delver's Goggles	Headband		Gain bonuses to Perception and gain darkvision.	See in supernatural darkness.		Akashic Classes: Kheshig; Akashic Staples	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Demanding Mindspike	Headband	Brand, Mark, Mind-affecting				Akashic Archives	https://metzo.miraheze.org/wiki/Guru_Veil_List
Demon Lord's Hunger	Chest	Chaos	Manufactured weapons that strike you deal less damage and are damaged themselves.	Take souls to slay foes & recover essence burn.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Der Freischütz	Hands	Enhanced, Steady	Gain a rifle with 7 powerful shots.	Special bullets deal additional damage		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Dermal Plating	Body		Gain DR/Slashing.	Touch attacks instead target your normal AC, gain a deflection bonus to AC.		Arcforge: Psibertech	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Despoiling Presence	Headband	Corrupt				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Destruction Hammer	Hands	Enhanced	Destroy everything with this hammer.	Destroying objects or defeating foes restores burnt essence.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Devil King's Fiddle	Wrists	Enhanced, Paired	Summon a magic fiddle that impresses devils and acts as a weapon and shield.	Use summon backup band as an SLA.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Devil's Barbs	Chest		Creatures that strike you take damage.	Gain DR/Good & Silver, make barbs apply on every touch.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Devoted Champion's Spear	Hands, Wrists	Chaotic, Enhanced, Evil, Good, Lawful, Variant				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Devouring Maggots	Shoulders	Brand, Disease, Fleshwarp	Brand creature, it takes damage and is sickened.	Increase sickened duration, progress sickening to nausea.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Huay_Veil_List
Diadem of Pure Reflection	Head, Headband	Good	Gain bonus on saves vs blind, daze, and stunning effects.	Head: Reflect blind, daze, and stunning effects upon user.<br>Headband: Gain Head bind, redirect blind, stun & paralysis effects .		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Diadem of Pure Reflection (Akasha Retold)	Head, Headband	Good			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Diadem of Timeline Distortion	Headband	Time, Variant	Distort the flow of time around you.	Affect the duration of ongoing effects within the area of distorted time.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Guru_Veil_List
Diadem of the Dreamer	Head, Headband	Mind-affecting, Sleep	Gain bonuses to saves vs sleep and dream effects, become lucid and more powerful when dreaming	Head: Draw other creatures into your dreams<br>Headband: Gain Head bind effect, travel to the dreams of other creatures		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Guru_Veil_List
Dimensional Bridge	Wrists	Brand, Teleportation	Warp space to see and teleport between multiple branded creatures.	Count yourself among your branded creatures when determining where you can see and teleport to.		Expanded Akasha: Spirits and Magic	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Diplomat's Clip	Neck	Divination, Mind-affecting	You gain the ability to speak and understand other languages.	Gain tongues, improve attitude in target & spread bonuses to everyone.		Stormbound, Pathfinder Compatible; Akashic Staples	https://metzo.miraheze.org/wiki/Guru_Veil_List
Dire Bouquet	Body	Aroma, Poison				Species Archive: Flowerfolk & Fey	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Disk of Lifting	Feet, Belt	Force	Cast floating disk as an SLA.	Feet: Fly more than 5 feet above the ground while riding your disk.<br>Belt: Fly freely while riding your disk.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Disk of Lifting (Akasha Retold)	Feet, Belt	Force			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Disquieting Gaze	Head, Headband	Curse, Mind-affecting	Inflict many different kinds of curses.	Head: Creatures are forced to avert their gaze from you, your curses grow stronger.<br>Headband: Gain Head bind, creatures aversion to you grows stronger, inflict even more powerful curses.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Disquieting Gaze (Akasha Retold)	Head, Headband	Curse, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Disrupting Needles	Hands	Enhanced, Pain, Variant				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Distant Eye	Head, Headband	Fleshwarp				The Scribe's Archive	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Ditchdigger's Armlets	Wrists	Earth	Create earthen explosions.	Conjure extradimensional spiked pit.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Ditchdigger's Armlets (Retold)	Wrists	Earth			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Divine Arrow Indrastra	Hands, Shoulders	Enhanced, Water				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Divine Sanction	Head	Brand, Light, Mark				Akashic Archives	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Diving Talon, Flashing Fang	Wrists, Shoulders	Dao, Enhanced, Paired				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Djinni's Turban	Head	Air	Levitate yourself and other creatures or objects.	Gain flight & motion-based concealment.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Dogfighter's Third Eye	Interface		Gain dodge bonus to AC, move when avoiding attacks.	Gain blindsense.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Domineering Force	Head	Force, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Domino of the Roguish Scoundrel	Head, Headband	Variant	Designate a foe as your chosen rival and disguise your appearance.	Head: More quickly designate a rival and disguise yourself<br>Headband: Make it more difficult for anyone but your rival to harm you.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Draconic Ferocity	Shoulders, Belt, Body	Acid, Cold, Electricity, Fire, Polymorph	Take on a hybrid draconic form, with either two claws or a bite natural attack.	Shoulders: Your transformation now works as monstrous physique I and you gain both natural attacks.<br>Belt: Your transformation now works as monstrous physique III, and you gain form of the dragon I as an SLA.<br>Body: Your transformation now works as monstrous physique IV, and your draconic form now works as form of the dragon II.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Draconic Ferocity (Akasha Retold)	Shoulders, Belt, Body	Acid, Cold, Electricity, Fire, Polymorph			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dream Haunting	Neck	Curse, Fear, Mind-affecting, Phantasm				Akashic Horrors — Grisly Fates	https://metzo.miraheze.org/wiki/Guru_Veil_List
Dreamcatcher	Headband		Gain bonus to selected Knowledge skills.	Gain detect thoughts.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dreamcatcher (Retold)	Headband	Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dreamer's Shroud	Headband	Brand, Sleep				Eldritch Akasha — Dreams of the Void	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Dretch Flesh	Wrists	Chaos, Poison	Gain fire resistance and DR.	Deal strength poison when touched.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Drunkard's Sash	Belt		Gain temporary hit points from drinking.	Gain additional bonuses depending on drink.		April Augmented: 2017	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Drunken Immortal's Píng Jiǔ	Hands, Wrists	Enhanced, Ki, Poison				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Duelist's Edge	Hands, Wrists	Enhanced, Teleportation	Give up attacks to make parries later.	Hands: Parry attacks for allies, 5-foot when you parry.<br>Wrists: Gain Hands bind, teleport when you parry, parry anything.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Duelist's Pata	Hands, Wrists	Enhanced				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Dullahan's Whip	Hands, Wrists	Enhanced	Create a whip with a high critical range.	Hands: You do not provoke when attacking with the whip.<br>Wrists: Gain Hands bind, confirming a critical hit places a doom mark on the target.		Akashic Tales: Horrible Horsemen	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Duxandus's Icy Gaze	Headband	Cold	Gain bonuses vs emotion and fear, shoot ice beams from your eyes.	Entrap target in ice to entangle, paralyze & delay ongoing harm.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Earthen Crown	Headband	Earth				Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Huay_Veil_List
Ebon Blaze	Belt, Wrists	Darkness	Gain bonuses to Acrobatics and Climb checks, and a climb speed.	Belt: Fly on jets of darkness, gain concealment from movement.<br>Wrists: Gain fly speed.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ebon Blaze (Retold)	Wrists, Belt	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ebon Stars	Hands, Body	Cold, Darkness, Death				City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ebon Stars (Enhanced)	Hands, Body	Cold, Darkness, Death, Enhanced	Gain two shadowy flails that act as light weapons.	Hands: When wielding this veil and nothing else, gain a shield bonus.<br>Body: Gain Hands bind, create damaging black holes, consume target on a critical hit.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ebon Stars (Retold)	Hands, Body, see text	Cold, Darkness, Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Echoing Gauntlet	Hands	Force, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Echoing Pain	Headband	Brand, Pain				Expanded Akasha: Spirits and Magic	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Edge of Deceit	Wrists	Enhanced, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Edge-Rider's Skates	Feet	Air, Variant				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Efreeti's Brass Scimitar	Hands, Wrists	Fire	Create a scimitar made of pure flame.	Hands: Scorch weapon-takers.<br>Unleash burning ray.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Efreeti's Brass Scimitar (Enhanced)	Hands, Wrists	Enhanced, Fire	Create a scimitar made of pure flame.	Hands: Scorch weapon-takers.<br>Wrists: Gain Hands bind, flaming bursts & reduce victims to ash.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Efreeti's Brass Scimitar (Retold)	Hands, Wrists	Enhanced, Fire			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eight-Rune Armory	Wrists	Acid, Cold, Electricity, Enhanced, Evil, Fire, Good, Variant				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eightfold Immortal's Crown	Headband	Divination, Variant				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
El's Utterdark Shield	Hands, Wrists	Darkness, Teleportation	Transform a shield into a negative energy portal.	Hands: Boost shield bashs & negative energy<br>Wrists: Banish additional foes per turn		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
El's Utterdark Shield (Enhanced)	Hands, Wrists	Darkness, Enhanced, Teleportation	Summon a shield that swallows foes in a negative energy portal.	Hands: Boost shield bashes & negative energy<br>Wrists: Banish additional foes per turn		The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
El's Utterdark Shield (Retold)	Hands, Wrists	Darkness, Enhanced, Shadow			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eldest Fey's Diadem	Head, Headband	Compulsion, Creation, Familiar, Mind-affecting	Gain a familiar.	Head: Improve Familiar & use Slumber hex to put someone to sleep.<br>Headband: Use wall of thorns.		The Fisherking	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Eldritch Surgeon's Claws	Hands, Wrists, Shoulders					Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Elemental Reinforcements	Hands, Wrists	Acid, Cold, Electricity, Fire, Variant	Infuse elemental energy into your weapon.	Hands: Infuse multiple weapons or greatly empower a single weapon.<br>Wrists: Gain Hands bind, deal only elemental damage with your weapon.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Elemental Reinforcements (Akasha Retold)	Hands, Wrists	Acid, Cold, Electricity, Fire, Variant			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Emblem of Divinity	Neck	Chaotic, Enhanced, Evil, Good, Lawful	Create a ranged weapon that deals aligned damage.	Creatures of opposed alignments are affected as if by holy word or similar aligned spell.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Guru_Veil_List
Embodiment of the Gate	Shoulders, Body	Conjuration, Evil, Teleportation	Gain an aura of warped space that increases where you threaten	Shoulders: Your aura acts as difficult terrain and you may become intangible at the end of your turn.<br>Body: Gain Shoulders bind, your intangibility is more powerful.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Guru_Veil_List
Embodiment of the Gate (Retold)	Shoulders, Body	Conjuration, Darkness, Evil, Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Embrace of the Old Ones	Wrists, Shoulders		Gain bonuses to disarm foes.	Wrists: Use Greater Disarm to knock disarmed weapon further afield.<br>Shoulders: Gain tentacles for attacking or holding.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Embrace of the Old Ones (Retold)	Wrists, Shoulders				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Emerald Blade of the Fallen King	Hands, Belt	Curse, Dao, Enhanced, Good, Law				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Empty Maw	Head	Cold, Teleportation	Draw creatures closer to you with suction breath.	Teleport self & others over a moderate distance.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Empty Maw (Retold)	Head, Headband	Darkness, Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Enchanter's Battlerobes	Head, Neck, Belt	Enhanced				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Endless Armory	Shoulders, Body	Enhanced, Summoning, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Enduring Fortress	Chest	Earth				Species Archive: Fable Beast	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Enfleshed Omnipotence	Shoulders, Body, Chest	Fleshwarp, Variant				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Enigma Crossbow	Hands, Wrists	Enhanced				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Entangling Vinestaff	Hands	Enhanced, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Entwining Mycelium	Head		Psychically link creatures so all may use each other's skill ranks.	Use other creatures' skill bonuses as well as ranks.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Entwining Tentacles	Ring	Force	Conjure tentacles that grapple and constrict your foes.	Focus the tentacles on a single creature for greater accuracy and damage.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Envoy of the Lord	Head		Gain a rajah's house of servants, or an extra heraldry.	Gain another heraldry.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Envoy of the Lord (Retold)	Head				yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Escalating Edge	Hands, Wrists	Enhanced				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Essence of the Succubus	Blood		Gain a bonus to Charisma checks.	Ignore physical penalties & gain bonus Charisma.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Essence of the Succubus (Retold)	Blood				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Expansive Uplink	Interface	Mind-affecting	Speak telepathically with allies.	Share senses with allies.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Explorer's Exosuit	Head, Shoulders	Enhanced	Create a breastplate that protects you from extreme environments and elemental effects.	Head: Gain a helmet that grants you breath and protects from pressure.<br>Shoulders: Gain Head bind, constant freedom of movement, and the ability to choose your own gravity.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eye of Revealing	Headband		Learn of an enemy's weakness.	Increase the critical threat of attacks that target a creature's weak point.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Eye of the Oracle	Headband		Gain ability to boost attacks, checks, and saves.	Gain analyze dweomer.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Eye of the Oracle (Akasha Retold)	Headband	Divination			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eye's Severance	Head, Headband	Death				Akashic Archives	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Eyes of Night	Head	Fleshwarp	Gain low-light vision, darkvision, and a bonus to vision-based Perception checks.	Gain see in darkness and double your low-light vision.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eyes of Terror	Headband	Fear, Mind-affecting	Gain darkvision and low-light vision, or improve your existing visions. Gain a bonus to Intimidate.	Gain blindsense and an aura of fear.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Eyes of Terror (Akasha Retold)	Headband	Fear, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Eyes of the Hawkguard	Headband, Body		Increase range of vision and ranged weapons	Headband: Gain see invisibility<br>Body: Gain true seeing.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Eyes of the Hawkguard (Retold)	Headband, Body				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Facestealer's Guise	Head, Headband	Glamer, Figment				Akashic Horrors — Grisly Fates	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Faerie Queen's Violin	Wrists	Enhanced, Paired	Summon a magic fiddle that impresses fey and acts as a weapon and shield.	Use reckless infatuation as an SLA.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Fargrasp Tendrils	Hands, Wrists	Fleshwarp	Turn your arms into tentacle natural attacks that have longer reach	Hands: Increase the reach of your tentacles further, drag creatures closer to you.<br>Wrists: Multiply your tentacles by two.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Farsight Diadem	Head, Headband	Divination, Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Farstrider Circlet	Ring	Teleportation	Teleport yourself and other creatures.	Greatly increase the range of your teleportation.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Fastachee's Fertility	Feet	Creation, Enhanced, Plant				Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Huay_Veil_List
Father White Ant's Dashiki	Shoulders, Chest		Gain a bonus to break checks and sunder rolls, make sunders in response to being attacked.	Chest: Weapons and veils that strike you take damage.<br>Shoulders: Summon a giant ant that acts as a rust monster, but with a wider diet.		Akashic Tales: Spider's Stories	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Faulds of Elemental Summoning	Belt	Summoning, See text	Summon an elemental servant.	Summon a Huge elemental servant.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Feathers of the Quakiin	Feet, Wrists, Belt	Dao, Enhanced, Force, Paired, Teleportation				Whispers of Immortality	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Feathers of the Yamaraj	Body	Electricity	Gain electricity resistance and DR Damage negated by resistance becomes temp HP.	Use banishment, dimensional anchor, greater restoration, plane shift, or resurrection.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Felcleaver	Hands, Wrists	Enhanced	Create a greataxe that attacks foes adjacent to your target.	Hands: Attack another creature within reach whenever you hit.<br>Wrists: Attack all creatures within your reach.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Felcleaver (Retold)	Hands, Wrists	Enhanced, Evil			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ferryman's Cloak	Shoulders		Transfer negative conditions to other creatures.	Steal abilities from target		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Five Rivers Amulet	Neck	Cold	Gain bonuses to saves against spells and spell-like abilities.	Inflict doom mark on successful save, deal cold damage if already marked.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Fleshling Growth	Shoulders, Belt, Body	Familiar, Fleshwarp	Gain a familiar that can merge with your body.	Belt: Gain Shoulders bind, your familiar can use an additional veil.<br>Body: Gain Belt bind, your familiar can use an additional veil.<br>Shoulders: Your familiar can use one of your veils.		Studio M— October 2021 Compilation	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Fleshrender	Hands	Enhanced	Create a light flail that deals bleed damage.	Bleed damage increases and is harder to staunch.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Fleshwarped Reinforcements	Hands, Wrists	Fleshwarp, Variant	Reinforce a weapon with bone, making it tougher and granting new abilities.	Hands: Your weapons deal more damage, change their damage type.<br>Wrists: Gain Hands bind, gain two new abilities instead of one.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Floral Nostrum	Shoulders	Plant, Variant				Species Archive: Flowerfolk & Fey	https://metzo.miraheze.org/wiki/Huay_Veil_List
Fool's Bangles	Head	Brand, Mind-affecting	Branded creature takes penalties to Sense Motive, Perception, and the DC to use Diplomacy against them.	Affect the branded creature as charm person.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Guru_Veil_List
Forbidding Mantra	Hands, Wrists	Variant	Start a mantra to forbid your foes actions, retaliate if they perform those actions.	Hands: Expand the area of your mantra.<br>Wrists: Further improves on the Hands bind, grants additional attacks.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Forceful Projection	Head	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Forcestrike Knuckles	Hands	Force	Deal force damage with unarmed strikes.	Gain force shield.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Forcestrike Knuckles (Retold)	Hands	Force			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Forcestrike Knuckles (Spheres of Akasha)	Hands	Force				Spheres of Akasha	https://metzo.miraheze.org/wiki/Daevic_Veil_List
