veil	veil_list
Daring Archer's Goggles	Radiant
Daring Archer's Goggles	Stormbound
Daring Archer's Goggles	Vizier
Daring Archer's Goggles	Volur
Dark Heart	Daevic
Dark Heart	Eclipse
Dark Heart	Kheshig
Dark Lord's Ring of Essence-Binding	Vizier
Dark Lord's Ring of Essence-Binding (Retold)	Vizier
Darkholds	Daevic
Darkholds	Eclipse
Darkholds	Helmsman
Darkholds	Promethean
Darkholds	Stormbound
Darkness Dragon	Eclipse
Darkness Dragon	Helmsman
Darkness Dragon	Huay
Darkness Dragon	Stormbound
Darkness Dragon	Vizier
Darkwalker Hood	Eclipse
Darkwalker Hood	Helmsman
Darkwalker Hood	Huay
Darkwalker Hood	Promethean
Darkwalker Hood	Vizier
Darkwalker Hood (Retold)	Eclipse
Darkwalker Hood (Retold)	Huay
Darkwalker Hood (Retold)	Promethean
Darkwalker Hood (Retold)	Vizier
Deadshot's Baleful Gaze	Daevic
Deadshot's Baleful Gaze	Eclipse
Deadshot's Baleful Gaze	Guru
Deadshot's Baleful Gaze	Kheshig
Deadshot's Baleful Gaze	Nexus
Deadshot's Baleful Gaze	Promethean
Deadshot's Baleful Gaze	Vizier
Death Roll (veil)	Daevic
Death Roll (veil)	Kheshig
Death Roll (veil)	Soulforge
Death Roll (veil)	Volur
Deathchannel Ring	Vizier
Deathchannel Ring (Akasha Retold)	Vizier
Deathgrip Gauntlets	Daevic
Deathgrip Gauntlets	Helmsman
Deathgrip Gauntlets	Huay
Deathgrip Gauntlets	Kheshig
Deathgrip Gauntlets	Promethean
Deathgrip Gauntlets	Radiant
Deck of the Fates	Daevic
Deck of the Fates	Guru
Deck of the Fates	Nexus
Deck of the Fates	Soulforge
Deck of the Fates	Vizier
Deck of the Four Seasons	Daevic
Deck of the Four Seasons	Guru
Deck of the Four Seasons	Nexus
Deck of the Four Seasons	Soulforge
Deck of the Four Seasons	Stormbound
Deck of the Four Seasons	Vizier
Delver's Goggles	Daevic
Delver's Goggles	Eclipse
Delver's Goggles	Guru
Delver's Goggles	Helmsman
Delver's Goggles	Huay
Delver's Goggles	Kheshig
Delver's Goggles	Lunar
Delver's Goggles	Nexus
Delver's Goggles	Promethean
Delver's Goggles	Radiant
Delver's Goggles	Stormbound
Delver's Goggles	Vizier
Delver's Goggles	Volur
Demanding Mindspike	Guru
Demanding Mindspike	Helmsman
Demanding Mindspike	Kheshig
Demanding Mindspike	Nexus
Demanding Mindspike	Promethean
Demanding Mindspike	Volur
Demon Lord's Hunger	Daevic
Demon Lord's Hunger	Helmsman
Demon Lord's Hunger	Huay
Demon Lord's Hunger	Nexus
Demon Lord's Hunger	Promethean
Demon Lord's Hunger	Vizier
Der Freischütz	Eclipse
Der Freischütz	Helmsman
Der Freischütz	Kheshig
Der Freischütz	Soulforge
Der Freischütz	Stormbound
Dermal Plating	Daevic
Dermal Plating	Helmsman
Despoiling Presence	Eclipse
Despoiling Presence	Guru
Despoiling Presence	Nexus
Despoiling Presence	Promethean
Despoiling Presence	Vizier
Despoiling Presence	Volur
Destruction Hammer	Daevic
Destruction Hammer	Guru
Destruction Hammer	Helmsman
Destruction Hammer	Kheshig
Destruction Hammer	Lunar
Devil King's Fiddle	Daevic
Devil King's Fiddle	Eclipse
Devil King's Fiddle	Guru
Devil King's Fiddle	Helmsman
Devil King's Fiddle	Huay
Devil King's Fiddle	Kheshig
Devil King's Fiddle	Lunar
Devil King's Fiddle	Nexus
Devil King's Fiddle	Promethean
Devil King's Fiddle	Radiant
Devil King's Fiddle	Soulforge
Devil King's Fiddle	Stormbound
Devil King's Fiddle	Vizier
Devil King's Fiddle	Volur
Devil's Barbs	Daevic
Devil's Barbs	Helmsman
Devil's Barbs	Huay
Devil's Barbs	Kheshig
Devil's Barbs	Nexus
Devil's Barbs	Promethean
Devil's Barbs	Vizier
Devoted Champion's Spear	Daevic
Devoted Champion's Spear	Guru
Devoted Champion's Spear	Helmsman
Devoted Champion's Spear	Kheshig
Devoted Champion's Spear	Nexus
Devoted Champion's Spear	Soulforge
Devoted Champion's Spear	Vizier
Devouring Maggots	Huay
Devouring Maggots	Promethean
Devouring Maggots	Vizier
Devouring Maggots	Volur
Diadem of Pure Reflection	Guru
Diadem of Pure Reflection	Lunar
Diadem of Pure Reflection	Nexus
Diadem of Pure Reflection	Radiant
Diadem of Pure Reflection	Volur
Diadem of Pure Reflection (Akasha Retold)	Guru
Diadem of Pure Reflection (Akasha Retold)	Lunar
Diadem of Pure Reflection (Akasha Retold)	Nexus
Diadem of Pure Reflection (Akasha Retold)	Radiant
Diadem of Pure Reflection (Akasha Retold)	Volur
Diadem of Timeline Distortion	Guru
Diadem of Timeline Distortion	Helmsman
Diadem of Timeline Distortion	Nexus
Diadem of Timeline Distortion	Promethean
Diadem of Timeline Distortion	Radiant
Diadem of Timeline Distortion	Vizier
Diadem of the Dreamer	Guru
Diadem of the Dreamer	Huay
Diadem of the Dreamer	Lunar
Diadem of the Dreamer	Nexus
Diadem of the Dreamer	Promethean
Diadem of the Dreamer	Vizier
Dimensional Bridge	Eclipse
Dimensional Bridge	Guru
Dimensional Bridge	Nexus
Dimensional Bridge	Promethean
Dimensional Bridge	Stormbound
Dimensional Bridge	Vizier
Dimensional Bridge	Volur
Diplomat's Clip	Guru
Diplomat's Clip	Huay
Diplomat's Clip	Promethean
Diplomat's Clip	Stormbound
Diplomat's Clip	Vizier
Diplomat's Clip	Volur
Dire Bouquet	Eclipse
Dire Bouquet	Huay
Dire Bouquet	Nexus
Dire Bouquet	Promethean
Dire Bouquet	Radiant
Dire Bouquet	Vizier
Disk of Lifting	Guru
Disk of Lifting	Nexus
Disk of Lifting	Vizier
Disk of Lifting	Volur
Disk of Lifting (Akasha Retold)	Guru
Disk of Lifting (Akasha Retold)	Nexus
Disk of Lifting (Akasha Retold)	Promethean
Disk of Lifting (Akasha Retold)	Vizier
Disk of Lifting (Akasha Retold)	Volur
Disquieting Gaze	Huay
Disquieting Gaze	Promethean
Disquieting Gaze	Stormbound
Disquieting Gaze	Vizier
Disquieting Gaze	Volur
Disquieting Gaze (Akasha Retold)	Eclipse
Disquieting Gaze (Akasha Retold)	Huay
Disquieting Gaze (Akasha Retold)	Promethean
Disquieting Gaze (Akasha Retold)	Stormbound
Disquieting Gaze (Akasha Retold)	Vizier
Disquieting Gaze (Akasha Retold)	Volur
Disrupting Needles	Daevic
Disrupting Needles	Eclipse
Disrupting Needles	Guru
Disrupting Needles	Kheshig
Disrupting Needles	Nexus
Disrupting Needles	Soulforge
Disrupting Needles	Vizier
Distant Eye	Eclipse
Distant Eye	Nexus
Distant Eye	Promethean
Distant Eye	Radiant
Distant Eye	Vizier
Distant Eye	Volur
Ditchdigger's Armlets	Helmsman
Ditchdigger's Armlets	Huay
Ditchdigger's Armlets	Stormbound
Ditchdigger's Armlets	Vizier
Ditchdigger's Armlets (Retold)	Helmsman
Ditchdigger's Armlets (Retold)	Huay
Ditchdigger's Armlets (Retold)	Nexus
Ditchdigger's Armlets (Retold)	Stormbound
Ditchdigger's Armlets (Retold)	Vizier
Divine Arrow Indrastra	Daevic
Divine Arrow Indrastra	Guru
Divine Arrow Indrastra	Huay
Divine Arrow Indrastra	Nexus
Divine Arrow Indrastra	Stormbound
Divine Sanction	Daevic
Divine Sanction	Guru
Divine Sanction	Helmsman
Divine Sanction	Kheshig
Divine Sanction	Nexus
Divine Sanction	Radiant
Divine Sanction	Volur
Diving Talon, Flashing Fang	Daevic
Diving Talon, Flashing Fang	Guru
Diving Talon, Flashing Fang	Helmsman
Diving Talon, Flashing Fang	Huay
Diving Talon, Flashing Fang	Soulforge
Djinni's Turban	Guru
Djinni's Turban	Helmsman
Djinni's Turban	Huay
Djinni's Turban	Nexus
Djinni's Turban	Stormbound
Djinni's Turban	Vizier
Djinni's Turban	Volur
Dogfighter's Third Eye	Helmsman
Domineering Force	Daevic
Domineering Force	Guru
Domineering Force	Helmsman
Domineering Force	Kheshig
Domineering Force	Promethean
Domineering Force	Stormbound
Domino of the Roguish Scoundrel	Eclipse
Domino of the Roguish Scoundrel	Guru
Domino of the Roguish Scoundrel	Kheshig
Domino of the Roguish Scoundrel	Nexus
Domino of the Roguish Scoundrel	Vizier
Draconic Ferocity	Daevic
Draconic Ferocity	Nexus
Draconic Ferocity	Stormbound
Draconic Ferocity (Akasha Retold)	Daevic
Draconic Ferocity (Akasha Retold)	Nexus
Draconic Ferocity (Akasha Retold)	Stormbound
Dream Haunting	Guru
Dream Haunting	Lunar
Dream Haunting	Nexus
Dream Haunting	Promethean
Dream Haunting	Vizier
Dream Haunting	Volur
Dreamcatcher	Daevic
Dreamcatcher	Guru
Dreamcatcher	Helmsman
Dreamcatcher	Nexus
Dreamcatcher	Promethean
Dreamcatcher	Radiant
Dreamcatcher	Vizier
Dreamcatcher	Volur
Dreamcatcher (Retold)	Daevic
Dreamcatcher (Retold)	Guru
Dreamcatcher (Retold)	Nexus
Dreamcatcher (Retold)	Promethean
Dreamcatcher (Retold)	Radiant
Dreamcatcher (Retold)	Vizier
Dreamcatcher (Retold)	Volur
Dreamer's Shroud	Nexus
Dreamer's Shroud	Promethean
Dreamer's Shroud	Vizier
Dreamer's Shroud	Volur
Dretch Flesh	Daevic
Dretch Flesh	Huay
Dretch Flesh	Nexus
Dretch Flesh	Promethean
Dretch Flesh	Vizier
Drunkard's Sash	Daevic
Drunkard's Sash	Eclipse
Drunkard's Sash	Guru
Drunkard's Sash	Helmsman
Drunkard's Sash	Huay
Drunkard's Sash	Kheshig
Drunkard's Sash	Lunar
Drunkard's Sash	Nexus
Drunkard's Sash	Promethean
Drunkard's Sash	Radiant
Drunkard's Sash	Rajah
Drunkard's Sash	Soulforge
Drunkard's Sash	Stormbound
Drunkard's Sash	Vizier
Drunkard's Sash	Volur
Drunken Immortal's Píng Jiǔ	Daevic
Drunken Immortal's Píng Jiǔ	Guru
Drunken Immortal's Píng Jiǔ	Kheshig
Duelist's Edge	Daevic
Duelist's Edge	Eclipse
Duelist's Edge	Guru
Duelist's Edge	Helmsman
Duelist's Edge	Kheshig
Duelist's Edge	Nexus
Duelist's Edge	Soulforge
Duelist's Edge	Stormbound
Duelist's Edge	Vizier
Duelist's Pata	Daevic
Duelist's Pata	Eclipse
Duelist's Pata	Helmsman
Duelist's Pata	Kheshig
Duelist's Pata	Nexus
Duelist's Pata	Soulforge
Duelist's Pata	Vizier
Dullahan's Whip	Daevic
Dullahan's Whip	Eclipse
Dullahan's Whip	Helmsman
Dullahan's Whip	Huay
Dullahan's Whip	Kheshig
Dullahan's Whip	Nexus
Dullahan's Whip	Soulforge
Dullahan's Whip	Vizier
Dullahan's Whip	Volur
Duxandus's Icy Gaze	Guru
Duxandus's Icy Gaze	Huay
Duxandus's Icy Gaze	Nexus
Duxandus's Icy Gaze	Radiant
Duxandus's Icy Gaze	Stormbound
Duxandus's Icy Gaze	Vizier
Duxandus's Icy Gaze	Volur
Earthen Crown	Huay
Earthen Crown	Nexus
Earthen Crown	Stormbound
Earthen Crown	Vizier
Earthen Crown	Volur
Ebon Blaze	Daevic
Ebon Blaze	Eclipse
Ebon Blaze	Helmsman
Ebon Blaze (Retold)	Daevic
Ebon Blaze (Retold)	Eclipse
Ebon Blaze (Retold)	Helmsman
Ebon Blaze (Retold)	Nexus
Ebon Blaze (Retold)	Vizier
Ebon Stars	Daevic
Ebon Stars	Eclipse
Ebon Stars	Helmsman
Ebon Stars	Vizier
Ebon Stars (Enhanced)	Daevic
Ebon Stars (Enhanced)	Eclipse
Ebon Stars (Enhanced)	Helmsman
Ebon Stars (Enhanced)	Soulforge
Ebon Stars (Enhanced)	Vizier
Ebon Stars (Retold)	Daevic
Ebon Stars (Retold)	Eclipse
Ebon Stars (Retold)	Helmsman
Ebon Stars (Retold)	Nexus
Ebon Stars (Retold)	Soulforge
Ebon Stars (Retold)	Vizier
Echoing Gauntlet	Daevic
Echoing Gauntlet	Eclipse
Echoing Gauntlet	Guru
Echoing Gauntlet	Helmsman
Echoing Gauntlet	Kheshig
Echoing Gauntlet	Soulforge
Echoing Gauntlet	Stormbound
Echoing Pain	Promethean
Echoing Pain	Radiant
Echoing Pain	Vizier
Echoing Pain	Volur
Edge of Deceit	Daevic
Edge of Deceit	Eclipse
Edge of Deceit	Guru
Edge of Deceit	Helmsman
Edge of Deceit	Kheshig
Edge of Deceit	Nexus
Edge of Deceit	Soulforge
Edge of Deceit	Vizier
Edge-Rider's Skates	Daevic
Edge-Rider's Skates	Guru
Edge-Rider's Skates	Huay
Edge-Rider's Skates	Kheshig
Edge-Rider's Skates	Nexus
Edge-Rider's Skates	Stormbound
Edge-Rider's Skates	Vizier
Edge-Rider's Skates	Volur
Efreeti's Brass Scimitar	Daevic
Efreeti's Brass Scimitar	Helmsman
Efreeti's Brass Scimitar	Huay
Efreeti's Brass Scimitar	Nexus
Efreeti's Brass Scimitar	Vizier
Efreeti's Brass Scimitar (Enhanced)	Daevic
Efreeti's Brass Scimitar (Enhanced)	Helmsman
Efreeti's Brass Scimitar (Enhanced)	Huay
Efreeti's Brass Scimitar (Enhanced)	Nexus
Efreeti's Brass Scimitar (Enhanced)	Soulforge
Efreeti's Brass Scimitar (Enhanced)	Stormbound
Efreeti's Brass Scimitar (Enhanced)	Vizier
Efreeti's Brass Scimitar (Retold)	Daevic
Efreeti's Brass Scimitar (Retold)	Helmsman
Efreeti's Brass Scimitar (Retold)	Huay
Efreeti's Brass Scimitar (Retold)	Kheshig
Efreeti's Brass Scimitar (Retold)	Nexus
Efreeti's Brass Scimitar (Retold)	Soulforge
Efreeti's Brass Scimitar (Retold)	Stormbound
Efreeti's Brass Scimitar (Retold)	Vizier
Eight-Rune Armory	Daevic
Eight-Rune Armory	Eclipse
Eight-Rune Armory	Helmsman
Eight-Rune Armory	Kheshig
Eight-Rune Armory	Nexus
Eight-Rune Armory	Soulforge
Eight-Rune Armory	Stormbound
Eight-Rune Armory	Vizier
Eightfold Immortal's Crown	Daevic
Eightfold Immortal's Crown	Eclipse
Eightfold Immortal's Crown	Guru
Eightfold Immortal's Crown	Kheshig
Eightfold Immortal's Crown	Soulforge
El's Utterdark Shield	Daevic
El's Utterdark Shield	Eclipse
El's Utterdark Shield	Helmsman
El's Utterdark Shield (Enhanced)	Daevic
El's Utterdark Shield (Enhanced)	Eclipse
El's Utterdark Shield (Enhanced)	Helmsman
El's Utterdark Shield (Enhanced)	Soulforge
El's Utterdark Shield (Retold)	Daevic
El's Utterdark Shield (Retold)	Eclipse
El's Utterdark Shield (Retold)	Helmsman
El's Utterdark Shield (Retold)	Nexus
El's Utterdark Shield (Retold)	Soulforge
Eldest Fey's Diadem	Eclipse
Eldest Fey's Diadem	Nexus
Eldest Fey's Diadem	Radiant
Eldest Fey's Diadem	Vizier
Eldritch Surgeon's Claws	Nexus
Eldritch Surgeon's Claws	Promethean
Eldritch Surgeon's Claws	Vizier
Elemental Reinforcements	Daevic
Elemental Reinforcements	Huay
Elemental Reinforcements	Stormbound
Elemental Reinforcements	Vizier
Elemental Reinforcements (Akasha Retold)	Daevic
Elemental Reinforcements (Akasha Retold)	Eclipse
Elemental Reinforcements (Akasha Retold)	Guru
Elemental Reinforcements (Akasha Retold)	Helmsman
Elemental Reinforcements (Akasha Retold)	Kheshig
Elemental Reinforcements (Akasha Retold)	Nexus
Elemental Reinforcements (Akasha Retold)	Stormbound
Elemental Reinforcements (Akasha Retold)	Vizier
Emblem of Divinity	Guru
Emblem of Divinity	Nexus
Emblem of Divinity	Radiant
Emblem of Divinity	Soulforge
Emblem of Divinity	Vizier
Embodiment of the Gate	Guru
Embodiment of the Gate	Nexus
Embodiment of the Gate	Promethean
Embodiment of the Gate	Vizier
Embodiment of the Gate (Retold)	Guru
Embodiment of the Gate (Retold)	Nexus
Embodiment of the Gate (Retold)	Promethean
Embodiment of the Gate (Retold)	Vizier
Embodiment of the Gate (Retold)	Volur
Embrace of the Old Ones	Daevic
Embrace of the Old Ones	Eclipse
Embrace of the Old Ones	Huay
Embrace of the Old Ones	Promethean
Embrace of the Old Ones (Retold)	Daevic
Embrace of the Old Ones (Retold)	Eclipse
Embrace of the Old Ones (Retold)	Huay
Embrace of the Old Ones (Retold)	Nexus
Embrace of the Old Ones (Retold)	Promethean
Emerald Blade of the Fallen King	Daevic
Emerald Blade of the Fallen King	Guru
Emerald Blade of the Fallen King	Nexus
Emerald Blade of the Fallen King	Radiant
Emerald Blade of the Fallen King	Soulforge
Emerald Blade of the Fallen King	Vizier
Emerald Blade of the Fallen King	Volur
Empty Maw	Eclipse
Empty Maw	Helmsman
Empty Maw	Promethean
Empty Maw	Vizier
Empty Maw (Retold)	Eclipse
Empty Maw (Retold)	Helmsman
Empty Maw (Retold)	Nexus
Empty Maw (Retold)	Promethean
Empty Maw (Retold)	Vizier
Empty Maw (Retold)	Volur
Enchanter's Battlerobes	Eclipse
Enchanter's Battlerobes	Guru
Enchanter's Battlerobes	Kheshig
Enchanter's Battlerobes	Soulforge
Enchanter's Battlerobes	Vizier
Endless Armory	Daevic
Endless Armory	Helmsman
Endless Armory	Soulforge
Endless Armory	Stormbound
Endless Armory	Vizier
Enduring Fortress	Daevic
Enduring Fortress	Kheshig
Enduring Fortress	Nexus
Enduring Fortress	Stormbound
Enduring Fortress	Vizier
Enfleshed Omnipotence	Guru
Enfleshed Omnipotence	Lunar
Enfleshed Omnipotence	Nexus
Enfleshed Omnipotence	Promethean
Enfleshed Omnipotence	Radiant
Enfleshed Omnipotence	Stormbound
Enfleshed Omnipotence	Vizier
Enigma Crossbow	Daevic
Enigma Crossbow	Eclipse
Enigma Crossbow	Kheshig
Enigma Crossbow	Nexus
Enigma Crossbow	Soulforge
Enigma Crossbow	Vizier
Entangling Vinestaff	Daevic
Entangling Vinestaff	Guru
Entangling Vinestaff	Huay
Entangling Vinestaff	Nexus
Entangling Vinestaff	Soulforge
Entangling Vinestaff	Stormbound
Entangling Vinestaff	Vizier
Entwining Mycelium	Huay
Entwining Mycelium	Nexus
Entwining Mycelium	Promethean
Entwining Mycelium	Radiant
Entwining Mycelium	Stormbound
Entwining Mycelium	Vizier
Entwining Mycelium	Volur
Entwining Tentacles	Vizier
Envoy of the Lord	Daevic
Envoy of the Lord	Eclipse
Envoy of the Lord	Guru
Envoy of the Lord	Helmsman
Envoy of the Lord	Huay
Envoy of the Lord	Kheshig
Envoy of the Lord	Lunar
Envoy of the Lord	Nexus
Envoy of the Lord	Promethean
Envoy of the Lord	Radiant
Envoy of the Lord	Rajah
Envoy of the Lord	Soulforge
Envoy of the Lord	Stormbound
Envoy of the Lord	Vizier
Envoy of the Lord	Volur
Envoy of the Lord (Retold)	Daevic
Envoy of the Lord (Retold)	Eclipse
Envoy of the Lord (Retold)	Guru
Envoy of the Lord (Retold)	Helmsman
Envoy of the Lord (Retold)	Huay
Envoy of the Lord (Retold)	Kheshig
Envoy of the Lord (Retold)	Lunar
Envoy of the Lord (Retold)	Nexus
Envoy of the Lord (Retold)	Promethean
Envoy of the Lord (Retold)	Radiant
Envoy of the Lord (Retold)	Rajah
Envoy of the Lord (Retold)	Soulforge
Envoy of the Lord (Retold)	Stormbound
Envoy of the Lord (Retold)	Vizier
Envoy of the Lord (Retold)	Volur
Escalating Edge	Daevic
Escalating Edge	Kheshig
Escalating Edge	Soulforge
Escalating Edge	Stormbound
Essence of the Succubus	Daevic
Essence of the Succubus (Retold)	Daevic
Expansive Uplink	Helmsman
Explorer's Exosuit	Daevic
Explorer's Exosuit	Eclipse
Explorer's Exosuit	Helmsman
Explorer's Exosuit	Kheshig
Explorer's Exosuit	Nexus
Explorer's Exosuit	Soulforge
Explorer's Exosuit	Stormbound
Explorer's Exosuit	Vizier
Eye of Revealing	Eclipse
Eye of Revealing	Guru
Eye of Revealing	Helmsman
Eye of Revealing	Huay
Eye of Revealing	Kheshig
Eye of Revealing	Lunar
Eye of Revealing	Promethean
Eye of the Oracle	Helmsman
Eye of the Oracle	Promethean
Eye of the Oracle	Stormbound
Eye of the Oracle	Vizier
Eye of the Oracle	Volur
Eye of the Oracle (Akasha Retold)	Daevic
Eye of the Oracle (Akasha Retold)	Helmsman
Eye of the Oracle (Akasha Retold)	Nexus
Eye of the Oracle (Akasha Retold)	Promethean
Eye of the Oracle (Akasha Retold)	Radiant
Eye of the Oracle (Akasha Retold)	Stormbound
Eye of the Oracle (Akasha Retold)	Vizier
Eye of the Oracle (Akasha Retold)	Volur
Eye's Severance	Promethean
Eye's Severance	Vizier
Eye's Severance	Volur
Eyes of Night	Daevic
Eyes of Night	Eclipse
Eyes of Night	Huay
Eyes of Night	Promethean
Eyes of Night	Stormbound
Eyes of Night	Vizier
Eyes of Terror	Eclipse
Eyes of Terror	Guru
Eyes of Terror	Helmsman
Eyes of Terror	Huay
Eyes of Terror	Kheshig
Eyes of Terror	Promethean
Eyes of Terror	Stormbound
Eyes of Terror	Vizier
Eyes of Terror	Volur
Eyes of Terror (Akasha Retold)	Daevic
Eyes of Terror (Akasha Retold)	Eclipse
Eyes of Terror (Akasha Retold)	Guru
Eyes of Terror (Akasha Retold)	Helmsman
Eyes of Terror (Akasha Retold)	Huay
Eyes of Terror (Akasha Retold)	Kheshig
Eyes of Terror (Akasha Retold)	Nexus
Eyes of Terror (Akasha Retold)	Radiant
Eyes of Terror (Akasha Retold)	Stormbound
Eyes of Terror (Akasha Retold)	Vizier
Eyes of Terror (Akasha Retold)	Volur
Eyes of the Hawkguard	Guru
Eyes of the Hawkguard	Helmsman
Eyes of the Hawkguard	Huay
Eyes of the Hawkguard	Kheshig
Eyes of the Hawkguard	Stormbound
Eyes of the Hawkguard	Vizier
Eyes of the Hawkguard	Volur
Eyes of the Hawkguard (Retold)	Daevic
Eyes of the Hawkguard (Retold)	Eclipse
Eyes of the Hawkguard (Retold)	Guru
Eyes of the Hawkguard (Retold)	Helmsman
Eyes of the Hawkguard (Retold)	Huay
Eyes of the Hawkguard (Retold)	Kheshig
Eyes of the Hawkguard (Retold)	Nexus
Eyes of the Hawkguard (Retold)	Radiant
Eyes of the Hawkguard (Retold)	Stormbound
Eyes of the Hawkguard (Retold)	Vizier
Eyes of the Hawkguard (Retold)	Volur
Facestealer's Guise	Eclipse
Facestealer's Guise	Guru
Facestealer's Guise	Promethean
Facestealer's Guise	Vizier
Facestealer's Guise	Volur
Faerie Queen's Violin	Daevic
Faerie Queen's Violin	Eclipse
Faerie Queen's Violin	Guru
Faerie Queen's Violin	Helmsman
Faerie Queen's Violin	Huay
Faerie Queen's Violin	Kheshig
Faerie Queen's Violin	Lunar
Faerie Queen's Violin	Nexus
Faerie Queen's Violin	Promethean
Faerie Queen's Violin	Radiant
Faerie Queen's Violin	Soulforge
Faerie Queen's Violin	Stormbound
Faerie Queen's Violin	Vizier
Faerie Queen's Violin	Volur
Fargrasp Tendrils	Daevic
Fargrasp Tendrils	Eclipse
Fargrasp Tendrils	Huay
Fargrasp Tendrils	Promethean
Farsight Diadem	Nexus
Farsight Diadem	Promethean
Farsight Diadem	Radiant
Farsight Diadem	Vizier
Farsight Diadem	Volur
Farstrider Circlet	Vizier
Fastachee's Fertility	Huay
Fastachee's Fertility	Radiant
Fastachee's Fertility	Vizier
Fastachee's Fertility	Volur
Father White Ant's Dashiki	Daevic
Father White Ant's Dashiki	Helmsman
Father White Ant's Dashiki	Nexus
Faulds of Elemental Summoning	Huay
Faulds of Elemental Summoning	Nexus
Faulds of Elemental Summoning	Stormbound
Faulds of Elemental Summoning	Vizier
Feathers of the Quakiin	Eclipse
Feathers of the Quakiin	Guru
Feathers of the Quakiin	Huay
Feathers of the Quakiin	Nexus
Feathers of the Quakiin	Soulforge
Feathers of the Quakiin	Stormbound
Feathers of the Quakiin	Vizier
Feathers of the Yamaraj	Daevic
Feathers of the Yamaraj	Huay
Feathers of the Yamaraj	Nexus
Feathers of the Yamaraj	Stormbound
Feathers of the Yamaraj	Vizier
Feathers of the Yamaraj	Volur
Felcleaver	Daevic
Felcleaver	Helmsman
Felcleaver	Nexus
Felcleaver	Soulforge
Felcleaver	Stormbound
Felcleaver (Retold)	Daevic
Felcleaver (Retold)	Helmsman
Felcleaver (Retold)	Nexus
Felcleaver (Retold)	Soulforge
Felcleaver (Retold)	Stormbound
Ferryman's Cloak	Eclipse
Ferryman's Cloak	Helmsman
Ferryman's Cloak	Huay
Ferryman's Cloak	Nexus
Ferryman's Cloak	Vizier
Ferryman's Cloak	Volur
Five Rivers Amulet	Guru
Five Rivers Amulet	Helmsman
Five Rivers Amulet	Huay
Five Rivers Amulet	Lunar
Five Rivers Amulet	Nexus
Five Rivers Amulet	Stormbound
Five Rivers Amulet	Vizier
Five Rivers Amulet	Volur
Fleshling Growth	Promethean
Fleshrender	Daevic
Fleshrender	Guru
Fleshrender	Kheshig
Fleshrender	Soulforge
Fleshwarped Reinforcements	Daevic
Fleshwarped Reinforcements	Eclipse
Fleshwarped Reinforcements	Promethean
Floral Nostrum	Huay
Floral Nostrum	Lunar
Floral Nostrum	Nexus
Floral Nostrum	Promethean
Floral Nostrum	Radiant
Floral Nostrum	Stormbound
Floral Nostrum	Volur
Fool's Bangles	Guru
Fool's Bangles	Huay
Fool's Bangles	Kheshig
Fool's Bangles	Vizier
Fool's Bangles	Volur
Forbidding Mantra	Daevic
Forbidding Mantra	Eclipse
Forbidding Mantra	Guru
Forbidding Mantra	Kheshig
Forbidding Mantra	Nexus
Forbidding Mantra	Promethean
Forbidding Mantra	Radiant
Forbidding Mantra	Vizier
Forceful Projection	Daevic
Forceful Projection	Guru
Forceful Projection	Helmsman
Forceful Projection	Kheshig
Forceful Projection	Nexus
Forceful Projection	Promethean
Forceful Projection	Radiant
Forceful Projection	Vizier
Forceful Projection	Volur
Forcestrike Knuckles	Daevic
Forcestrike Knuckles	Guru
Forcestrike Knuckles	Helmsman
Forcestrike Knuckles	Huay
Forcestrike Knuckles (Retold)	Daevic
Forcestrike Knuckles (Retold)	Eclipse
Forcestrike Knuckles (Retold)	Guru
Forcestrike Knuckles (Retold)	Helmsman
Forcestrike Knuckles (Retold)	Huay
Forcestrike Knuckles (Retold)	Promethean
Forcestrike Knuckles (Retold)	Stormbound
Forcestrike Knuckles (Spheres of Akasha)	Daevic
Forcestrike Knuckles (Spheres of Akasha)	Guru
Forcestrike Knuckles (Spheres of Akasha)	Helmsman
Forcestrike Knuckles (Spheres of Akasha)	Huay
Forgebreaker Hammer	Daevic
Forgebreaker Hammer	Helmsman
Forgebreaker Hammer	Kheshig
Forgebreaker Hammer	Promethean
Forgebreaker Hammer	Soulforge
Forgemaster's Hammers	Daevic
Forgemaster's Hammers	Guru
Forgemaster's Hammers	Helmsman
Forgemaster's Hammers	Kheshig
Forgemaster's Hammers	Nexus
Forgemaster's Hammers	Soulforge
Forgemaster's Hammers	Stormbound
Format: Corruptor	Daevic
Format: Framework	Vizier
Format: Purifier	Helmsman
Format: The Chaos	Stormbound
Fractured Pocket Watch	Guru
Fractured Pocket Watch	Nexus
Fractured Pocket Watch	Promethean
Fractured Pocket Watch	Radiant
Fractured Pocket Watch	Vizier
Fractured Pocket Watch	Volur
Fragrant Princess' Aroma	Eclipse
Fragrant Princess' Aroma	Huay
Fragrant Princess' Aroma	Nexus
Fragrant Princess' Aroma	Promethean
Fragrant Princess' Aroma	Radiant
Fragrant Princess' Aroma	Vizier
Frame of the Clockwork Artillerist	Daevic
Frame of the Clockwork Artillerist	Helmsman
Frame of the Clockwork Artillerist	Soulforge
Frame of the Clockwork Artillerist	Vizier
Frankenstein's Head Mirror	Helmsman
Frankenstein's Head Mirror	Promethean
Frankenstein's Head Mirror	Radiant
Frankenstein's Head Mirror	Vizier
Frigid Grasp	Daevic
Frigid Grasp	Eclipse
Frigid Grasp	Guru
Frigid Grasp	Helmsman
